ACCT 3220,Corporate Financial Reporting 1,First of a two-course sequence intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information.
ACCT 3225,Corporate Financial Reporting,"Intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information. Builds and extends detailed knowledge of preparation, analysis, and use of financial statements. No credit granted for this course and ACCT 3220 and ACCT 3230."
ACCT 3230,Corporate Financial Reporting 2,"Second in a two-course sequence building and extending detailed knowledge of preparation, analysis and use of financial statements."
ACCT 3320,Cost Management,"Provides cost analysis for the support of management decision making. Analyzes activities, cost behavior, role of accounting in planning, financial modeling,and managerial uses of cost data."
ACCT 3440,Income Taxation of Individuals,"Examines concepts and structure of the United States income tax system. Focuses on concepts affecting all taxpayers, with emphasis on individual taxation."
ACCT 3700,Accounting in a Global Economy,"This London-based global seminar introduces undergraduate students to transfer pricing, International Financial Reporting Standards (IFRS) and the impact of foreign exchange rates on financial reporting. Includes an IASB headquarter experience and presentations from multinational corporations and public accounting firms. It also includes experiential-based accounting learning in continental Europe."
ACCT 4240,Advanced Financial Accounting,"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships. "
ACCT 4250,Financial Statement Analysis,"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes equity valuation and risk analysis. "
ACCT 4540,Accounting Information Systems,Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system. 
ACCT 4620,Auditing and Assurance Services,"Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. "
ACCT 4821,Experimental Seminar: Financial Report for Complex Transactions,"Focuses on topics related to major financial events in the life of an organization (IPOs, mergers and acquisitions). Enhance the ability to understand the economic essence of important complex business transactions as linked to the financial reporting and tax issues surrounding these deals. Many fascinating and recent transactions will be examined in depth. "
ACCT 4850,Senior Seminar - Accounting Ethics,"Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets."
ACCT 4900,Independent Study,Requires prior consent of dean and instructor under whose direction study is taken. Intended only for exceptionally well-qualified business seniors. Departmental form required.
ACCT 5240,Advanced Financial Accounting,"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships. "
ACCT 5250,Financial Statement Analysis,"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes equity valuation and risk analysis. "
ACCT 5450,Income Taxation of Business Entities,"Examines the income tax consequences of business entities. Focuses on regular corporations, partnerships, limited liability companies and S corporations."
ACCT 5540,Accounting Information Systems,Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system. 
ACCT 5550,Data Analytics for Accounting,"Exploration of key components of Data Analytics that are of particular utility to accountants. This course has 2 primary elements to it: (1) Describe the Analytics process using an established data analytics model called the IMPACT cycle, and (2) Illustrate the process in audit, managerial accounting, and financial reporting."
ACCT 5620,Auditing and Assurance Services,"Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form. "
ACCT 5700,International Accounting,"Intensive focus on international financial statement analysis, cultural and economic differences that affect financial reporting in various countries. Examples include international financial reporting standards and accounting for foreign currency transactions."
ACCT 5820,Topics in Business,Offered irregularly to provide opportunity for investigation of new frontiers in accounting. 
ACCT 5827,Integrated Reporting for Socially Responsible Strategies,"Explores the growing global trend of companies to measure, disclose and report for socially responsible initiatives. Integrated reporting combines financial, environmental, social and governance information into a single report. Current practices in sustainability and integrated reporting in the US and across the world will be examined through case studies, guest speakers, current literature and projects. Can be taken concurrently with ACCT 3220. "
ACCT 6000,Academic Internship in Accounting,"Offers students the opportunity to gain professional work experience in an accounting or tax position while still in school. Provides academically relevant work experience that complements students' studies and enhances their career potential. Includes lectures and a course paper. Students may not preregister for this course, and they must contact the Director of the concurrent degree program in accounting for approval. Instructor consent required."
ACCT 6220,Corporate Financial Reporting,Provides an in-depth study of the concepts underlying contemporary financial accounting practice. Includes preparation and analysis of financial statements and the application of concepts to selected current issues. Students with credit for ACCT 3220 and 3230 or equivalents may not receive credit for ACCT 6220. 
ACCT 6250,Financial Statement Analysis,"Focuses on the use of accounting information by decision makers external to the firm. Considers judgments made by security analysts, bank lending officers and auditors. Emphasizes credit scoring, risk analysis and equity valuation. "
ACCT 6260,Seminar: Managerial Accounting,"Explores cost management, especially as related to organizational decision making, planning, and control. Emphasizes case analysis and applications."
ACCT 6290,Textual Analysis in Business,"This course will discuss basic ideas around natural language processing (NLP) in research in different dismal science disciplines, from Economics to Psychology and Political Science, with a bent/focus on financial markets and accounting statements. The course is meant for graduate students as an introductory course on textual analysis, with an emphasis on methods and applications in Finance and Accounting. The language of choice for the course will be R. The course will be multilingual in that both the faculty and students can use other languages than R (python/perl/C). "
ACCT 6350,Current Issues in Professional Accounting--Accounting Ethics,"Examines the nature of accounting theory and practice from perspectives of economics, law, globalization, accounting, ethics, and moral reasoning. Also explores issues including implications of institutional factors, such as Sarbanes-Oxley, SEC, FASB, IFRS, and capital markets. Counts as senior seminar for Concurrent degree students."
ACCT 6420,Research and Writing in Income Taxation,"Studies and applies the method used in tax research and tax planning, with the goal of developing tax research, technical writing and tax planning skills. Topics include examining primary and secondary sources of federal tax law, evaluating the hierarchy of these sources and developing technical writing skills using deductive legal reasoning."
ACCT 6430,Taxation of Partnerships,"Studies federal income taxation of pass-through entities such as those used by most small businesses in the U.S. Includes creation, operation, distributions, sale of interests and liquidation. "
ACCT 6450,Taxation of Corporations,"Studies federal income taxation related to taxable corporations, the entities through which a large part of the economic activity in the U.S. is conducted. Includes creation, operation, distributions, sale of interests and liquidation. "
ACCT 6620,Advanced Auditing: Business Risk and Decision Analysis,"Explores contemporary issues, historical developments, and selected topics pertinent to business assurance services by independent accountants. Emphasizes improving both the decision behavior of decision makers and the quality of information, or its context, for decision makers."
ACCT 6700,Income Taxation,Emphasizes the fundamentals of the federal income tax system and examines its impact on the individual. 
