APPM 1235,Pre-Calculus for Engineers,"Prepares students for the challenging content and pace of the calculus sequence required for all engineering majors. Covers algebra, trigonometry and selected topics in analytical geometry. Prepares students for the calculus courses offered for engineering students. Requires students to engage in rigorous work sessions as they review topics that they must be comfortable with to pursue engineering course work. Structured to accustom students to the pace and culture of learning encountered in engineering math courses. For more information about the math placement referred to in the Enrollment Requirements, please contact your academic advisor. Formerly GEEN 1235."
APPM 1236,Precalculus Work Group,Develops and enhances problem solving skills for students enrolled in APPM 1235. Course is conducted in a collaborative learning environment with students working in groups under the guide of a facilitator.
APPM 1340,"Calculus 1 with Algebra, Part A","Studies selected topics in analytical geometry and calculus: rates of change of functions, limits, derivatives and their applications. This course and APPM 1345 together are equivalent to APPM 1350. The sequence of this course and APPM 1345 is specifically designed for students whose manipulative skills in the techniques of high school algebra and precalculus may be inadequate for APPM 1350. For more information about the math placement referred to in the Enrollment Requirements, please contact your academic advisor."
APPM 1345,"Calculus 1 with Algebra, Part B","Continuation of APPM 1340. Studies selected topics in calculus: derivatives and their applications, integration, differentiation and integration of transcendental functions. Algebraic and trigonometric topics are studied throughout, as needed. "
APPM 1350,Calculus 1 for Engineers,"Topics in analytical geometry and calculus including limits, rates of change of functions, derivatives and integrals of algebraic and transcendental functions, applications of differentiations and integration. Students who have already earned college credit for calculus 1 are eligible to enroll in this course if they want to solidify their knowledge base in calculus 1. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
APPM 1351,Calculus 1 Work Group,Provides problem-solving assistance to students enrolled in APPM 1350. Student groups work in collaborative learning environment. Student participation is essential.
APPM 1360,Calculus 2 for Engineers,"Continuation of APPM 1350. Focuses on applications of the definite integral, methods of integration, improper integrals, Taylor's theorem, and infinite series. "
APPM 1361,Calculus 2 Work Group,Provides problem solving assistance for students enrolled in APPM 1360. Conducted in a collaborative learning environment. Student work groups solve calculus problems with assistance of facilitator.
APPM 1390,A Game for Calculus,"Coaches students to implement study strategies geared specifically toward APPM Calculus in a structured, supportive, small group environment. Department consent required."
APPM 1650,Python for Mathematical and Statistical Applications,"Uses Python to teach the fundamentals of computer programming with an emphasis on mathematical and statistical applications. Topics will include data types, data structures, iteration, visualization, and simulations. Techniques covered will be applicable to many scientific and technical fields. No prior programming experience is required."
