AREN 1027,Engineering Drawing,"Introduces engineering drawing including sections and dimensioning, print readings,computer 3D, and building information modeling (BIM)."
AREN 1316,Introduction to Architectural Engineering,"Surveys the broad subject of architectural engineering and professional practices. Includes professional design services, design documents, methods of construction delivery, materials for construction, codes and standards, life safety, professional ethics, structural systems, mechanical systems, electrical systems, and building systems integration."
AREN 2050,Building Materials and Systems,"Covers the broad subject of building materials and systems. Includes a practical approach to assembly details, methods of construction, codes, foundations, steel, concrete, masonry, cladding, doors and windows, interiors, finishes, mechanical, plumbing, electrical, life safety and conveyance. Includes investigation of an existing facility along with a team presentation trends in commercial building construction."
AREN 2110,Thermodynamics,"Explores fundamental principles of thermodynamics, including first and second law of thermodynamics, thermophysical properties, power and refrigeration cycles, gas mixtures and psychrometrics."
AREN 2120,Fluid Mechanics and Heat Transfer,"Explores fundamental principles of fluid mechanics and heat transfer. Topics include fluid statics, momentum and energy conservations; laminar and turbulent viscous flows; conduction, convection and radiation heat transfer. Emphasizes topics and problems that are important to Architectural Engineers including flow of fluids in pipes and ducts, heat transfer in buildings and building systems."
AREN 2121,Heat Transfer,This is an elective course for students who want to obtain an AREN BS degree and have taken Fluid Mechanics course but not heat transfer. This course will fulfill their curriculum requirement and allow them to take the following courses that require heat transfer knowledge. Previously offered as a special topics course.
AREN 2830,Special Topics,Supervised study of special topics of interest to students under instructor guidance.
AREN 3010,Energy Efficient Buildings,"Lecture course on the analysis and design of buildings and their systems to satisfy the requirements for a comfortable and healthy indoor environment. Examines psychometrics, thermal comfort, building heating and cooling loads, fluid flow basics, and HVAC components and systems."
AREN 3040,Circuits for Architectural Engineers,"This course will cover the basics of DC and AC circuit theory relevant to the modeling, design, and control of residential and commercial building systems, including Kirchoff's laws, Thevenin/Norton theorems, transient analysis of DC systems, three phase analysis, induction and synchronous motors, AC power (including real and reactive power analysis), power factor correction, and transformers."
AREN 3080,Architectural Design Studio 1,"Learn about the fundamentals of architectural design and the ways in which it compliments architectural engineering. This introductory studio welcomes students to explore the strategies and techniques through which architects design and communicate. As a studio, the course culminates in a small-scale architecture project through which students will explore and become trained in the architectural design process."
AREN 3140,Illumination Laboratory,Introduces the measurement of photometric and psychophysical quantities used in lighting. Experience is acquired in using light measurement instruments to evaluate lighting equipment and luminous environments. Taught intermittently.
AREN 3430,Architectural (Interior) Lighting Design,"Studies the fundamentals of architectural illumination with an emphasis in design and application. Introduces and applies basic principles and vocabulary to problems in the lighting of interior environments for the performance of visual work, the proper interaction with architecture, and compliance of energy requirements."
AREN 3440,Architectural Daylighting Design,Enables students to develop sufficient working facility with the core principles and practices of architectural daylighting to allow for meaningful integration into future design work. Students work in active project-based environments to explore both quantitative and qualitative aspects of primary daylighting issues and precepts. Previously offered as a special topics course. 
AREN 3540,Illumination I,Studies the fundamentals of architectural illumination. Introduces and applies basic principles and vocabulary to elementary problems in the lighting of environments for the performance of visual work and the proper interaction with architecture.
AREN 4010,Energy System Modeling and Control,"Engineering course devoted to building automation and control systems. Topics include HVAC control technology and strategies, measurement and device technologies, analysis and modeling of dynamic systems, simulation of conventional and advanced control approaches, assessment of control loop performance and hands-on direct digital control (DDC) programming exercises as used in current building control practice. "
AREN 4080,Architectural Design Studio 2,"Provide an architectural design studio to accompany the integrated capstone design experience for architectural engineering students. In teams, students will build upon their architectural design knowledge to define the architectural program, analyze the site, and produce a schematic level architectural design for a commercial building."
AREN 4110,HVAC System Design,"Applies engineering principles to the design of heating, ventilating and air conditioning (HVAC) systems for buildings. Covers HVAC systems description, load estimation, psychometrics, coils and heat exchangers, air and water distribution systems and primary equipment and systems. "
AREN 4130,Optical Design for Illumination and Solid State Lighting,"Covers the optical design process for illumination-based optics, emphasis on applications in architectural lighting. In-depth coverage of luminaire photometry, lamps, materials, manufacturing methods, product performance requirements. Projects utilize optical design software and include a variety of lamp types including LEDs using both reflector/lens optics. "
AREN 4315,Design of Masonry Structures,"Covers modern masonry construction; properties and behavior of the reinforced masonry component materials, clay and concrete masonry units, mortar, grout, and steel reinforcement; vertical and lateral load types and intensities; and design of reinforced masonry walls, beams and columns by the strength design method."
AREN 4318,Architectural Engineering Design 1,"Provides a capstone experience to AREN students. Students design a modest commercial building and complete an integrated engineering design of the building systems executed for the conceptual and schematic design phases. Students' teams work on structural, mechanical, electrical/lighting, and construction engineering management design. Each stage produces a professional-quality design document. Faculty and industry mentors participate in the teaching and evaluation."
AREN 4319,Architectural Engineering Design 2,"Continues the capstone experience for AREN students. Student teams continue their design of a modest commercial building through the Design Development phase with support from faculty and industry mentors. Additionally, topics of professionalism, engineering ethics, and life-long learning are covered."
AREN 4440,Lighting Design Capstone,"Synthesizes and applies knowledge and skills from previous lighting design courses in the Lighting Design Certificate. Students work on a real-world lighting design project following industry-standard phases of design while learning about lighting design professional practice, current design topics, trends, and industry issues."
AREN 4506,Pre-construction Estimating and Scheduling,Covers project management estimating and scheduling methods with an emphasis on the techniques used to create pre-construction estimates and schedules for architectural and civil engineering projects.
AREN 4530,Advanced Lighting Design,"Intended to help students understand light as a medium in design, begin the formulation of a philosophical perspective for its application, and continue to develop the skills required to design and implement lighting systems. Knowledge from previous lighting classes (Illumination I and Illumination II) is essential to this course."
