ARTH 1300,History of World Art 1,"Surveys major art styles from the Paleolithic period through the Renaissance, including European, Asian, and the Pre-Columbian/Islamic world. Emphasizes comparison of Western and non-Western visual expressions as evidence of differing cultural orientations."
ARTH 1400,History of World Art 2,"Surveys major art styles from about 1600 to the present, including Europe, Asia, the Islamic world, the Americas and Africa. Emphasizes comparison of Western and non-Western visual expressions as evidence of differing cultural orientations."
ARTH 1500,Global Art and Visual Culture,"Introduces critical issues in the study and interpretation of the arts and visual cultures of Africa, the Americas, Asia, Europe, and Oceania. This course serves as a complement to U.S. Art Across Cultures (ARTH 1600). Themes explored include the conceptual and social status of the artist, cultural exchange, the environment, gender, and power. In lecture and in recitations sections, you will be introduced to methods of object-based research and principles of museum exhibition curation. You will leave this class with an understanding of key concepts and methods in the history of art, as well as familiarity with an array of global visual cultures. "
ARTH 1509,"Trash and Treasure, Temples and Tombs: Art and Archaeology of the Ancient World","Introduces the art and archaeology of ancient Egypt, Mesopotamia, Greece and Rome, examining various ancient approaches to power, religion, death and the human body. Analyzes art, architecture and everyday trash to learn about ancient humanity. "
ARTH 1600,U.S. Art Across Cultures,"Examines historical and contemporary issues in American arts and visual culture, emphasizing issues of race, gender, class, cross-cultural interactions, diversity of artistic traditions, and the global position of the United States in the modern world. We will focus on key monuments, objects, artists, and concepts relevant to the American context and impactful across geopolitical borders, ethnic groups, and genders."
ARTH 1709,Freshmen Seminar: Critical Introduction to Art History,Provides a broad introduction to understanding and appreciating art and art history within a critical lecture seminar and discussion format. The focus of this course is a selected Particularly directed to nonmajors.
ARTH 2029,Art and Archaeology of Ancient Egypt,"Emphasizes the origin of the Egyptian culture, its importance and its impact on other cultures. In addition, the different points of view of various scholars are discussed with a comparative study of the ancient Egyptian culture and modern culture of Egypt and the Middle East. Formerly ANTH 1160."
ARTH 2039,Greek Art and Archaeology,"Covers prehistoric Aegean through the fourth century B.C.E., considering architecture, pottery, painting,sculpture, and personal ornament. Societal customs such as use of space and burial patterns are considered as well as art and its uses, to help understand developments in Greek culture. "
ARTH 2049,Introduction to Roman Art and Architecture,"Introduces the monuments and sites of the ancient Roman world from the foundation of Rome (753 B.C.E.) to Constantine (306-307 C.E.). Emphasizes the relationship of art, architecture, and artifacts to the political, social, and religious institutions of Italy and the provinces. "
ARTH 2409,Intro to Asian Art,"Designed for those having no previous experience in the study of Asian art. Traces development of sculpture, painting, architecture, and the other visual arts of South Asia, the Far East, and Southeast Asia, with a synopsis of developments from 1453 through the 18th century. "
ARTH 3009,Critical Thinking in Art History,"Through structured discussions, selected readings, and written assignments provides an understanding of how art history has evolved as an academic discipline and how art historians evaluate complex issues of style, form, content, and theory in the visual arts."
ARTH 3019,Pompeii and the Cities of Vesuvius,"Introduces the towns and villas buried by the eruption of Mt. Vesuvius in 79 C.E. Explores the layout and decoration of ancient Roman houses, the variety of artifacts uncovered as evidence for daily life and the history of the excavations. "
ARTH 3079,Medieval Art Survey,"Surveys the history of Western art from Constantine to around the year 1300, including Carolingian, Ottonian, Anglo-Saxon, Romanesque, and Gothic. Considers Barbarian, Byzantine, and Islamic influences."
ARTH 3109,Art in Contemporary Society,"Examines writings by philosophers and art critics as they address the question: What is art for? Readings focus on the 19th and 20th centuries, including current theories and some non-Western theories. Students are encouraged to develop their own responses to the question."
ARTH 3209,"Art, Culture, and Gender Diversity, 1400--1600: Renaissance Art Out of the Canon","Studies the rising status of painting, sculpture, and architecture in Europe and how Europeans perceived non-Western art during the early modern period. Introduces history of race/ethnicity, gender, and class concerns embodied in the European category visual arts. Emphasizes new methods for interpreting history without imposing Eurocentric viewpoints."
ARTH 3241,Art in Islamic Cultures,Offers an overview of art in Islamic cultures. Discusses a range of literary texts and images in order to understand these cultures. Offers an opportunity for undergraduates to expand their understanding of literature and art history. Taught in English. 
ARTH 3329,Art in France: Revolution to 1870,"Covers major art movements and theories in France from 1793 to 1870 on location in Paris. Students study ceramics, painting, sculpture, photography and some architecture. Political and cultural events are considered for their influence on art: excavations at Pompeii, colonial expansion in Middle East and Africa, influx of Asian art, exploration of Americas and various technical inventions. "
ARTH 3339,Art in France: 1870-1970,"Covers major art movements and theories in France from the Paris Commune through 1970 on location in Paris. Students study ceramics, painting, sculpture, photography and some architecture. Political and cultural events are considered for their influence on art: excavations at Pompeii, colonial expansion in Middle East and Africa, influx of Asian art, exploration of Americas and various technical inventions. "
ARTH 3359,Art in Spain: Goya to 1900,"Explores the scope of Goya's works in context of his contemporaries and antecedent, Velazquez; Moorish influences, genre painting costumbrismo, Romanticism and historical narratives are considered in relation to Enlightenment ideals, French Neoclassicism, Romanticism, Orientalism and the Napoleonic invasion. Teaching occurs mostly on site: Alhambra, Prado, Bellas Artes, Palacio Real, Museo de Romanticismo; seminars and tests are in Madrid classrooms. "
ARTH 3369,Art in Spain: 1900-1990,"Covers Gaudi, Picasso and artists of Modernismo movement as well as Dali are studied in Barcelona; Dada and Surrealism are explored through works of Picasso, Gonzalez, Gris, Varo, Dali, Bunuel and others. Photography and film of Spanish Civil War and thereafter are studied in seminar in Madrid classroom; students experience flamenco performances and Q&A with performers. Tests administered in class. "
ARTH 3419,Modern Art Survey,Surveys the loss of beauty in art and discusses whether or not that loss is regrettable. Questions the function and historical meaning of modern and postmodern art: is it all hype and strategic positioning by artists for fame and fortune? Is it serious? Are the fine arts still fine?
ARTH 3509,American Art,"Surveys American art and material culture from the precolonial era to the present day. Considers cultural and artistic interaction, ethnic expressions, patronage, European and non-Western influences, and the struggle to develop a uniquely American artistic identity."
ARTH 3519,"Modern Architecture, 1780--1960","Introduces the major movements and developments in European and American architecture from Neoclassicism to Postmodernism. Considers the impact of exhibitions, expositions, and vernacular architecture."
ARTH 3539,Contemporary Art,"Examines contemporary art and theory in the transition from modern to postmodern expression. Discusses painting, sculpture, installations, performance, video, photography, and architecture with attention to historical context and criticism. Considers neoexpressionist, feminist, minority, political, and public art."
ARTH 3619,The Arts of China,"Surveys Chinese painting, sculpture, architecture, and other arts from neolithic to modern times."
ARTH 3629,The Arts of Japan,Offers an appreciation and chronological development of the arts of Japan. Emphasizes the arts of Shintoism and Buddhism as well as the particular Japanese aesthetic from prehistoric times to the present.
ARTH 3719,History of Media Arts,"Surveys the development of technological media both as sources of information and as art. Photography and related media, film, video, holography, and electronic imaging systems are surveyed as art and as technologies, emphasizing major artists, movements, exhibitions, and other productions in the 19th and 20th centuries."
ARTH 3729,Foundations in Latin American Art,"Examines Latin America's cultural pluralism and visual production beginning in Pre-Colombian times and following through to the present day. Considers the various functions of art as well as the relationship between objects, artists, and the cultures from which they come. Focuses on how visual objects and images communicate across cultures including in times of political and social conflict. Provides students with a broad frame of reference for many historical periods, cultural/ethnic groups, and equips students to evaluate images and objects and their proper cultural contexts. "
ARTH 3929,Special Topics in Art History,
