BCHM 1020,A Path to Success: Introduction to the Biochemistry Major,"This course will help students navigate their first year of college and develop the skills needed for academic success as Biochemistry majors. Students will improve academic strategies (i.e. time management, problem-solving and study skills), identify available campus resources, learn how to get involved in clubs and gain research experience, and explore career opportunities as a biochemistry graduate. This is a first-year elective course specifically designed for first year and other students exploring their educational and career opportunities. "
BCHM 1041,Biotechnology and Society,"Covers recent advances in biotechnology and how those impact society. Content and discussion will focus on both the science behind technological advances, their impact on society, and the ethical issues raised by new technologies. Topics change each semester but can include: GMO crops, genome editing, drug discovery and development, stem cell therapies, development and use of new cancer treatments, human genome sequencing and its impact on diagnosis and treatments, human microbiome, neurodegenerative diseases. Formerly CHEM 1041."
BCHM 1701,Biochemistry Program for Research Exploration and Planning,"Biochem PREP is focused on developing first and second year student interest and engagement in undergraduate research. The program is designed to present participants with mentorship and opportunities to identify whether research is an opportunity students wish to participate in, and if so, get students connected to potential research opportunities. Participants will be provided with a cohort of their peers to explore and plan for research together through preparation workshops, research information sessions, and mentorship. The ultimate goal of the program is for participants to understand their research interests, possess the necessary skills to identify and obtain a research opportunity, and develop community with their peers and the Department of Biochemistry at large."
BCHM 2700,Foundations of Biochemistry,"Covers chemistry of aqueous solutions; energetics in biology; structure of proteins, nucleic acids, carbohydrates, and membranes; protein evolution; macromolecular interactions; enzyme kinetics, mechanism and regulation. Will be taught from a strong chemical perspective and mastery of basic concepts of general and organic chemistry will be required. Familiarity with basic concepts of molecular and cellular biology encouraged. Formerly CHEM 4700."
BCHM 3491,Organic Chemistry 2 for Biochemistry Majors,"Covers amines, alkylation reactions, additions to unsaturated C-C bonds, aromaticity and aromatic reactivity, organic materials, biomolecules, nomenclature of organic compounds, reaction mechanism. Department enforced corerquisite: CHEM 3341 or CHEM 3381. Formerly CHEM 3491. "
BCHM 4312,Quantitative Optical Imaging,"Explores the fundamentals of optical imaging in biology, especially molecular and cellular biology. Covered topics include an introduction to optics and microscopes, fluorescence microscopy and image analysis, and biological applications. MATLAB will be taught at the beginning of the course and used throughout for image processing. Prior experience with MATLAB (or Python) is highly recommended but not required. "
BCHM 4400,Core Concepts in Physical Chemistry for Biochemists,"Introduces thermodynamics, kinetics and spectroscopy, emphasizing macromolecule and biochemical applications. Includes thermodynamics, chemical and physical equilibriums, solution chemistry, rates of chemical and biochemical reactions, chemical bonds and principles and selected examples of spectroscopies applied to biological systems. Department enforced prerequisite or corequisite: PHYS 1120 or PHYS 2020. Formerly CHEM 4411. "
BCHM 4491,Modern Biophysical Methods,"Covers the basic theory of biophysical methods widely employed in biochemistry and biology, including: electrophoresis, mass spec, calorimetry, evanescent waves, plasmon resonance, Xray diffraction, absorbance and fluorescence spectroscopy, magnetic resonance, electron and optical microscopy and single molecule methods. Discusses ways to maximize rigor and reproducibility in biophysical studies. Department enforced prerequisites: undergraduate chemistry (general, organic physical); physics; calculus. "
BCHM 4611,Principles of Biochemistry,"One-semester overview of the main themes of modern biochemistry: biomolecular structure/function, metabolism, biosynthesis, DNA from genome to proteome and cellular signaling. For biology and engineering majors and others wanting an overview of biochemistry. Formerly CHEM 4611. "
BCHM 4621,Genome Databases: Mining and Management,"Develops essential skills for performing genomic analyses, with focus on developing practical research tools. Introduces human genome and microbiome projects, Python/Sql scripting, accessing and understanding genomic data, sequence alignment and search, evolutionary models, expression data, biological networks, and macromolecular structure. "
BCHM 4631,Statistical and Computational Analysis of the Human Genome,"This lab course covers fundamental statistical and computational approaches to large scale data. Students will learn the unix command line to: access public human genome data, learn what statistics apply to which types of data and apply them to study specific regions of the human genome involved in development and disease. This lab course will cover fundamental aspects of Virtual computing, Container analysis pipelines (e.g. NextFlow, GItHub) in an intuitive and practical learning framework. "
BCHM 4720,Metabolic Pathways and Human Disease,"Covers energy metabolism and anabolic/catabolic pathways; metabolism of carbohydrates, lipids, amino acids, and nucleic acids; photosynthesis; special topics on human diseases with pathologies and metabolic pathways. Formerly CHEM 4720. "
BCHM 4740,"Biochemistry of Gene Transmission, Expression and Regulation","Covers biosynthesis and function of macromolecules including DNA, RNA and proteins; molecular basis of replication, transcription and translation; biochemistry of subcellular systems; signaling and regulation of gene expression in eukaryotes; and special topics. Formerly CHEM 4740. "
BCHM 4751,Current Topics in Biochemical Research,"Lec. Covers current topics in modern biochemical research through lectures, reading recent research articles, critical thinking and class discussion. Topics include protein and nucleic acid structure and function, biomolecular interactions, enzyme function and cellular signaling and regulation. Formerly CHEM 4751. "
BCHM 4761,Biochemistry Laboratory,"Two 4-hour periods per week. Introduction to modern biochemical techniques. Topics include enzymology, spectrophotometry, electrophoresis, multi-step protein purification, recombinant DNA techniques and molecular cloning. Formerly CHEM 4761."
BCHM 4901,Independent Study in Biochemistry,For undergraduate study. Department consent required.
BCHM 5312,Quantitative Optical Imaging,"Explores the fundamentals of optical imaging in biology, especially molecular and cellular biology. Covered topics include an introduction to optics and microscopes, fluorescence microscopy and image analysis, and biological applications. MATLAB will be taught at the beginning of the course and used throughout for image processing. Prior experience with MATLAB (or Python) is highly recommended but not required. "
BCHM 5341,Chemical Biology and Drug Design,"Develop knowledge base and skills in the interdisciplinary field of chemical biology, including aspects of chemistry and biology, and integrating both with respect to hierarchical levels of structure (atomic, molecular, cellular). Students will receive training that helps to develop their careers in biotech, pharmaceutical and other research-oriented industries as well as in academia. Department enforced prerequisites: introductory organic chemistry and general biochemistry. Formerly CHEM 5341."
BCHM 5400,Core Concepts in Physical Chemistry for Biochemists,"Introduces thermodynamics, kinetics and spectroscopy, emphasizing macromolecule and biochemical applications. Includes thermodynamics, chemical and physical equilibriums, solution chemistry, rates of chemical and biochemical reactions, chemical bonds and principles and selected examples of spectroscopies applied to biological systems. Formerly CHEM 5400. "
BCHM 5491,Modern Biophysical Methods,"Covers the basic theory of biophysical methods widely employed in biochemistry and biology, including: electrophoresis, mass spec, calorimetry, evanescent waves, plasmon resonance, Xray diffraction, absorbance and fluorescence spectroscopy, magnetic resonance, electron and optical microscopy and single molecule methods. Discusses ways to maximize rigor and reproducibility in biophysical studies. Department enforced prerequisites: undergraduate chemistry (general, organic, physical), biochemistry, physics, calculus."
BCHM 5611,Principles of Biochemistry,"One-semester overview of the main themes of modern biochemistry: biomolecular structure/function, metabolism, biosynthesis, DNA from genome to proteome and cellular signaling. For biology and engineering majors and others wanting an overview of biochemistry. "
BCHM 5621,Genome Databases: Mining and Management,"Lec. Develops essential skills for performing genomic analyses, with focus on developing practical research tools. Introduces human genome and microbiome projects, Python/Sql scripting, accessing and understanding genomic data, sequence alignment and search, evolutionary models, expression data, biological networks, and macromolecular structure. "
BCHM 5631,Statistical and Computational Analysis of the Human Genome,"This lab course covers fundamental statistical and computational approaches to large scale data. Students will learn the unix command line to: access public human genome data, learn what statistics apply to which types of data and apply them to study specific regions of the human genome involved in development and disease. This lab course will cover fundamental aspects of Virtual computing, Container analysis pipelines (e.g. NextFlow, GitHub) in an intuitive and practical learning framework. "
BCHM 5661,Advances in Molecular Biophysics,"Discuss recent literature concerning biophysical studies of macromolecular structure and mechanism, including DNA, RNA, proteins, and their interactions. "
BCHM 5720,Metabolic Pathways and Human Disease,"Covers energy metabolism and anabolic/catabolic pathways; metabolism of carbohydrates, lipids, amino acids, and nucleic acids; photosynthesis; special topics on human diseases with pathologies and metabolic pathways. Formerly CHEM 5720. "
BCHM 5740,"Biochemistry of Gene Transmission, Expression and Regulation","Covers biosynthesis and function of macromolecules including DNA, RNA and proteins; molecular basis of replication, transcription and translation; biochemistry of subcellular systems; signaling and regulation of gene expression in eukaryotes; and special topics. Formerly CHEM 5740. "
BCHM 5751,Current Topics in Biochemical Research,"Lec. Covers current topics in modern biochemical research through lectures, reading recent research articles, critical thinking and class discussion. Topics include protein and nucleic acid structure and function, biomolecular interactions, enzyme function and cellular signaling and regulation. Department consent required. Formerly CHEM 5751. "
BCHM 5770,Fundamentals of Biochemistry I,"Analysis of topics in biochemistry including DNA structure and replication, RNA synthesis and processing, protein synthesis, enzyme function and mechanism, and protein structure and dynamics. Intended as a comprehensive treatment of areas central to modern biochemistry for entering graduate students. Lectures concurrent with BCHM 5771 covering the same topics except for the requirement of a written research proposal. Formerly CHEM 5770."
BCHM 5771,Advanced General Biochemistry 1,"Lect. In-depth analysis of DNA structure and replication, RNA synthesis and processing, protein synthesis, enzyme function and mechanism, protein structure, protein dynamics, and physical chemistry of macromolecules. Intended as a comprehensive treatment of areas central to modern biochemistry for entering graduate students. Formerly CHEM 5771."
BCHM 5776,Scientific Ethics and Responsible Conduct in Research,"Lect. Advanced discussion of topics in scientific ethics, including requirements for responsible conduct of research, case histories of fraud, research misconduct, ethical misconduct and development of professional values and ethical standards. "
BCHM 5780,Fundamentals of Biochemistry II,"Analysis of topics in biochemistry including protein structure, methods of structure determination and prediction, protein folding, and protein dynamics. Intended as a comprehensive treatment of areas central to modern biochemistry for entering graduate students. Lectures concurrent with CHEM 5781, covering the same topics except for the requirement of a written research proposal. Formerly CHEM 5780."
BCHM 5781,Advanced General Biochemistry 2,"Lect. Detailed consideration of contemporary topics in biochemistry, including protein structure (primary, secondary, tertiary, and quaternary), methods of structure determination and prediction, protein folding (kinetics, thermodynamics, denaturation, and renaturation), and protein dynamics (internal motions and methods of analysis). Formerly CHEM 5781."
BCHM 5801,Advanced Signal Transduction and Cell Cycle Regulation,"Lect. Advanced discussion of current research and literature in signal transduction, including ligands, receptors, and intracellular signaling pathways, as well as control on transcription, chromatin structure, DNA replication, mitosis, and cell cycle progression. Formerly CHEM 5801."
BCHM 5811,Advanced Methods in Protein Sequencing and Analysis,"Lect. Advanced discussion of current methods in protein sequencing, sequence analysis, and posttranslational modifications, emphasizing techniques of mass spectrometry, use of protein databases, sequence alignment and motifs, structure prediction, and modeling of signaling pathways. Department consent required. Formerly CHEM 5811."
BCHM 5821,Special Topics in Signaling and Cell Regulation,"Lect. Reviews and evaluates literature on subjects of current interest in signal transduction transcription, cell cycle progression, and cell regulation. Primarily for graduate level presentation of special topics by students, faculty, and research staff. Department consent required. Formerly CHEM 5821."
BCHM 6601,Biochemistry Seminar,Restricted to and required for all currently funded NIH/CU Biophysics trainees and current NIH/CU Biophysics affiliates. Credit is deferred until presentation of satisfactory seminar. Formerly CHEM 6601.
BCHM 6711,Advanced Topics in Biochemistry,Detailed study of current literature relative to one main topic is undertaken each semester. Topics covered on a rotating basis include enzyme kinetics and mechanisms; lipids and lipoproteins; chemistry and enzymology of nucleic acids; biochemistry of nucleic acids in eukaryotic cells; protein chemistry. Presentations include faculty lectures and student reports. Department enforced prerequisite: one year of biochemistry courses. Department consent required. Formerly CHEM 6711.
BCHM 6731,Advanced Topics in Biochemistry,Detailed study of current literature relative to one main topic is undertaken each semester. Topics covered on a rotating basis include enzyme kinetics and mechanisms; lipids and lipoproteins; chemistry and enzymology of nucleic acids; biochemistry of nucleic acids in eukaryotic cells; protein chemistry. Presentations include faculty lectures and student reports. Department enforced prerequisite: one year of biochemistry courses. Department consent required. Formerly CHEM 6731.
BCHM 6901,Research in Biochemistry,
BCHM 6941,Master's Candidate for Degree,Students are not admitted for the master's degree but may be transferred to the MS plan if they are unable to meet the demands of the PhD program.
BCHM 6951,Master's Thesis,Students are not admitted for the master's degree but may be transferred to the MS plan if they are unable to meet the demands of the PhD program.
BCHM 7601,Seminar: Nucleic Acid Chemistry,Topics in various aspects of current research; emphasizes student readings and presentations. Department consent required.
BCHM 7611,Seminar: Structures and Dynamics of Biopolymers in Solution,"Discussion of experimental and theoretical approaches for probing structures and dynamics of proteins, peptides, and nucleic acids; and computations in molecular dynamics simulation, modeling, and geometry. Department consent required. Formerly CHEM 7611."
BCHM 7621,Seminar: Biochemistry and Molecular Biology of Signal Transduction,"Discusses and reviews the current literature and experimental results in signal transduction, cell cycle and tumor suppressor gene regulation. Emphasizes the understandings of molecular and biochemical mechanisms of the origin of human tumor cells. Formerly CHEM 7621."
BCHM 7651,Seminar: Environmental Biochemistry,Topics in various aspects of current biochemical and environmental research. Department consent required. Formerly CHEM 7651.
BCHM 7661,Structure/Function of Human Mediator Transcription Complexes,Study of the mechanisms of eukaryotic gene expression with an emphasis on the structure and function of human mediator transcription complexes. Formerly CHEM 7661.
BCHM 7671,Seminar: Topics in Designing Probes for Signaling Reactions,"Discussion of advances and developments in biomolecular dynamics, with emphasis on experimental studies via ultrafast laser spectroscopy. The connection of protein dynamics with function will also be considered. Formerly CHEM 7671."
BCHM 7691,Seminar: Protein Dynamics and the Mechanism of Sensory Proteins,"Discusses recent results and current literature in the areas of the mechanism of sensory proteins, internal motions of proteins, and protein folding. Department consent required. Formerly CHEM 7691."
BCHM 7701,Seminar: Enzyme Mechanisms and Kinetics,"Studies experimental approaches to understand the mechanisms of enzymic catalysis. Techniques include steady-state and pre-steady-state kinetics, isotope trapping and partitioning, inhibition by substrate analogues, and covalent modification of proteins. Department consent required. Formerly CHEM 7701."
BCHM 7711,RNA Mediated Inorganic and Organic Reactions,"Discussion of advances and developments in biomolecular dynamics, with emphasis on experimentalstudies via ultrafast laser spectroscopy. The connection of protein dynamics with function will also be considered. Formerly CHEM 7711."
BCHM 7741,Seminar: Signal Transduction and Protein Phosphorylation,Devoted to experimental methods for understanding mechanisms of signal transduction in mammalian cells through pathways involving regulation of protein phosphorylation. Department consent required. Formerly CHEM 7741.
BCHM 7751,Seminar: Protein Structure and Folding,"Studies structure and folding of proteins and protein complexes using biophysical methods, including nuclear magnetic resonance (NMR), circular dichroism, and fluorescence spectroscopies. Department consent required. Formerly CHEM 7751."
BCHM 7761,Seminar: Eukaryotic Transcriptional Regulation,Studies the regulation of transcription by RNA Polymerase II from human promoters. Department consent required. Formerly CHEM 7761.
