CLAS 1010,The Study of Words,"Study of English words of Latin and Greek origin, focusing on etymological meaning by analysis of component parts (prefixes, bases, suffixes) and on the ways in which words have changed and developed semantically. No Greek or Latin required. "
CLAS 1020,Argument from Evidence: Critical Writing about the Ancient World,"Introduces students to writing about the ancient world, with special attention to the possibilities and the limitations of ancient source-material. Taught as a writing workshop, with emphasis on critical thinking, analysis, argument and inquiry. While the course reads foundational ancient texts, the skills acquired will be broadly useful among humanities disciplines."
CLAS 1030,Introduction to Western Philosophy: Ancient,"Introduces major philosophical ideas originating in ancient Greece, including the concepts of eudaimonia (happiness), sophia (knowledge), philosophia, psychê (soul), aretê (virtue), erôs (love), and democracy, placing these in historical context and relating them to subsequent philosophical developments. Topics may include the nature of happiness; why philosophy and democracy flourished in ancient Greece; the ancient Greek origins of science; whether being a virtuous person makes you happier; and ancient Greek thinking about life, love, and death. "
CLAS 1051,The World of the Ancient Greeks,"Surveys of the emergence, major accomplishments, failures and the decline of the ancient Greeks, from the Bronze Age civilizations of the Minoans and Mycenaeans through the Hellenistic Age (2000-30 B.C.). No Greek or Latin required. "
CLAS 1061,The Rise and Fall of Ancient Rome,"Surveys the rise of ancient Rome in the eighth century B.C. to its fall in the fifth century A.D. Emphasizes political institutions, foreign policy, leading personalities, and unique cultural accomplishments. No Greek or Latin required. "
CLAS 1071,Ancient Sport and Spectacle,"Surveys the development, evolution and impact of sport and spectacle in the Greco-Roman world through the deconstruction of games during the Christian era of the Roman Empire. Examines, among other relevant topics, games in the Homeric tradition, the development of the Greek Olympics and Roman spectacles including the circus, amphitheaters and gladiators."
CLAS 1100,Greek and Roman Mythology,"Covers Greek and Roman myths as expressions of religious experience and imagination, of Greek and Roman culture and society, and as part of the fabric of Western cultural tradition. Of particular interest to students of literature and the arts, psychology, anthropology, and history. No Greek or Latin required."
CLAS 1110,"Gods, Monsters and Mortals: Literature of Ancient Greece",Read about mythological heroes and historical individuals from Achilles to Socrates. Explore why Greek authors told stories the way they did and what those stories might have meant to them and might mean to us. Ancient texts in English translation.
CLAS 1115,Masterpieces of Greek Literature in Translation,Students read about mythological heroes and historical individuals from Achilles to Socrates in Greek literature. Class discusses why the Greeks told stories the way they did and what those stories might have meant to them and might mean to us.
CLAS 1120,Power and Passion in Ancient Rome,Read about mythological heroes and historical individuals from Romulus to Catiline and the emperors Augustus and Nero. Explore why Roman authors told stories the way they did and what those stories might have meant and might mean to us. Ancient texts in English translation.
