DNCE 1000,Beginning Contemporary Dance Technique,"Introduces students to the dynamic capabilities of the body as an articulate means of expression. Presents basic concepts and skills from contemporary dance forms that may include Afro-modern, floor work, inversion, classical modern and improvisation. Classwork develops efficient alignment, strength, flexibility, coordination, rhythm, dynamics and spatial awareness. No experience necessary. "
DNCE 1012,Dance Production,"Provides the dancer with an introduction to the types of performance venues available today, and their technical systems and equipment. It will also establish an awareness of how technical theatre design arts may be utilized by a choreographer."
DNCE 1013,Dance Improvisation,An opportunity for students to develop skills of dance improvisation through the exploration of structured movement problems. Students study selected contemporary dance artists whose work stresses improvisation in performance and/or as a training vehicle. Department consent required for dance minors.
DNCE 1017,Dance in Popular Culture and Media,"Explores and contextualizes contemporary popular culture and dance. Introduces methods of critical analysis that reveal the rich heritage hidden within and around the dances students commonly encounter at the club, on the street, on television, on the big screen and elsewhere in everyday life. Through watching, reading, and discussion, students discover new meaning in their lived cultural experience."
DNCE 1020,Beginning Contemporary Dance with Experience,"Invites students to deepen their somatic awareness, efficient athleticism, and creative voice through the medium of contemporary dance. Continues the investigation of contemporary dance forms that may include Afro-modern, floor work, inversions, classical modern, and improvisation. Classwork will deepen students' alignment, strength, flexibility, coordination, rhythm, dynamics and spatial awareness. "
DNCE 1027,Dance in Cultural Perception and Expression,"Explores how the practice of dance can reflect, disrupt, subvert, support, and reinforce cultural expectations, norms and practices. Introduces international and domestic dance traditions and provides context for an interdisciplinary examination. Comparative readings from sociology, anthropology, gender studies, history, post-colonial studies, and political science provide a foundation to understand how cultural identities are negotiated and represented through movement."
DNCE 1091,Modern 1,"Introduces basic skills of modern dance. In-class technique work increases muscle strength, flexibility, and coordination. Offered summers only at Perry-Mansfield Performing Arts Camp. "
DNCE 1100,Beginning Ballet,"Introduces beginning students to fundamental aspects of classical ballet technique; no previous experience required. Basic principles of alignment, rotation, and movement quality are introduced as the building blocks for success in advanced material. Foundational movements and ballet vocabulary are learned and refined. Students work toward mastery of simple combinations and rhythmic patterns. "
DNCE 1120,Beginning Ballet with Experience,"Relies on a demonstrated comprehension of kinesthetic and conceptual principles mastered at the beginning level. New movements from the classical ballet vocabulary are introduced with continued emphasis on alignment, rotation, and movement quality. Ballet sequences are longer and more complex. "
DNCE 1190,Ballet 1,Beginning ballet covering the basic vocabulary of classical ballet technique. Offered summers only at Perry-Mansfield Performing Arts Camp. 
DNCE 1200,Beginning Jazz Dance,"Introduces various styles of movement unique to jazz dance including improvisation, isolations, and African-influenced polyrhythms. Working within a range of dynamic performance styles, students will learn fundamental dance skills and jazz vocabulary, from which more advanced skills can be developed. Designed for students will little or no dance experience. "
DNCE 1220,Beginning Jazz with Experience,Digs deeper into syncopated movement style of the jazz vernacular by continuing the embodied investigation of the Africanist influence on the form. Demands a rigorous awareness of efficient alignment while engaging with complex movement and challenging rhythmic structures. 
DNCE 1290,Jazz 1,"Introduces jazz dance, consisting of a technique warm-up, locomotion across the floor, and a series of dance phrases developed into a short dance combination. Offered summers only at Perry-Mansfield Performing Arts Camp. "
DNCE 1301,Hip-Hop Dance Technique 1,"Introduces students to Hip-Hop dance as a culturally significant form. Students learn history, the social and political forces at work, and the fundamental techniques (Campbell Locking, Popping, Breaking etiquette/movements, Hip-Hop Party Dance and House). Intellectual challenge is offered through the lens of critical race theory and historical context. Training addresses flexibility, sequencing, coordination, and performance skills. "
DNCE 1401,Transnational Fusion Dance: USA and Middle East/North Africa,"Introduces a fusion form popularized in 2000: secular dance traditions of the Middle East/North African (MENA) communities in dialog with popular dances of the hip-hop and underground electronic dance music communities. Stretching, hip work, spinal undulations and poly-rhythmic orientations are covered. Educational highlights include discourse regarding cultural appropriation and gender coding in human movement. "
