ECON 1078,Mathematical Tools for Economists 1,"Teaches mathematical skills and logical thinking for use in economics. Topics include algebra, graphs, functions, and probability. Includes many Real world examples and some illustrative computer assignments."
ECON 1088,Mathematical Tools for Economists 2,"Continuation of ECON 1078. Teaches mathematical skills for use in economics. Topics include derivatives, optimization and integration. These skills are used on real world problems and illustrated with computer assignments. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
ECON 2010,Principles of Microeconomics,"Examines basic concepts of microeconomics or the behavior and the interactions of individuals, firms and government. Topics include determining economic problems, how consumers and businesses make decisions, how markets work, and how they fail and how government actions affect markets."
ECON 2020,Principles of Macroeconomics,"Provides an overview of the economy, examining the flows of resources and outputs and the factors determining the levels of income and prices. Explores policy problems of inflation, unemployment and economic growth."
ECON 3070,Intermediate Microeconomic Theory,"Explores theory and application of models of consumer choice, firm and market organization, and general equilibrium. Extensions include intertemporal decisions, decisions under uncertainty, externalities, and strategic interaction."
ECON 3080,Intermediate Macroeconomic Theory,"Introduces theories of aggregate economic activity including the determination of income, employment, and prices; economic growth; and fluctuations. Macroeconomic policies are explored in both closed and open economy models. ECON 3070 ECON and 3080 may be taken in any order; there is no recommended sequence."
ECON 3403,International Economics and Policy,"Examines national and supranational policies that affect the international economy, with attention to trade barriers, economic nationalism and regionalism, international political economy, exchange market intervention, and international transmission of economic perturbations. Credit given in this course is not included in the calculation of an economics major GPA. May not be taken after either ECON 4413 or ECON 4423."
ECON 3535,Natural Resource Economics,"Integrates economic analysis with life science aspects of natural resource systems to develop social policies for use of natural resources. Studies economists' approaches to resources policy analysis and applies them to energy, forestry, fisheries, mineral and water systems. Credit given in this course is not included in the calculation of an economics major GPA. "
ECON 3545,Environmental Economics,"Highlights causes of excessive environmental pollution and tools for controlling it through economic analysis, values of preservation and distribution of costs and benefits from environmental protection programs. Credit given in this course is not included in the calculation of an economics major GPA. "
ECON 3616,"Employment, Wages and the Future of Work","Examines how automation, globalization and information technology are changing which jobs get done, by whom and how much they pay. Illustrates how basic labor supply and demand theory helps predict the impact of technological progress on occupational composition, income inequality and the nature of work itself. These theoretical tools also guide our search for appropriate public policy responses. Credit given in this course is not included in the calculation of an economics major GPA."
ECON 3784,Economic Development and Policy,"Introductory course in Economic Development, designed for non-majors. Students are introduced to the major issues in development economics. Explores empirical, theoretical and policy issues in economic development. Emphasis is placed on the controversial issues in this literature, requiring students to explore competing, and often conflicting, perspectives of these issues."
ECON 3818,Introduction to Statistics with Computer Applications,Introduces statistical methods and their applications in quantitative economic analysis.
