ENGL 1001,"Writing, Reading, Culture","This course provides training and practice in writing and critical thinking with a focus on literary and cultural studies. We will emphasize reading, the writing process, the fundamentals of composition, and the structure of arguments. There will be varied writing assignments with opportunities for revision."
ENGL 1191,Introduction to Creative Writing,Introduces techniques of fiction and poetry. Student work is scrutinized by the instructor and may be discussed in a workshop atmosphere with other students. May not be taken concurrently with ENGL 2021 or ENGL 2051. May not be repeated.
ENGL 1210,The Novel,"The ¿novel¿ means ¿the new.¿ And the novel is a new literary genre in history, a fresh young upstart compared to poetry and drama. This course introduces students to the novel form: its definitions, evolutions, and possibilities. Novels may be drawn from a range of British, American, European, and global traditions to expose students to the endless potential of how novels imagine the world."
ENGL 1220,From Gothic to Horror,"Explores literature in the Gothic mode and aesthetic and critical theories related to modern horror genres or their precursors. Introduces literary-critical concepts (such as notions of abjection, repression and anxiety) that developed alongside this branch of literature. Students read canonical works in British and American traditions while reflecting on notions of popular or marginalized literature."
ENGL 1230,Environmental Literature,"This course explores the conjunctions of literature and environments: natural, built, and/or virtual. Students consider literary confrontations with issues such as ecological crises, climate change, human impact on the planet, technics and indigeneity, non-human animals and inhuman agencies, future natures, and environmental justice. Readings may include novels, non-fiction, short fiction, poems, graphic novels, and more."
ENGL 1240,Planetarity,"Focuses on post-WWII American writing and thought about the planet and humanity. We explore how postwar efforts to transform the terrestrial environmental and conquer outer space raise questions about humanity, technology, and nature. We also study how earth and space serve novelists, artists, and film-makers as environments to confront large-scale questions about culture, identity, and power."
ENGL 1250,Introduction to World Literature by Women,"This course considers how literature represents gendered experiences across multiple countries and continents. Students will read fiction and poetry by women from South Asia, East Asia, Africa, Europe, and the Americas, that address questions of sexuality, marriage, and family, politics, labor, and justice at the intersections of gender, race, and nation. "
ENGL 1260,Introduction to Women's Literature,Introduces literature by women in England and America. Covers both poetry and fiction and varying historical periods. Acquaints students with the contribution of women writers to the English literary tradition and investigates the nature of this contribution. 
ENGL 1270,Introduction to American Literature by Women,"This course investigates how literature by women has shaped the United States over time, from Indigenous authors, to abolitionists, to suffragists, to feminists of various waves. With attention to intersections between class, race, and sexual orientation, students will consider what it has meant and still means to be a woman writer in the United States and will explore how women have engaged, subverted, and resisted ideas about gender. "
ENGL 1280,Plague and Pandemic,"Explores how literature has depicted the experience of plague across different historical periods and geographical areas (for instance, the Black Death in medieval times, smallpox in colonial America, the 1918 Spanish influenza, the HIV epidemic). Investigates how pandemics raise philosophical questions about what constitutes human communities and borders between insiders and outsiders, health and illness, self and other."
ENGL 1290,"Crime, Policing, Detection","Explores stories about crime and policing, deviance and detection, law and order. Students will learn how genres such as detective or crime fiction or police procedurals narrate anxieties about race, class, gender, sexuality, and nationality. Analyzes how categories of innocence and guilt, justice and punishment, are imagined and portrayed in short stories, films, novels, and TV shows."
ENGL 1310,The Modern Fairy Tale,"This course will introduce you to a great variety of fairy tales, folk tales, parables and legends written and composed in English, translated from other languages, and criticism around the form. By the end of the semester, you will have tools to understand these types of stories in terms of both reading and writing. We will discuss terminology, themes, tradition and innovation, as well as the ways that fairytales live in the world now."
ENGL 1340,Mysticism and the Jewish American Literary Tradition,"Explores the mystical tradition within Judaism from ancient times to the present. With roots in the Hebrew Bible, Jewish mysticism is one of the oldest forms of mysticism and has had an influence on some of the greatest philosophical traditions of western civilization. "
ENGL 1420,Poetry,Introduces students to how to read a poem by examining the great variety of poems written and composed in English from the very beginning of the English language until recently.
ENGL 1500,Introduction to British Literature,Introduces students to the British literary tradition through intensive study of centrally significant texts and genres.
ENGL 1600,Introduction to American Literature,Introduces students to the American literary tradition through intensive study of centrally significant texts and genres.
ENGL 1700,Introduction to Shakespeare,"This course introduces several of William Shakespeare¿s plays, including comedies, tragedies, and histories. Students will become familiar with Shakespeare¿s dramatic language, often by reading aloud, acting short scenes, or offering creative responses. We will also explore how filmmakers have adapted Shakespeare¿s dramas for the screen. No previous experience with Shakespeare is expected: all students at CU are welcome!"
ENGL 1800,American Ethnic Literatures,"Students will learn how writings by African American, Native American and Indigenous, Chicana/o/x, Latina/o/x, Asian American, and/or Arab American authors are central to the US literary tradition. The class explores the significance of ethnic US literatures and cultures through short stories, novels, plays, films, and more."
ENGL 2006,American Comics and Graphic Novels: An Ambivalent Art,"Immerse yourself in comics. Spanning all media platforms, comics are a global force in the twenty-first century culture. This course is an introduction to comics history and a headlong dive into comics today. It covers superheroes, movies, novels, as well as making comics. It proposes that comics help us understand ourselves in the world today."
ENGL 2016,Children¿s Literature,"This course examines classics of children¿s literature. Students will read a wide range of genres written for children, from fantasy to adventure to fairy tales to realistic fiction. We will discuss how ideas about childhood change over time as well as how one of the most lucrative parts of the publishing industry wields a wide cultural influence."
ENGL 2017,World Literature,"Songs. Epics. Autobiographies. Novels. Tales. Plays. Films. These genres appear across cultures, languages, and historical periods. This course focuses on how genres work in a variety of cultures and time periods, reading work written in English and in translation. Students will gain a deep understanding of the possibilities of that genre as well as an introduction to the way that literature travels between cultures. Topics and focus will vary by instructor."
ENGL 2021,Introductory Poetry Workshop,Introductory course in poetry writing. 
ENGL 2026,"Popular Culture, Critical Reading","This course engages with forms of popular culture (for example, franchises, graphic novels, genre fiction, video games, trashy books) and considers how we can analyze these cultural forms critically. Students read a range of criticism written by amateurs, fans, journalists, social media, critics, and scholars, and will consider how the production of these cultural forms are shaped by different audiences."
ENGL 2036,Introduction to Media Studies in the Humanities,"Serves as an introduction to media studies specifically from a humanities perspective. Studies both histories and theories of media from the 20th and 21st centuries. Touches on methodologies for undertaking media studies (including distant ready and media archaeology). Objects of study may include such topics as film, radio, social media platforms and games, as well as digital art and literature. "
ENGL 2051,Introductory Fiction Workshop,Introductory course in fiction writing. 
ENGL 2058,Introduction to Modern and Contemporary Literature,"This course explores how literature, art, and culture in the 20th and 21st centuries responded to the social, political, and economic upheavals that have occurred since 1900. Students will read a selection of modern and contemporary writers from Anglo-American and/or global traditions to help us understand our present moment and to see what made us who we are."
ENGL 2102,Literary Analysis,"Students will build skills in careful, detailed reading and critical writing. Focusing on poetry, prose, and plays, the course cultivates an understanding of literary forms and genres and introduces techniques and vocabulary essential for the study of literature."
ENGL 2112,Introduction to Literary Theory,"This course introduces students to a wide range of critical theories essential to the study of literature. Critical theories have broad applications because they provide ways to interpret all cultural products, including visual arts, music, and writing. We will investigate some of the major movements relevant to literary studies, which may include, for example, cultural studies, structuralism, feminisms, ecocriticism, critical race theories, postmodern theory, media theories, etc."
ENGL 2115,American Frontiers,"This course explores the power of the frontier myth in US literature and culture. The material we cover may range from stories of the American West and American empire to frontiers like cyberspace or outer space (the final frontier). Texts may include short stories, novels, movies, photographs, and computer games."
ENGL 2212,Science Fiction,"This course examines science fiction novels, short stories, and movies, paying close attention to what they teach us about our world. How do these works speculate about the future and alternative realms, and how do they portray our hopes and fears for the promises and limits of technology? Science fiction thinks about ways in which bodies, individuals, and societies might be different, and imagines ways of being and living other than our present."
ENGL 2503,Medieval and Renaissance,"Surveys groundbreaking literature from the medieval period to the late seventeenth century. Topics of discussion may include gender and embodiment, technologies of communication and discovery, and premodern notions of race or cultural identity. Students will be encouraged to read aloud, explore unfamiliar literary forms, and share their ideas and questions."
ENGL 2504,Enlightenment and Modernity,"Surveys key trends and works in literature after 1660, focusing on issues such as modernity; national or colonial identities; political, economic, social, technologic and scientific revolutions; and reading and media technologies. Students will be encouraged to read aloud, explore unfamiliar literary forms, and share their ideas and questions. Formerly ENGL 2512."
ENGL 2655,American Literature to the Civil War,"Students will explore chaos, possibilities, and violence in American literature as Indigenous lands transform into British colonies transform into a nation that expands across the continent, but nearly implodes in civil war. This class considers how authors struggling to define America used a rising print culture and evolving literary landscape to confront issues of nation, empire, race, gender, sexuality, religion, modernity, and industrialization."
ENGL 2665,American Literature from the Civil War,"This course surveys the vibrant, diverse, and complex traditions of US writing from the aftermath of the Civil War through the present. Students will explore a period of literary innovation while asking how the United States has transformed into the nation it is today. Topics of discussion may include race, capital, empire, media, and culture."
ENGL 2707,Introduction to Queer Literature,"How is literature shaped by cultural understandings of queer and non-normative genders and sexualities? How does it, in turn, shape those understandings? This class explores how genders, sexualities, and writing intersect with issues of race, class, nation, ability, and empire. Readings may include novels, short stories, poetry, graphic novels, films, essays, blogs, and more. "
ENGL 2717,American Indian Literature,"Surveys historical and contemporary North American Native American literature. Examines the continuity and incorporation of traditional stories and values in Native Literature, including novels, short stories and poetry. "
ENGL 2737,Introduction to African American Literature,"This course traces the roots of contemporary African American writings through the Harlem Renaissance to early Black poetry and slave narratives. Students will explore how African American authors have used genre, language, and publication to question intersections of race, gender, sexuality, class, nation, empire, colorism, and freedom in US and African American history. "
ENGL 2747,Introduction to Chicana/o/x Literature,"This class explores the diverse and vibrant writings of Chicana/o/x authors from today back through a time when places like Colorado and California were part of Mexico. Readings consider how Chicana/o/x authors have used concepts such as Greater Mexico, Aztlán, la frontera, and Chicanidad to question intersections of language, race, class, gender, sexuality, indigeneity, nation, violence, and empire. "
ENGL 2767,"Race, Empire, and the Postcolonial","When did the sun set on the British Empire? In the twentieth century, countries across Africa, Asia, and the Caribbean fought for their independence and built their own literary and cultural traditions while grappling with the legacies of empire. This course explores how authors from these new nation-states wrote about racial oppression; global economic inequalities; the promise of new national identities; the lingering effects of colonialism; and the use of English as a literary language. "
ENGL 3000,Shakespeare for Nonmajors,"Introduction to Shakespeare. Introduces students to 6-10 of Shakespeare's major plays. Comedies, histories, and tragedies will be studied. Some non-dramatic poetry may be included. Viewing of Shakespeare in performance is often required."
ENGL 3005,The Literature of New World Encounters,"This course explores how literary, cultural, and historical works stage intersections and encounters between European settlers and Indigenous peoples. Christopher Columbus¿s epochal journey brought the Old World (Asia, Africa, Europe) into contact with the New World (the Americas), setting in motion the diffusion of plants, animals, peoples, and pathogens. Students will think about the economic, cultural, historical, and biological consequences of the European invasion and settlement of the Americas."
ENGL 3006,Digital Editions & Web Publishing,Introduces students to the theories and practices involved in making a scholarly edition. Students create their own digital editions and learn the requisite skills to publish scholarly research on the web.
ENGL 3008,The Novel After 1900,"This course explores developments in the novel after 1900. The twentieth and twenty-first centuries witness multiple experiments in the genre as the novel keeps being invented anew. Students will learn about a range of different novelistic styles and trends in the twentieth and twenty-first centuries, which may include: modernism, socialist realism, postmodernism, postcolonialism, proletariat writing, domestic and feminist fiction, queer fiction, autobiography, magical realism, encyclopedic novels, climate change fiction, middlebrow fiction, speculative fiction."
ENGL 3021,Intermediate Poetry Workshop,Intermediate course in poetry writing. 
ENGL 3025,"America: Colony, Nation, World","This course explores how literature creates, complicates, and nuances narratives of the United States from its early beginnings to the contemporary moment. The course may focus on a specific context (for example, the US and the Americas; regionalism; neoliberalism), period (for example, pre-Civil War, Reconstruction, post-1945), or genre (for example, travel narratives; political writing; legal cases)."
ENGL 3026,"Syntax, Citation, Analysis: Writing About Literature","Students hone their writing skills by closely analyzing the language in literary texts. The course will focus on the nuances of sentence structure and grammar, in order to help students become better writers and readers. Students will learn how to perform research in literary criticism and will write and revise a research paper, as well as a number of other short papers for different audiences. Students will learn and use citation methods within the discipline and will discuss the reasoning behind citational practice. "
ENGL 3031,Studies in Creative Writing for Nonmajors,"How do stories work, and what's involved with writing them and then getting them out into the world? This course will, through lectures and recitation, work through the many techniques writers use to pull the reader ahead page by page¿dialogue, exposition, prose, structure, and the rest¿as well as the various mechanisms by which that writing can make its way out into the world."
ENGL 3041,Studies in Fiction and Poetry,Examines literary forms and themes with special emphasis on issues related to the craft of poetry and fiction. This course is taught in conjunction with visiting lectures by practicing writers. Does not count as Creative Writing workshop credit.
ENGL 3051,Intermediate Fiction Workshop,Intermediate course in fiction writing. 
ENGL 3060,Modern and Contemporary Literature for Nonmajors,"Close study of significant 20th-century poetry, drama, and prose works. Readings range from 1920s to the present."
