ENVD 1001,ENVD First-Year Seminar,Transitions first-year ENVD students into college through the process of discovering their path to educational success. Provide opportunities to facilitate learning through peer support groups and curricular integration with the ENVD core classes.
ENVD 1002,Technology 1: Applications for Environmental Design,"Introduces technological competencies to support studio work including design representation and presentation. Students develop fundamental competencies in sketching, graphic design, file management and 3D modeling."
ENVD 1004,Introduction to Environmental Design,"Introduces methods, principles and philosophies that guide environmental design. Explores ways of thinking about, and accomplishing, the act of design. Students contemplate the processes and motivations behind design decisions including discussions of environmental sustainability and social responsibility."
ENVD 1010,Studio 1: Introduction to Environmental Products of Design,The first of four introductory studios introduces students to concepts and techniques related to the design of products at a human scale. In an immersive project-based studio environment students develop the foundation of design communication and thinking through a series of hands-on projects with physical outcomes.
ENVD 1012,Technology 2: Visual Communications,"Explores the basic visual communication skills necessary for environmental design through image manipulation, vector and raster graphics, and composite renderings. Students will explore concepts in visual hierarchy, composition, and color theory to inform graphics within each environmental design major."
ENVD 1020,Studio 1: Introduction to Architecture,"The second of four introductory studios introduces students to strategies and techniques of architectural design and communication in a hands-on studio environment. Students design a small-scale architectural project that responds to environmental, contextual and programmatic needs while developing the necessary skills for iterative design processes."
ENVD 1022,Technology 3: Intermediate Applications for Environmental Design,"Building on the technological competencies developed in Technology 1 and 2, students explore more advanced competencies in graphic design, 3D modeling, and diagramming."
ENVD 1024,History of the Built Environment,Develops design appreciation through the historical narratives that link people and the built environment. Explores traditions that demonstrate how design has evolved over time to respond to cultural and environmental conditions.
ENVD 1030,Studio 1: Introduction to Landscape Architecture,The third of four introductory studios exposes students to concepts and strategies inherent to the practice of landscape architecture. Students analyze and design ecological related systems within an urban context in this immersive studio environment.
ENVD 1040,Studio 1: Introduction to Planning and Urban Design,The fourth of four introductory studios in which students learn concepts and strategies related to urban planning and design. Students collaboratively develop a design solution to a small-scale problem within an urban fabric using basic skills of analysis and design iteration.
ENVD 1052,Design and Communication 1,"Using both lectures and drawing exercises, this class extends understandings of the representational conventions used by the design professions through its introduction to the possibilities offered by emerging digital techniques for the depiction of designed artifacts and environments, allowing students to extend and enhance their understandings of advanced practices for design visualization, representation and communication. "
ENVD 1102,Design and Communication 2,"Using both lectures and drawing exercises, this class extends understandings of the representational conventions used by the design professions through its introduction to the possibilities offered by traditional techniques for the advanced practices for design visualization, representation, and communication. "
ENVD 1110,Studio 2: Fundamentals of Environmental Products of Design,"Building on the foundation introduced in EPoD Studio 1, this studio introduces students to more advanced methodologies and techniques related to the design of products at a human scale while considering the interdisciplinary nature of the other specializations. Using complementary skills in 3D modeling, drawing, diagramming, and through physical making and fabrication, students explore imaginative and innovative design solutions of small-scale products."
ENVD 1120,Studio 2: Fundamentals of Architecture,"Focusing on the languages of design, as well as on traditional and digital methods of visualizing architectural ideas and forms, this course builds on the skills learned in Studio 1 and begins incorporating the dynamic forces that shape our buildings."
ENVD 1130,Studio 2: Fundamentals of Landscape Architecture,"Building on skills learned from the introductory studio, this course expands the skills and knowledge needed for the practice of landscape architecture. With a focus on resilient design and an exploration through multiple scales, students design ecological systems in an urban context."
ENVD 1140,Studio 2: Fundamentals of Planning and Urban Design,"Through a small-scale urban planning and design project, students explore solutions to challenges in dynamic urban systems. Builds on knowledge and skills gained in the introductory studios to explore the human and environmental dimensions of intertwined systems within the built environment."
ENVD 1150,First Year Writing for Environmental Design,"Introduces students to fundamentals of effective academic and professional communication with an emphasis in Environmental Design. Projects are designed to develop strong written and oral communication skills as well as building knowledge of research techniques, while classroom activities and discussions challenge students to become more critical and flexible thinkers."
ENVD 1976,"Colloquium - Exploring Careers, Research and Practice","Inspiration in the design profession can be found through a series of faculty and professional lectures. Students develop an understanding of the breath of environmental design careers, research and practice."
ENVD 2001,Human Behavior and Design,"Examines reciprocal relationships between people and the built and natural environments and the ways that human well-being is impacted by the built environment. Traces major issues and approaches in design research to understand how people are influenced by the environment and how they can create healthy, just, and livable places."
ENVD 2003,Ecological Systems in Design,"Introduces the essential principles and concepts of ecology as they relate to the design and understanding of the built environment. Students explore interactions between people and nature, the design of resilient ecological systems and ways that the built world is influenced by its environment."
ENVD 2101,Planning and Implementation: the Context of Design,"Explores the regulatory and procedural context in which design decisions are made and implemented. Includes an examination of finance, policy, and development procedures necessary in bringing conceptual designs to life."
ENVD 2120,Environmental Design Studio 1,"Exposes students to a sequence of design investigations that lead to the development of design concepts for critical evaluation and discussion. The intent of this introductory design studio is to expose students to the fundamental design practices that are common to the disciplines of environmental design, planning, urban design and landscape design - that share the responsibility for shaping the designed environment. "
ENVD 2130,Environmental Design Studio 2,"Exposes students to a sequence of design investigations that lead to the development of design concepts for critical evaluation and discussion. The intent of this introductory design studio is to expose students to the fundamental design practices that are common to the disciplines of architecture, urban design and landscape design - disciplines that share the responsibility for shaping the designed environment. "
ENVD 2352,Beginning Digital Applications,Foundation level computing skills for design analytics and representation.
ENVD 3003,Site Planning,"Introduces the site planning process including: site analysis and its relationship to building program and site concept, and preparation of site plans. Emphasis is placed on the planning of the physical site through a thorough understanding of process, land use, site constraints and synthesis of ecological, functional and aesthetic considerations in the site planning process. "
ENVD 3009,Special Topics in Environmental Design,"Provides a seminar or design lab on special issues in environmental design, including study abroad. Variable topic class."
ENVD 3052,Introduction to Computer Methods in Environmental Design,"Surveys existing and emerging computer methods used in the environmental design professions, with an introduction to computer programming. Open to nonmajors with instructor consent."
