FREN 1010,Beginning French 1,For students with no previous knowledge of French. Presents basic grammar and most commonly used French vocabulary. Introduces students to Francophone culture. 
FREN 1020,Beginning French 2,Continuation of FREN 1010. Completes the presentation of most basic structures and French vocabulary. 
FREN 1050,Beginning French Review,"Covers the material of FREN 1010 and 1020 in one accelerated semester. Intended for students who know some French (i.e., four to five semesters in high school) but do not have skills adequate for 2000-level courses. Department enforced prerequisite: 2 years of high school French. "
FREN 1200,Medieval Epic Through Game of Thrones,"Covers the most important works of medieval literature, in English translation. Among the texts studied are the Song of Roland, and Arthurian romances, including the stories of Lancelot and Guinevere. Offers a general introduction for nonmajors to medieval literature and society. Taught in English."
FREN 1400,Medieval/Renaissance Women Writers in Italy and France,Introduces major literature through close readings of women's writings in their historical context. Offers a general introduction to women's status and roles in Italy and France. Taught in English. 
FREN 1500,Literature and Politics in the Age of Enlightenment,"Introduces political dimensions of 18th century French literature. Surveys political and social preoccupations that manifest themselves across genres (novels, scientific treatises, dialogues, erotic literature, etc.). Examines contributions made by 18th century French writers to the sociological and political imagination of Western tradition. Taught in English."
FREN 1550,The Power of Fairy Tales in Italy and France,"Examines French and Italian fairy tales written between 1550 and 1750 and analyzes their connections to each other and to contemporary fairy tales literature, film, and the arts. "
FREN 1610,"How to Be French, 1: The Ancien Regime","Explores medieval and early modern French culture in the widest sense, encompassing masterpieces of French literature, architecture, and visual art as a key to the habits, customs, and practices of everyday life. Major themes are living and dying, heroes, villains, and kings, courtliness, civility, and the art of love, and crafty little guys."
FREN 1620,How To Be French? 2: Modernity,"Introduces students to French culture in its widest sense and in particular to reflect on major social and cultural contradictions inherited from the French Revolution, which still define Frenchness today. Taught in English."
FREN 1700,Francophone Literature in Translation,"Studies the literary expression of French-speaking peoples of Africa, the Caribbean, and Canada. Gives special attention to oral tradition, identity, question, and cultural conflict. Taught in English. "
FREN 1750,French Colonialism: North Africa and the Middle East,"Offers a general introduction to French and Francophone literature and visual arts (painting, photography, film) from the nineteenth century to the present depicting cultures and societies of the Middle East and North Africa. In English with English translations of French texts. "
FREN 1800,Contemporary French Literature in Translation,"Reviews the major philosophical, political, and aesthetic issues in the 20th century French novel and drama. Beginning with existentialist literature, discussion focuses subsequently on the Theatre of the Absurd, the new novel, World War II and the Holocaust, and recent women writers. Taught in English."
FREN 1850,Introduction to French Society and Culture through Cinema,"Introduces students to French society and culture through French cinema through films that focus thematically on major historical events (e.g., World War II; student revolts of 1968) and cultural constants of French society (e.g., feminism; colonialism and its aftermath). Taught in English."
FREN 1880,The Zombie in History and Popular Culture,"Discusses the emergence of the zombie figure in the Caribbean and its evolution from colonial Haiti to present-day popular culture having passed through Hollywood. Through movies and literary, historical, and scientific documents, students will study critically how this mass-media icon came to represent deep-rooted anxieties about the modern world."
FREN 1900,"Modern Paris in Literature, Photographs, Paintings and Movies","Introduces the rise of modern Paris from the French Revolution (1789) to today. Studies the physical and sociological changes of the city in terms of architecture and industrialization through French literature, movies, paintings and photographs. Addresses problems due to the magnitude of the city, the growing fear of urban vices, and the dilemma of controlling massive urban populations. Taught in English."
FREN 1950,French Feminisms,"Introduces students to the central problematics that have defined French feminist studies. This course focuses on the various literary and historical contexts in which core concepts such as female subjectivity and agency, feminist writing and political engagement have arisen and developed in Early Modern and Modern France by looking at multiple media (literary text, film, painting). Taught in English."
FREN 2110,Second-Year French Grammar Review and Reading 1,"A film based curriculum will expand the knowledge of francophone culture and will continue the development of communication skills begun in the first year. This third semester course will review essential beginning grammar before introducing intermediate structures, vocabulary, and cultural/literary readings."
FREN 2120,Second-Year French Grammar Review and Reading 2,"Completes the film-based study of intermediate grammar begun in FREN 2110. Continued reading in French literature and culture, with considerable practice in writing and speaking French. Fulfills the Graduate School language requirement for the Ph.D."
FREN 2500,Conversation in French,Puts into practice all that has been learned in the first four semesters of college French. Builds conversational skills and confidence through acquisition of new vocabulary and a review of grammar essential to discussing different aspects of French culture. All work is in French.
FREN 3010,French Phonetics and Pronunciation,"Improves students' ability to pronounce French correctly. Coursework involves the International Phonetic Alphabet, understanding the differences between pairs of sounds, and recognizing the relationship between spelling and pronunciation. Required of all FREN majors."
FREN 3020,French Phonetics Through Musical Performance,Advanced oral practice and interpretation of a French Musical. This course of applied and corrective phonetics concentrates on developing good pronunciation and fluency through song. The course culminates with a public presentation of the musical studied in class.
FREN 3050,French Composition,French third-year level composition course. Students practice and write different forms of formal French writing. They also hone their grammar skills and analytical reading of short literature pieces. This course is required for all French majors.
FREN 3100,Introduction to Critical Reading and Writing in French Literature,"Study of French literature through close readings of representative examples of major literary forms (poetry, fiction, drama, essay) and through the composition of critical writings in French. Required for French majors."
FREN 3110,Main Currents of French Literature 1,Surveys 19th and 20th century French literature. Close reading of selected texts and the principal writers and schools.This course or FREN 3120 are required for all majors.
FREN 3120,Main Currents of French Literature 2,Surveys 19th and 20th century French literature. Close reading of selected texts of the principal writers and schools. This course or FREN 3110 are required for all majors.
FREN 3200,Introduction to Literary Theory and Advanced Critical Analysis,"Introduces important aspects of both classical and modern literary theory as an aid to reading and understanding literary texts. Covers theoretical works by figures ranging from Plato and Aristotle to modern French critics such as Barthes, Foucault, and Derrida in conjunction with selected literary works. Offers students more sophisticated means of understanding issues like gender, ethnicity, the roles of both author and reader in constructing meaning, the nature and functions of signs, and the relationship between literature and the larger society. Conducted in English, though French majors are required to read the texts in the original language. Required for students taking honors in French or Italian."
FREN 3300,French Culture Through Fashion,"Studies fashion as a means of identity construction as well as a means of resistance in France from 1789 until present day. Through an analysis of clothing trends and visits to various sites in Paris, students will study the cultural significance of certain fads in French history that allowed marginalized demographics to define and assert their individuality."
FREN 3400,"Culture, Performance and Development in Dakar, Senegal","Offers students an immersive experience in Dakar, Senegal, one of Africa's most historically rich and electrifying capitals. Introduces the history, culture and religious practices of a country at the crossroads of global notions of African, Francophone and Muslim identities. Includes a capstone public presentation in collaboration with a Senegalese activist theater company."
FREN 3450,Underground Paris,"¿Underground Paris¿ is a Global Seminar in Paris, France that provides students with an immersive exploration of the subterranean spaces, underground histories and subcultures of one of the world¿s most famous cities. Through readings, films, excursions and immersive assignments, students will learn of the less commonly acknowledged spaces, populations and cultural movements that nonetheless constitute the life and past of this highly romanticized destination."
FREN 3500,French Current Events: Conversation and Composition,"For students who have spent fewer than four months in a French-speaking environment. Focuses on presentations, debates, discussions, readings and written work."
FREN 3600,Business French 1,Gives students the tools needed to function in a French-speaking work environment. A culminating project involves creating a business in a francophone country.
FREN 3700,French-American Cultural Differences,"Through readings, films, discussion and activities, students learn the defining values of their own country, those of France, and key differences between the two cultures. Taught in French."
FREN 3800,France and the Muslim World,"Introduces students to the polemic colonial, social, and cultural interactions of France and Islam. Close attention will be paid to paradigms of identities of one of the major European nations and the Islamic world. Readings and discussion topics for this course cover the social, cultural, and literary depictions of Islamic and French interactions, negotiations, and contradictions. Taught in English. Cannot be used for French major or minor credit."
FREN 4030,Advanced Oral Practice and Interpreting,"Concentrates on developing (or preserving) speaking fluency, correct pronunciation, and a good working vocabulary. "
FREN 4110,French Special Topics,Topics vary each semester. Consult the online Schedule Planner for specific topics. See also FREN 4120.
