GEOL 1010,Exploring Earth,"Introductory geology for majors and non-majors. Studies Earth, its materials, its characteristics, its dynamic processes, and how it relates to people. Separate lab (GEOL 1030) is recommended. Degree credit not granted for both GEOL 1010 and GEOL 1012."
GEOL 1012,Exploring Earth for Scientists,"Studies Earth, its materials, its characteristics, its dynamic processes, and how it relates to people. This course is an introductory geology course suitable for geology and other STEM majors. Like GEOL 1010, but taught at a higher intellectual level with a greater amount of quantitative analysis. Separate lab (GEOL 1030) is recommended. Degree credit not granted for both GEOL 1010 and GEOL 1012."
GEOL 1020,"Dodos, Dinos, and Deinococcus: The History of a Habitable Planet","Examines how the solid, fluid, and living Earth interact, how changes in the oceans, atmosphere and life reflect that interaction over the immensity of geologic time, and how the rock record is analyzed to reconstruct the co-evolution of Earth and life."
GEOL 1030,Introduction to Geology Laboratory 1,"Features field trips to local points of geologic interest. Studies rocks and topographic and geologic maps. Meets the MAPS requirement for natural science lab, if taken with GEOL 1010 or GEOL 1012. "
GEOL 1040,Geology of Colorado,Reviews the geologic evolution and history of Colorado. It first develops the basic concepts needed to interpret the geology and then systematically shows how the state evolved through geologic time. Designed for those who enjoy understanding the beauty and splendor of the state.
GEOL 1060,Global Change: An Earth Science Perspective,"Focuses on evidence for planetary warming, climate change, glacier and ice-sheet melting and sea level rise both now and in the recent past. Attempts to develop understanding of the interactions within the coupled Earth system that regulate such changes. Utilizes examples from the geological and instrumental records, and evaluates the global warming forecast. "
GEOL 1150,"Water, Energy and Environment: An Introduction to Earth Resources","Explores how geological processes and human populations together affect the quantitfy, quality and availability of Earth resources. Includes examination of the water cycle and how humans use and modify water; fossil-fuel and mineral resources, and renewable energy options. Sustainable versus non-sustainable use and population growth is considered."
GEOL 1170,Our Deadly Planet,"This course investigates those events so dramatic and catastrophic that they have left evidence in the geologic record that suggest they significantly impacted life on the planet. These include. but are not limited to, violent volcanic eruptions, mega-earthquakes and associated tsunamis, landslides and sector collapse on volcanoes, megafloods, rapid climatic change, superstorms, and impacts from asteroids and comets. The intent is to use examples from recent events and processes to frame and interpret evidence for these types of events observed in the rock record."
GEOL 1180,Our Microbial Planet,"Examines how microorganisms shape the world around us, both throughout the Earth's history and today. Major topics include the origin and evolution of life, the interplay between microbes and the environment, roles of microbes in global change, and applications of microbiology in biotechnology and energy."
GEOL 2001,Planet Earth,"Explores the dynamics of planet Earth with particular emphasis on the factors that make the planet habitable. Includes examination of heat balance, hydrology, geomorphology, biogeochemistry and climate history through both lecture and lab-based activities. Required for the Geology major, introduces students to the major concepts in contemporary Earth system science."
