HUMN 1110,Introduction to Humanities: Literature 1,"Introduces students to works from the major Western literary periods (Classical, Medieval, Renaissance, Baroque) from the 8th c. BC to the early 17th c. AD comparatively, i.e., outside their national literary boundaries. Theorizes interdisciplinary, genre studies, periodization, comparativism, thematology, hermeneutics, criticism, etc. May be taken separately from HUMN 1120."
HUMN 1120,Introduction to Humanities: Literature 2,"Introduces students to works from the major Western literary periods (Baroque, Enlightenment, Romanticism, Realism, Modernism) from the 17th- through the 20th-centuries comparatively, i.e., outside their national literary boundaries. Theorizes interdisciplinarity, genre studies, periodization, comparativism, thematology, hermeneutics, criticism.May be taken separately from HUMN 1110."
HUMN 1210,Introduction to Humanities: Art and Music 1,"Examines the major artistic and musical works in the Western tradition from ancient Greece through the 16th century in their larger historical, interdisciplinary, and theoretical (aesthetic) contexts. May be taken separately from HUMN 1220."
HUMN 1220,Introduction to Humanities: Art and Music 2,"Examines the major artistic and musical works in the Western tradition from the 17th century to 21st-century post-modernism in their larger historical, interdisciplinary, and theoretical (aesthetic) contexts. May be taken separately from HUMN 1210."
HUMN 1400,Mediterranean Foundations,"Examines the pre-Modern Mediterranean as the foundational zone of Western Humanism and culture, beginning with Classical Antiquity and through to the dawn of Modernity. Through history, art, literature and thought, it studies the region's role as the crucible of Helleno-Persian culture, Roman society, of Judaism, Christianity and Islam, the intersection of Europe, Africa and Asia in the development of Modernity."
HUMN 1701,Nature and Environment in German Literature and Thought,"Critically examines titles in German literature and thought. Nature and environment are used to explore alienation, artistic inspiration, nihilism, exploitation, sexuality, rural versus urban, meaning of the earth, cultural renewal, identity and gender. This Green survey of German classics spans Romanticism's conception of nature as unconscious spirit to the politics and values of contemporary Germany's Green party. "
HUMN 2000,Methods and Approaches to the Humanities,"Provides a transition from the introductory courses to the upper-division courses. Introduces the various technical methods and topics encountered in the department's comparative, interdisciplinary upper-division courses, including cultural studies, rhetoric, translation, hermeneutics, word/image studies."
HUMN 2100,"Arts, Culture and Media","Promotes a better understanding of fundamental aesthetic and cultural issues by exploring competing definitions of art and culture. Sharpens critical and analytical abilities by asking students to read and compare different theories about arts, culture, media, and identity, and then to apply and assess those theories in relation to a selection of visual and verbal texts from a range of cultural and linguistic traditions."
HUMN 2145,African America in the Arts,Introduces interrelationships in the arts of African Americans and the African American contribution to American culture as a whole.
HUMN 2601,Kafka and the Kafkaesque,"Exposes the students to a wide selection of Kafka's literary output and aims to define the meaning of the Kafkaesque by looking not only for traces of Kafka's influence in the verbal and visual arts, but also for traces left in Kafka's own work by his precursors in the literary tradition. "
HUMN 3092,Studies in Humanities,Students should check with the department for specific semester offerings. 
HUMN 3093,Topics in Humanities,Students should check with the department for specific semester offerings. 
HUMN 3104,Film Criticism and Theory,"Surveys the range and function of film criticism, introduces major positions and concepts of film theory and focuses on students' abilities to write about film. "
HUMN 3200,Fictions of Illness: Modern Medicine and the Literary Imagination,"Examines the ways in which the rise of modern medicine fueled the literary imagination with a new focus, new patterns of perception and potent metaphors. Through a study of various works of fiction, critical theory and medical history, the course traces how medical discoveries and the increasing professionalization of medicine manifested itself in modern literature."
HUMN 3210,Narrative,"Explores the nature of narrative in literature, film, and the visual arts."
HUMN 3211,The Craft of Mystery,"Explores examples of and theories about the formation and growth of the genre of detective fiction, especially in the late 19th and early 20th centuries. Explores the social conditions of the times in which the texts were written and the possible resulting influences on style. Compares the texts and theories to examples from other genres and time periods."
