IPHY 1020,Introduction to Integrative Physiology,"Introduces students to Integrative Physiology. Provides an overview of the major and how it differs from other biology programs; how to get involved in clubs, research, and/or internship opportunities; strategies for succeeding in IPHY courses; and career options. This is a first-year colloquium course specifically designed for freshman and other students exploring their educational and career opportunities."
IPHY 1111,Analysis of Human Movement with Smart-Phone Technology,"Learn how to measure and analyze human movement using a smart-phone application. After being provided with some background information on human physiology, students will learn how to acquire, process, and analyze signals detected by the app. Students will be required to participate in a group project that they present in poster format to their peers."
IPHY 1121,Using Sensor Technology to Study the Effects of Light on Human Health,"Introduces you the basics of photobiology, measurement of light (including a discussion of humancentric vs. radiometric units for quantifying light exposure), and light effects on human physiology and longterm health. You will also be taught how to program light sensors, extract raw data, process, analyze and visualize it (incl. basic statistics in R)."
IPHY 1131,Using model organisms to study human disease: hands-on research,"Provides a hands-on laboratory research experience, including undertaking science scholarship, designing and performing experiments, and analysis of quantitative data. Students will also be exposed to basic concepts in genetics and molecular biology, as well as the rationale for current experimental approaches for understanding human disease."
IPHY 1181,Biological Probiotic/Drug Discovery Through Hands-on Screens,"Provides introduction to research and laboratory experience. Students will work in teams to screen novel mycobacterial strains for use as probiotics or immunoregulatory/anti-inflammatory drugs using THP-1 cells, a human monocytic cell line. Topics covered include the hygiene or Old Friends hypothesis, the human microbiome, approaches to screening for new probiotics of therapeutics and statistical analysis of the data. "
IPHY 1211,UsingSensorTechnologytoStudytheEffectsofLightonHumanHealth,"Introduces you the basics of photobiology, measurement of light (including a discussion of humancentric vs. radiometric units for quantifying light exposure), and light effects on human physiology and longterm health. You will also be taught how to program light sensors, extract raw data, process, analyze and visualize it (incl. basic statistics in R)."
IPHY 1600,Basic Human Anatomy & Physiology,"Focuses on basic knowledge of human body structures and functions. Topics include an orientation to the human body, basic chemistry and cell structure, the integumentary, skeletal, muscular, nervous, endocrine, cardiovascular, lymphatic, immune, respiratory, digestive, urinary, and reproductive systems."
IPHY 1950,Introduction to Scientific Writing in Integrative Physiology,"Provides an overview of writing skills and strategies, emphasizing those most important to the sciences, especially physiology. Focuses on fundamental skills, objective analysis, and scientific persuasion, with attention to clear organization and style, academic and scientific mechanics, and distinctions between audiences."
IPHY 2010,Seminar in Integrative Physiology,Introduces a small group of lower-division students to current research topics in integrative physiology. Emphasizes relevant applications to real-world situations. 
IPHY 2400,Introduction to Medical Terminology for Future Health Professionals,"Provides an introduction to medical terminology used within the health professions. Word roots, prefixes and suffixes used in medical records for major body systems will be examined and explained. The structure and functions of the major systems will be defined and described. Recommended for IPHY students and students interested in pursuing a career in the health professions. No prerequisites required."
IPHY 2420,Introduction to Nutrition,"Focuses on the basic anatomy, physiology, and chemistry of nutrition. Topics include weight management, the role of diet and lifestyle in disease prevention, specific nutrient deficiencies and toxicities, nutrition standards and guidelines, sports nutrition recommendations, agricultural practices, and food policy issues. "
IPHY 2750,Introduction to Exercise Psychology,"Focuses on how psychological factors influence exercise and motor performance in both clinical and sport settings. Major topics include motivation, arousal, stress, imagery, self-confidence, concentration and burnout. Principles of psychological skills training are also discussed."
IPHY 2800,Introduction to Statistics,Examines the application of statistics to research relevant to integrative physiology. Includes instruction and hands-on experience with related computer programs and interpretation of the results of their use. 
IPHY 2910,Practicum in Integrative Physiology,Offers practical experience in organized situations with direct supervision. 
IPHY 3010,Teaching in Integrative Physiology,Provides an opportunity to assist in teaching specific laboratory sections in IPHY under direct faculty supervision. Students must make arrangements with the faculty member responsible for the course in which they plan to assist. 
IPHY 3280,Intro to Data Science and Biostatistics,"Builds a foundation for modern data analysis and experimental design in the context of human physiology, health and disease. An intuitive understanding of probability, statistical methods, test outcomes and data relationships are emphasized over rigorous mathematical proofs. Foundational analytical skills using R and R Studio are developed using real and simulated data."
IPHY 3400,Nutrition for IPHY Majors,"Focuses on the science of nutrition, reviewing the basic anatomy, physiology and chemistry of nutrition. Concepts will focus on what the body needs for proper nutrition, how they are obtained, absorbed and processed by the body. Studies will expand to include the following: diet types, nutrition during life stages (i.e. pregnancy), different disease states and real world applications. "
IPHY 3410,Human Anatomy,"Explores the cells, tissues, and organs that compose the different anatomical systems including integumentary, skeletal, muscular, digestive, respiratory, cardiovascular, lymphatic, nervous, urinary and reproductive. "
IPHY 3415,Human Anatomy Laboratory,Introduces structures of the human anatomical systems using human cadavers and animal tissue. This laboratory is meant to complement IPHY 3410. 
IPHY 3417,Virtual Human Anatomy Laboratory,"Introduces structures of the human anatomical systems using a virtual interactive anatomy program. This laboratory is meant to complement IPHY 3410. As an online course, this lab may not fulfill pre-requisites for post-baccalaureate, graduate, or other allied health programs. Please consult with your Biology advisor before enrollment. "
IPHY 3430,Human Physiology,"Introduces the physiology of the endocrine, nervous, muscular, cardiovascular, respiratory, urinary, digestive, reproductive and immune systems. Each system will be integrated into the larger contexts of homeostasis and adaptation during pathology and challenges. Students must enroll in lecture and recitation sections. "
IPHY 3435,Physiology Lab,Introduces laboratory experience in selected aspects of human physiology with a focus on applying the scientific method in experimentation. 
IPHY 3437,Virtual Human Physiology Laboratory,"Introduces online laboratory experiences for select aspects of human physiology using laboratory simulations. This online laboratory is meant to complement IPHY 3430. As an online course, this lab may not fulfill pre-requisites for post-baccalaureate, graduate, or other allied health programs. Please consult with your Biology advisor before enrollment. "
IPHY 3440,Clinical Nutrition,Exploration of clinical nutrition concepts from a health care provider perspective. Examines how and why diseases develop and what nutritional therapy and intervention is appropriate for disease resolution.
IPHY 3450,Comparative Animal Physiology,Introduces principles of animal physiology and responses to environmental change. Involves animals and/or animal tissues. Department enforced prerequisites: one year of general biology (lecture + lab) and one year of general chemistry (lecture + lab).
IPHY 3460,Comparative Vertebrate Anatomy,"Introduces major components of the vertebrate body and how they are organized into a whole organism, emphasizing function, evolution, and diversity of these basic features. Laboratories involve dissection of representative groups and demonstrations. Involves animals and/or animal tissues. Department enforced prerequisites: one year of general biology (lecture + lab) and one year of general chemistry (lecture + lab)."
IPHY 3470,Human Physiology 1,"Focuses on scientific thinking, cell physiology, neurophysiology, endocrinology, immunology and musculoskeletal physiology. The first semester of a two-semester sequence for IPHY and NRSC majors only. Department enforced requisites: one year of general biology (lecture and lab); statistics equivalen. Recommended course: IPHY 3415. Those who took IPHY 3430 prior to becoming IPHY major, will only receive credit for IPHY 3470."
IPHY 3480,Human Physiology 2,"Focuses on the physiology of the respiratory, cardiovascular, urinary, digestive and reproductive systems. The second semester of a two-semester sequence for IPHY and NRSC majors. Department enforced prerequisites: one year of general biology (lecture + lab) and one year of general chemistry (lecture + lab); IPHY 3410. "
IPHY 3490,Introduction to Epidemiology,"Examines the history and uses of epidemiology, measures of disease frequency and occurrence, association and causality, analytic epidemiology, evidence-based screening and outbreak investigations. "
IPHY 3500,Applied Clinical Research,"Introduces fundamental concepts of clinical research to those interested in pursing a career in medicine or medical research. In addition to lectures introducing students to research design, errors in research and basic biostatistics, there will be significant emphasis on participation in on-going medical research at Denver Health Medical Center and The Children's Hospital. This unique experience will provide students with first-hand exposure to all aspects of clinical research. Department enforced prerequisites: one year of general biology (lecture + lab). "
IPHY 3580,"Sleep, Circadian Rhythms and Health","Examines the history of sleep and circadian rhythms; lifespan development of sleep and rhythms; observational, physiological and clinical measures of sleep; screening for sleep and circadian disorders; associations between poor sleep and circadian misalignment and health; and evidence-based sleep and circadian interventions/preventions in healthy and clinical samples. Department enforced prerequisites: one year general biology plus labs, and one semester of statistics."
IPHY 3590,Health and Function over the Adult Lifespan,"Examines topics in the field of biomedical aging in the context of public health including: lifespan, changing demographics of aging, healthspan, genetics of aging; physiology of aging (changes in function with age; biological mechanisms of aging); clinical disorders of aging (aging and chronic diseases; clinical syndromes in geriatric medicine); lifestyle and pharmacological strategies for preserving health and function with aging."
IPHY 3660,Dynamics of Motor Learning,"Focuses on information processing approaches and dynamical systems theory as explanations for human motor learning and the coordination of movement. Various topics are discussed from both perspectives including practice organization, attainment of elite performance, and the production of novel movements."
IPHY 3700,Scientific Writing in Integrative Physiology,"Takes a process-based approach to writing. Assignments and classroom experiences emphasize critical thinking, using scientific evidence and reasoning to construct original arguments, and applying conventions and problem-solving skills to craft successful documents. Department enforced prerequisite: IPHY 2800 or equivalent."
IPHY 3800,Forensic Biology,"Introduces basic concepts of modern forensic science with emphasis on biological aspects such as forensic entomology, forensic botany, hair analysis, forensic anthropology, and forensic DNA analysis. Department enforced prerequisites: one year of general biology (lecture + lab) and one year of general chemistry (lecture + lab)."
IPHY 3810,Forensic Biology Laboratory,"Introduces basic laboratory techniques and procedures of modern forensic science with emphasis on biological aspects such as forensic entomology, forensic botany, hair analysis, forensic anthropology and forensic DNA analysis. Department enforced prerequisites: one year of general biology (lecture + lab) and one year of general chemistry (lecture + lab). "
IPHY 4010,Seminar in Integrative Physiology,"Introduces a small group of students to current research topics in integrative physiology, evaluation of current research and discussion of critical issues. Department enforced prerequisite: IPHY 2800 or equivalent."
IPHY 4060,Cell Physiology,"Focuses on the molecular machines and cellular sub-compartments that allow cells to renew, replicate, and function in the context of multicellular organisms. Students must enroll in lecture and lab sections."
IPHY 4200,Physiological Genetics and Genomics,"Covers fundamental concepts in molecular genetics/genomics with physiological applications. Topics include structure and function of nucleic acids, genome structure, genetic and genomic research tools, methods for identifying disease-causing mutations, regulation of gene expression, pharmacogenetics, gene therapy and ethical issues in modern genomics. First course of a 3-course series recommended for IBG students. Includes a recitation section. "
IPHY 4300,Pathophysiology of Disease,"Uses case studies to explore various disease states of the organ systems within the body and the underlying mechanisms that contribute to the manifestations of these diseases. Additionally, students will examine the importance of epidemiology in the understanding of disease as well as discuss infectious disease, and the role of genetics in congenital defects and cancer."
IPHY 4420,Nutrition and Human Performance,"Examines nutrient use during exercise and the nutrient needs of athletes and active individuals, including strategies to improve physical performance and recovery through dietary manipulations and dietary supplements."
IPHY 4440,Endocrinology,"Introduces mammalian endocrine system. Provides a thorough analysis of chemical communication by hormones and related bioregulators with emphasis on the major endocrine systems such as the thyroid, gonad, pituitary and the brain. Students must take lecture and recitation sections. "
