JPNS 1010,Beginning Japanese 1,"Provides a thorough introduction to modern Japanese, emphasizing speaking, listening, reading, and writing in a cultural context."
JPNS 1012,Introduction to Japanese Civilization,"An interdisciplinary introduction from ancient to modern times. Arts, literature, politics, social relations, religion, and material culture are studied in terms of significant themes and ideas pertaining to the civilization of Japan. Taught in English."
JPNS 1020,Beginning Japanese 2,Continuation of JPNS 1010.
JPNS 1051,Masterpieces of Japanese Literature in Translation,"Surveys Japanese thought and culture through careful reading and discussion of selected masterworks of Japanese literature in translation. Texts include significant works of poetry, fiction, drama, diaries, and essays, from ancient times to the present. Taught in English."
JPNS 2110,Intermediate Japanese 1,Continued study of oral and written modern Japanese in a cultural context.
JPNS 2120,Intermediate Japanese 2,Continuation of JPNS 2110.
JPNS 2441,Japanese Culture through Film and Anime,"Examines 20th century Japanese culture through cinematic and animated films. Studies films by Ozu, Kurosawa, Mizoguchi, and contemporary animators Tezuka, Miyazaki, and Kon Satoshi. Considers cultural issues raised in film and anime in light of modern Japanese history and literature. Requires no knowledge of Japanese. Taught in English."
JPNS 2811,Heroes and the Supernatural: Word and Image in Old Japan,"Examines the fusion of literary and visual arts in twelfth- to nineteenth-century Japan, focusing on illustrated handscrolls and narrative paintings. Students will explore tales of monsters, samurai, fantastic journeys to other worlds, anthropomorphic animals, and the eighteenth- and nineteenth-century precursors of contemporary Japanese comics. This course seeks to analyze visual-literary texts in their historical contexts as both literature and art. Taught in English."
JPNS 3110,Advanced Japanese 1,Enhances student competence and performance in Japanese language in a holistic and integrative manner.
JPNS 3120,Advanced Japanese 2,Continuation of JPNS 3110. Enhances student competence and performance in Japanese language in a holistic and integrative manner.
JPNS 3200,Adv Wrtg Topics on Chinese & Japanese Literature and Civilization,"Provides an introduction to the academic study of Chinese and Japanese literature and culture with a focus on writing skills in English through a survey of standard academic writing conventions. Review and assessment of selected textual materials, class presentation, critique, and revision. Recommended for majors. Taught in English. "
JPNS 3311,Japanese Colonial and Transnational Literature,"Explores the development of Japanese and colonial identities in literature produced in and about Japan's colonies during the first half of the 20th century. We will read works written during and about the Japanese empire by Chinese, Japanese, Korean, Okinawan and Taiwanese writers looking at the different representations of empire. Taught in English."
JPNS 3321,"Fantasy and Sci-Fi in Japanese Literature, Film and Culture","Explores the development of Japanese science fiction and fantasy literature produced in the past century. We will read works written by writers such as Abe Kobo, Hoshi Shin'ichi, Kurahashi Yumiko, Ueda Sayuri and Project Ito. Taught in English."
