JRNL 1000,Principles of Journalism and Networked Communication,"Surveys the history, practices and responsibilities of journalism in a democracy. Examines ethics, best practices in institutional and network settings, reporting and writing, international news systems, personal branding, and strategies for creating and distributing content across media platforms. Promotes the highest professional values and encourages students to be leaders who recognize the possibilities of journalism in a democratic society."
JRNL 1871,Special Topics for First-Year Students,Special studies in media that are specific for first-year students. May be repeated for a maximum of three credit hours.
JRNL 2000,Writing for the Media,"Introduces students to writing news for a range of news media platforms, including print / online, broadcast, social media and more, and teaches them how to use the appropriate grammar and style conventions for those media types. Also introduces students to various types of stories, from breaking news to features to profiles, and to basic reporting skills. Students encouraged to take concurrently with JRNL 2001."
JRNL 2001,Fundamentals of Reporting Technologies,"Develops news-gathering skills for work in news enterprises. Students learn skills for working with technologies used in news reporting and in storytelling for various media formats. Students are introduced to a range of technologies for recording, editing and producing. Students encouraged to take concurrently with JRNL 2000."
JRNL 2014,Race and Sports Journalism,"Examines the intersection of sports journalism and race. It investigates the subject from two distinct but related perspectives. First, the class looks historically at how race has been covered in both journalism generally and sports journalism more specifically. Then it seeks to understand the effects of said coverage."
JRNL 2301,Journalism Ethics and History in Film,"Examines how the depiction of journalists evolves over time through watching classic films. Also, the course studies how journalists depicted in film enact (or do not enact) ethical norms of the profession. Through the reading of cinema as text, and in conjunction with written texts, the class will discuss how these depictions in popular culture have, over time, impacted the way American society views the media."
JRNL 2401,Media Coverage of Diverse Populations,"Explores the ways in which issues of gender, gender expression, sexual orientation, race, ethnicity and religion play out in news coverage and how news organizations approach coverage of marginalized groups in society."
JRNL 3102,Photojournalism I,"Introduces the basic elements of visual communication. Covers the use of camera systems, digital imaging techniques and other aspects of photojournalism including law, ethics, history and critical decision-making."
JRNL 3112,Concepts in Visual Culture,"Studies the principles, theories and language of visual communication, emphasizing the evaluation and use of images in mass media. Designed to help students build theories and practices learned in previous classes and perfect their skills integrating words and pictures in communication to gain a greater appreciation of the visual world."
JRNL 3201,Critical Perspectives on Journalism,"Introduces students to the critical perspectives most often employed in qualitative analysis of journalistic texts and practice: Marxism, psychoanalytical criticism, semiology, sociological criticism, structuralism, etc. Emphasis is upon texts from contemporary print and broadcast media, although students may also explore documentary film and literary journalism."
JRNL 3202,Covering Political Campaigns,Provides a blend of theoretical understanding and on the ground experience for students interested in learning about the forces that shape election coverage and the practicalities of reporting on the local and national races for public office.
JRNL 3211,History of Broadcasting,"Offers a broad overview of significant broadcast programs, the institutions and sociocultural and economic influences that have steered the course of radio, television and electronic media history in the United States."
JRNL 3221,History of Digital Journalism,"Explores the history, economics and traditions of digital technologies. Addresses the interaction between digital technologies, culture and economy with particular emphasis on the effects on digital journalism. Concludes with a focus on how these concepts are embraced by new journalism market models."
JRNL 3231,History of Documentary Film,"Explores the evolution of the documentary, both in feature films and on television, to understand how the genre offers both historical context and an understanding of the world in which we live."
JRNL 3241,History of Journalism,"Explores the foundations of journalism practice in a historical context. Students study the evolution of the news industry and analyze examples of contemporary broadcasting, photography, online and print media in light of the past."
JRNL 3401,Sociology of News,"Provides students with an introduction to the factors that shape news reporting and production, including gatekeeping, intermedia agenda setting, pack journalism, beat structures, news values and issues unique to the various platforms on which news is delivered."
JRNL 3402,Social Media Storytelling,"Investigates the theory, ethics and best practices in storytelling across a variety of social media platforms including, but not limited to, Facebook, Twitter, Instagram, Snapchat, Medium and YouTube. Examines best practices for social media engagement. Students develop a story for multiple platforms and analyze the story performance n the sites and make recommendations for best practices."
JRNL 3552,Editing and Presentation,"Explores copy editing, graphic principles and processes, new media technology."
JRNL 3614,Principles of Audio Production,Introduces audio production techniques using digital technologies. Students learn to apply fundamental principles to create professional radio and online programs including podcasting.
JRNL 3644,Digital Video Production I,"This course teaches essential video production skills in both field and studio operation, camera and editing work, lighting, and multi-camera studio directing. Students will learn how to develop the narrative of a video, shoot quality footage for the story, and to apply best journalistic practices to positively impact society on multiple media platforms."
JRNL 3651,Media Law and Ethics,"Studies state and federal laws and court decisions that affect the media in order to develop knowledge of media rights and responsibilities and an understanding of the legal system. Provides students with an overview of the theories, ethics, codes, and analytical models that are used in journalism, and introduces students to a variety of ethical issues that can arise in journalism."
JRNL 3674,Digital Video Production 2,"This course teaches students how to do live video production work on streaming services, such as Livestream, and event productions. Students also cover the studio production side of NewsTeam, a live student-produced newscast. In addition, students will do field production projects to sharpen their video storytelling skills."
JRNL 3704,Sports Writing,"Prepares students for the world of sport journalism. Combines the skills of a hard news reporter, the perspective of an entertainment reporter and the persuasive abilities of an editorial writer."
JRNL 3804,"Sports, Media and Society","Examines how sports, culture and especially the media, with a specific focus on journalism, all come together to influence society. Explores how sports communication affects, and is affected by, the issues and tension that touch society at large, such as law and politics, race, gender, sexuality and disability. "
JRNL 4002,Reporting 2,Assumes mastery of basic reporting and writing skills. Students produce more sophisticated stories on a variety of topics.
JRNL 4004,The Sports Media Industry,"Examines the business practices and frameworks of the sports that journalists cover. Topics include market-driven journalism, the growth of sports coverage throughout in the 20th century, the technologies impacting sports business today, and the way money impacts coverage. Finally, the class explores the unique issues and challenges posed by the different financial structures of amateur and professional sports and how they influence sports coverage and reporting."
JRNL 4011,Principles of Media Relations,"Provides students with information about the ethics, history and practice of media relations (community affairs, community relations, customer relations, government relations, industry relations, internal communications, public relations, press agentry, public affairs, publicity, etc.). Introduces students from multiple academic disciplines to the genres of writing required for a media relations career."
JRNL 4102,Photojournalism Portfolio,Advanced course intended to give students a forum in which technical skills will be brought to professional standards. Build a polished portfolio of work to present to editors and buyers. 
