JWST 1040,"Beginning Biblical Hebrew, Second Semester","Building on HEBR 1030, continues to build expertise in reading the Hebrew Bible. Modern language acquisition and classical grammar study methods equip students with the tools to translate and read the various genres of the Biblical material. Department enforced prerequisite: HEBR 1030 or JWST 1030 (minimum grade C-). "
JWST 1234,Mysticism and the Jewish American Literary Tradition,"Explores the mystical tradition within Judaism from ancient times to the present. With roots in the Hebrew Bible, Jewish mysticism is one of the oldest forms of mysticism and has had an influence on some of the greatest philosophical traditions of western civilization. "
JWST 1818,Jewish History to 1492,"Focus on Jewish history from the Biblical period to the Spanish Expulsion in 1492. Study the origins of a group of people who call themselves, and whom others call, Jews. Focus on place, movement, power/powerlessness, gender, and the question of how to define Jews over time and place. Introduces Jews as a group of people bound together by a particular set of laws; looks at their dispersion and diversity; explores Jews' interactions with surrounding cultures and societies; introduces the basic library of Jews; sees how Jews relate to political power. "
JWST 1828,Jewish History Since 1492,"Surveys the major historical developments encountered by Jewish communities beginning with the Spanish Expulsion in 1492 up until the present day. Studies the various ways in which Jews across the modern world engaged with the emerging notions of nationality, equality and citizenship, as well as with new ideologies such as liberalism, socialism, nationalism, imperialism and antisemitism. "
JWST 1830,Global History of Holocaust and Genocide,"Examines the interplay of politics, culture, psychology and sociology to try to understand why the great philosopher Isaiah Berlin called the 20th century, The most terrible century in Western history. Our focus will be on the Holocaust as the event that defined the concept of genocide, but we will locate this event that has come to define the 20th century within ideas such as racism, imperialism, violence, and most important, the dehumanization of individuals in the modern world. "
JWST 1900,Introduction to the Hebrew Bible/Old Testament,"Examine the content of the Hebrew Bible and critical theories regarding its development. Explore the development of these texts, as well as their foundational role for rabbinic literature and the New Testament. Assess the enduring influence of the Hebrew Bible/Old Testament in world literature and culture (such as in art and music). "
JWST 1910,Introduction to the New Testament,"Examine the background, content and influence of the New Testament books. Studies the diverse perspectives contained in the various books, as well as the process of canonization. Assess the influence of the New Testament on the development of Christianity as well as world (eastern and western) culture. "
JWST 2350,Introduction to Jewish Culture,"Explores the development and expressions of Jewish cultures across the chronological and geographical map of the Jewish people, with an emphasis on the variety of Jewish ethnicities and their cultural productions, cultural syncretism, and changes, including such issues as sexuality and foodways. Sets the discussion in relevant contexts and looks at cultural representations that include literary, religious and visual texts. "
JWST 2502,Representing the Holocaust,"Examines representations of the Holocaust in film, memoirs, poetry, novels, graphic novels, memorials. Considers questions such as: How to depict an event that resists representation? How does the memory of the Holocaust transform over generations? How do representations of the Holocaust inform our understanding of other experiences of racism and genocide? What ethical issues are at stake? "
JWST 2551,Modern Jewish Literature,"Examines Jewish experience through the study of literary texts from around the world, mainly from the 20th and 21st centuries. Discusses issues pertaining to secularism and tradition; diasporas and homelands; modernity and questions of identity raised by the intellectual transitions brought about by political and social emancipation; sexualities; enormous changes wrought by population redistributions, world wars and rapid cultural transformations. "
JWST 2600,"Judaism, Christianity, and Islam: Abrahamic Religions","In Judaism, Christianity, and Islam, Abraham is described as a founding figure. In recent times, the label ¿Abrahamic Religions¿ has become increasingly important both as a way to describe the origins and beliefs of Judaism, Christianity, and Islam and as a means for finding common ground in political and religious discourse. Yet in each religion Abraham is also used in strikingly different ways and for distinct purposes. In this course, we will look at these three religious traditions and how each one imagines Abraham. In particular, the focus will be on how each religion uses Abraham to construct foundational stories of a special relationship to God, stories that ultimately serve to promote religious identity over time. "
JWST 3100,Judaism,"Explores Jewish religious experience and its expression in thought, ritual, ethics, and social institutions. "
JWST 3110,"Of Jewish Legends, Folktales and the Supernatural","Explores Jewish traditional legends, folktales and stories of the supernatural. Starts with Aggadic Talmud tales and Midrashic texts and focuses on later rabbinic and mystical texts and folktales ca 500-1900 C.E. from around the Jewish world with subjects ranging from didactic narratives extolling the virtues of the simple pure soul, to the horrors of a blood sucking vampiric outside world. "
