PSCI 1101,Introduction to American Politics,"Emphasizes interrelations among levels and branches of government, formal and informal institutions, processes, and behavior."
PSCI 2004,Survey of Western Political Thought,"Studies main political philosophies and political issues of Western culture, from antiquity to 20th century."
PSCI 2012,Introduction to Comparative Politics,"Most countries confront a variety of common political problems, including how to gain popular support, what kinds of political institutions are most appropriate, and how to distribute burdens and benefits to different segments of the population. Concentrates on learning how to compare different political systems and provides illustrative examples from several countries in both the industrialized and nonindustrialized world."
PSCI 2028,Special Topics,Offers subjects not covered by existing courses. Offered when department approves a special topic. 
PSCI 2075,Quantitative Research Methods,"Introduces quantitative research methods used in political science. Focuses on basic tools of analysis: data collection, processing, and evaluation, with special attention to survey techniques. Includes elite and case study analysis; aggregate, cluster, and content analysis; and the use of computers in political research."
PSCI 2106,Introduction to Public Policy Analysis,"Studies policymaking processes in American government, factors shaping public decision, and issues and questions relevant to political inquiry."
PSCI 2116,Introduction to Environmental Policy and Policy Analysis,"Teaches a systematic general framework for the analysis of environmental policy issues. Analyzes the interaction of environmental sciences, ethics, and policy across a range of environmental policy problems. Stresses critical thinking and practical applications."
PSCI 2223,Introduction to International Relations,"Introduces the field of international relations, with general survey of the theories, histories, and problems of historical and contemporary relations among state and nonstate actors."
PSCI 2481,Introduction to the Legal Process,Covers basic legal concepts and processes emphasizing the American system. Gives special attention to political functions of law. Recommended as preparation for PSCI 4241. 
PSCI 3011,The American Presidency and the Executive Branch,"Examines the constitutional, institutional and historical development of the presidency and the federal bureaucracy. Explores the changing role of the executive branch in the U.S. political system over time and competing views of executive power."
PSCI 3021,U.S. Campaigns and Elections,"Introduces students to the subjects, techniques, and findings of Political Science research on campaigns and elections. Particular emphasis is placed on the study of voting, campaign effects, partisan coalitions, electoral rules, campaign finance, and the policy impact of elections. "
PSCI 3022,Russian Politics,"Covers the important and pressing issues in modern Russia politics since 1990. How and why did Communism end? How did Putin come to power, what are his goals, and how long will he stay in power? What is going on with the Russian-Ukrainian conflict? Does the Russian government interfere in the politics of other countries? Come learn about the politics of this major world power."
PSCI 3031,Political Parties and Interest Groups,"Highlights the practice of party politics in the United States, including the nature, structure, organization, and functions of political parties and interest groups. Analyzes interest group politics and political behavior. "
PSCI 3032,"Democracy, Inequality and Violence in Latin America",Stresses different perspectives on Latin American politics and understanding key political actors and processes. Country focus varies. 
PSCI 3035,Introduction to Qualitative Research Methods,"Enables students to create and critique qualitative research designs including comparative case studies, process tracing, interviews, archival research, and mixed methods. Includes lectures and in- or out-of-class exercises in which students use ideas discussed in the course to develop their own applied knowledge of these methods. Previously offered as a special topics course."
PSCI 3041,The American Congress,"Provides intensive examination of the role of Congress in American government, including congressional elections, representation, the organization of Congress, and congressional policy making. Examines larger context of congressional politics, including political parties, the president, and interest groups. "
PSCI 3051,Public Opinion and Political Behavior,"Examines measurement of public opinion and evaluation of its impact on governmental policy formation, including survey research techniques. "
PSCI 3052,Gender and Politics in Latin America,"Examines Latin American politics with particular focus on women's participation in social movements, war, revolution, and elections. Compares women's and men's politics and activism and examines changing gender and sexuality policies, gender relations, and the differential impact of political, economic, and social changes on men and women. "
PSCI 3054,American Political Thought,Highlights the development of American political theories and ideas from colonial period to present. Can also be taken for American field credit. 
PSCI 3061,State Government and Politics,"Examines politics in the American states from a comparative and historical perspective. Considers major political actors---interest groups, citizens (direct democracy), and political parties, as well as central institutions, in the state political arena. Also focuses on major state public policy concerns. "
PSCI 3062,Revolution and Political Violence,"Studies and evaluates alternative theoretical frameworks for the analysis of revolution and political violence. Theoretical material is firmly couched in case situations, such as ethnic, class, colonial, urban, racial, and religious conflicts. "
PSCI 3064,Environmental Political Theory,"Examines environmental discourses as conceptual means for theorizing environmental politics, and applies normative political theories to contemporary environmental policy issues. Considers the roles of political actors (individuals, groups, the state) in defining and addressing environmental problems on local, national, and global levels. "
PSCI 3071,Urban Politics,"Examines the structure of political, social, and economic influence in urban areas. Focuses on the relationship of the political system to governmental, social, and economic institutions and the contemporary policy processes in American cities. "
PSCI 3072,Government and Politics in Southeast Asia,"Surveys historical and contemporary forces shaping politics in Southeast Asia. Gives special attention to comparative political economy, including development strategies and transitions to democracy. "
PSCI 3075,Applied Political Science Research,Introduces the types of research design and quantitative methodology used in applied political science research. Directly builds on the data analysis performed in Quantitative Research Methods (PSCI 2075).
PSCI 3082,Political Systems of Sub-Saharan Africa,Analyzes post-independence and post-Cold War change in sub-Saharan Africa and provides intensive case studies of selected countries exemplifying each type with South Africa seen as a special case. 
PSCI 3084,"Diversity, Disagreement, and Democracy: an Introduction to the Theory and Practice of Democracy","Examines the justification and limits for moral, political and religious pluralism. Students will be trained in the practice of dialogue and research the historical context of a subject that would be appropriate for a dialogue, and then interview members of the community who have different perspectives on the subject."
PSCI 3091,Politics of Social Movements,"Examines theoretical and empirical research on social movements from a U.S. perspective. Considers why social movements arise, who participates in them, the tactics they employ, obstacles they face, and their political impact. "
PSCI 3092,Comparative Political Economy,"Presents theories on the interaction between policies and economics, economic models of politics, and familiarizes students with an approach that will prove useful in understanding current developments in both economics and politics. Explores relationships between financial markets, currency regimes and politics with some special consideration of the behavioral foundations of political and economic developments. Recommeded prerequisite: PSCI 2012."
PSCI 3101,Black Politics,"Examines structure of political, social, and economic influence in urban areas. Focuses on the relationship of political processes to governmental, social, and economic institutions and contemporary policy processes in American cities. "
PSCI 3102,South Asian Politics,"Examine the diverse political trajectories of four South Asian countries: India, Pakistan, Nepal, and Sri Lanka. Using a comparative lens, we will take into account historical, cultural, and economic, in addition to political, factors in deciphering this diversity of political paths. "
PSCI 3105,Designing Social Inquiry: An Introduction to Analyzing Political Phenomena,"Tackles conceptualization and measurement with a focus on reliability and validity of measures at the individual level. Explores how improper measurement and conceptualization can affect our inferences. Investigates how to use the tools of causal logic with statistical tools to differentiate linear, spurious, intervening and conditional relationships with a particular focus on what it means to control for other factors."
PSCI 3123,"War, Peace, and Strategic Defense","Analyzes employment, or the threat of employing force, in securing American interests in the post-Cold War world. Gives special attention to utilities claimed for nuclear weapons, and alternatively, to weapons control and disarmament. "
PSCI 3143,Current Affairs in International Relations,"Analyzes the various theoretical and policy challenges facing the post-Cold War world, with an emphasis on examining alternative conceptions of and approaches to such challenges. "
PSCI 3155,Survey Design and Analysis,"Provides the unique experience of involvement in ongoing survey research. Designed for students from different disciplines who will learn about what makes a good versus bad survey, how to write effective questions and how to put survey questions together into a cohesive questionnaire. Gain insight into the pitfalls of survey research and how to overcome them. Provides hands-on, real world experience on the design, implementation and analysis of the annual Colorado Political Climate survey."
PSCI 3163,American Foreign Policy,"Examines foundations, assumptions, objectives, dynamics, and methods of U.S. foreign policy since WWII. Gives special attention to domestic and external problems of adapting U.S. policy to the changing world environment. "
PSCI 3172,Democracy and Its Citizens in the US and EU,"Explores the political institutions of the US and the EU and asks questions pertaining to the very citizenship experience in these two places; including policy, rights and liberties, quality of life, national identity, and immigration."
PSCI 3174,"Sex, Power, and Politics: U.S. Perspectives","Explores how norms of sex, gender, race and sexuality find expression in institutions and policies in ways that legitimize only certain individuals as political actors, certain identities as politically relevant, and certain relationships as important. Critically examines how norms may be exposed, resisted, and changed by studying the politics of the women's, gay liberation, and men's movements in the U.S. "
PSCI 3183,International Law,"Investigates the legal principles and landmark judicial cases that govern relations between countries and other international actors. Explores the development and effectiveness of law on issues such as human rights, war crimes, and the use of military force. "
PSCI 3191,National Security Organization and Policy Making,"Analyzes how the American governmental and political system is structured to define, select, and implement national security policies. Examines roles of the president, Congress, bureaucracy, interest groups,and other actors. "
PSCI 3193,International Behavior,Presents alternate theoretical frameworks for the explanation of international processes. Applies theories of conflict behavior and social organization to problems of war and peace. 
PSCI 3205,Undergraduate Research Experience,"Broadens and strengthens social science methodological skills and training by providing research collaboration between undergraduates and advanced graduate students and faculty. Promotes hands-on learning, immersion in the research process, and professional relationships. Students will collectively design and execute an original research project on a topic chosen with guidance by the instructor."
PSCI 3206,The Environment and Public Policy,"Considers constitutional, political, and geographic factors in development of public policy affecting the use of natural resources and management of the environment; organization, procedures, and programs for use of natural resources; and administration of environmental policies. "
PSCI 3211,The Politics of Economic Inequality in the United States,"Explores empirical and normative origins and current state of economic inequality in the United States from a political science perspective. Evaluates how ideas about democracy and public policy address economic inequality, including the roles of gender, race and class in inequality. Examines the relationship between economic inequality and political inequality in both political behavior and political institutions."
PSCI 3213,International Political Economy,"Analyzes issues at the intersection of international politics and international economics. Utilizes theories and concepts from both economics and political science to understand issues in trade, finance, development and migration. Formerly PSCI 4193. "
PSCI 3223,International Human Rights,"Introduces the basic concepts behind international human rights. We define human rights and learn how human rights norms have developed. We explore why countries regularly violate the human rights of their own citizens. We learn how politics complicates the interactions between countries and other actors to protect human rights. Finally, we analyze the promise and limits of international cooperation and law in promoting human rights. Recommended Prerequisite: PSCI 2223."
PSCI 3225,Strategy and Politics,"Focuses on the rational choice approach to understanding political decision making. Introduces students to the tools and methods of game-theoretic reasoning, and examines the strategic logic of many forms of political decision-making, including voting, lawmaking, and international conflict. "
PSCI 3271,Law and Society: Legal Institutions and Human Behavior,"Examines relationship between human behavior and legal system, looking closely at the voluntary relationship between the citizen and the state, the use of law to balance economic liberty and equality, support for civil liberties, and procedural, distributive, and retributive justice. "
PSCI 3274,Capitalism and its Critics,"Examines competing theoretical approaches to questions related to origins, development, and purposes of modern government in the United States; particular attention paid to impact of transformations in the underlying structure of the capitalist economy. Formerly PSCI 3171."
PSCI 3281,Development of American Political Institutions,"Learn about the evolution of major American political institutions including the presidency, Congress, the judiciary, the party system and the right to vote."
PSCI 3294,Theories of Identity,"What is identity? How does it shape politics, and vice-versa? What are identity politics, and how do they shape the current political landscape? This course uses political theory, law, and case studies to give a three-part introduction to related core concepts: modern and contemporary theories of identity; the legal construction of identity in the United States; and the relationship between identity, policy, and activism in U.S. history and contemporary politics."
PSCI 3301,"Gender, Sexuality and U.S. Law","Contemporary and historic overview of U.S. courts' treatment of sex and gender. Using the case method, examines policy issues including, but not limited to: same sex marriage and civil unions; privacy; affirmative action; abortion; reproductive technologies; and discrimination based on sex and sexual orientation in education and in the workplace. "
PSCI 3311,"Gender and U.S. Politics: Protest, Polls and Policy","Provides an overview and critical examination of women as political actors within the United States. Students will examine the gendered components of citizenship, election, political office, and public policy. Furthermore, students will explore the ways in which gender intersects with class, race, ethnicity, sexual orientation, and other identities in U.S. politics. "
PSCI 3774,Free Speech and Dangerous Ideas,"Examines in depth various philosophical and legal justifications of First Amendment rights of speech, press, association and religion. Assesses these justifications in relation to broader normative theories of liberal democracy. Can also be taken for American field credit. Formerly PSCI 4774."
