PSYC 1001,General Psychology,"Provides a foundation for engaging with scientific research on human behavior, and surveys the basic principles and theories of psychology. Topics include biological and hereditary influences on behavior; human perception, attention, learning, and memory; social influences; personality; psychiatric disorders and treatments."
PSYC 2012,Biological Psychology,"Surveys biological bases of learning, motivation, emotion, sensory processes and perception, movement,comparative animal behavior, sexual and reproductive activity, instinctual behavior, neurobiology of language and thought, and neurophysiology and neuroanatomy in relation to behavior."
PSYC 2111,Psychological Science I: Statistics,"Three hours of lecture and one two-hour lab per week. Introduces descriptive and inferential statistics and their roles in psychological research. Topics include correlation, regression, T-test, analysis of variance and selected nonparametric statistics."
PSYC 2145,Introductory Cognitive Psychology,"Introduces the study of human cognitive processes and covers perception, attention, memory, language, problem solving, reasoning, and decision making. Focuses on basic research and theory in cognitive psychology but also considers their implications for everyday applications such as effective learning and retention, multitasking, and eyewitness testimony."
PSYC 2606,Social Psychology,"Covers general psychological principles underlying social behavior. Analyzes major social psychological theories, methods, and topics, including attitudes, conformity, aggression, attraction, social perception, helping behavior, and group relations."
PSYC 2700,Psychology of Gender and Sexuality,"Examines psychological research on gender and sexuality as they intersect with race, class and other social categories. Points of emphasis include differences in cognition, attitudes, personality and social behavior. Conceptual themes include research methodologies, implicit and explicit attitudes, stigma and stereotypes. These elucidate such areas as close relationships, leadership, career success and mental health and happiness. "
PSYC 3001,Honors Research Methods Seminar,"Focuses on research design. Each student prepares an original, detailed research proposal, which can become the honors thesis. Open only to students who have been accepted into the psychology departmental honors program. Instructor consent required."
PSYC 3005,Cognitive Science,"Provides an introductory survey of influential models, theoretical approaches, and methods of cognitive science. Emphasizes and explains the convergence by work in multiple fields - including psychology and neuroscience, linguistics, computer science, and philosophy - on the idea that mental activity is a form of computation. Students from diverse backgrounds are introduced to a wide range of methods and approaches, including behavioral and neuroimaging experimental approaches, computational modeling and philosophical work. Department enforced prerequisites: two of the following CSCI 1300 or LING 2000 or PSYC 2145. "
PSYC 3102,Behavioral Genetics,"Introduces the basic principles of genetics, covers how these principles can be used in the study of behavior, and evaluates the evidence for genetic influences on behavioral characteristics."
PSYC 3111,Psychological Science 2: Research Methods in Psychology,"Provides a foundation in research methodology to give students the ability to design, conduct, analyze, and present (both verbally and in writing) an empirical study in psychology. Allows students to be effective producers and consumers of research."
PSYC 3112,Behavioral Genetics II,"Follows PSYC 3102, Behavior Genetics, and surveys recent developments in behavior genetics, including recent genotyping and sequencing technologies, statistical approaches, and epigenetics."
PSYC 3131,Human Emotion,"Introduces students to a diverse array of theoretical and empirical issues related to the study of human emotion. Evolutionary theories of anger, love and disgust; emotion and morality; cultural and gender differences; emotion and the brain; relation between emotion and thinking; development of emotion; and abnormal emotions in mental illness."
PSYC 3303,Abnormal Psychology,"Examines etiological, theoretical, clinical,diagnostic, and experimental perspectives of major mental health disorders, with an emphasis on the main symptoms and diagnostic criteria associated with these disorders."
PSYC 3456,Psychology of Personality,"Offers a psychological study of structure, organization and development of the person as a whole. Analysis of major theories, methods and research, including topics such as emotion, motivation, temperament, inner experience, identity and the self, personality change and the influence of sociocultural context."
PSYC 3511,History of Psychology,"Includes outline of development of psychological theories since the Greek philosophers, the story of experimental psychology and its problems, and schools of psychological thinking. Students read original sources in English and English translations. Formerly PSYC 4511."
PSYC 3684,Developmental Psychology,"In-depth consideration of human developmental processes across the life span. Includes coverage of the major topics in human development, such as physical, cognitive, social, emotional, and moral development. "
PSYC 4001,Honors Seminar 2,"Surveys contemporary issues, explores current controversies, and examines in detail selected topics in psychology. Open to juniors and seniors pursuing departmental honors."
PSYC 4011,Senior Thesis,"Critically reviews some aspect of psychological literature, scholarly analysis of a major psychological issue, and/or empirical research project. See the psychology honors director for further information."
PSYC 4021,Psychology and Neuroscience of Exercise,"Explores social, cognitive, psychobiological and behavioral aspects of exercise and other forms of physical activity. Examines how psychological and neuroscience research have been used to study how participation in regular physical activity affects mental health and how psychological and other variables influence participation in, adherence to, enjoyment of, and consequences of exercise and physical activity."
PSYC 4031,Sport Psychology,"Explores the role psychological factors play in the participation in, performance in, and enjoyment of sport. Topics include the role of motivation, attention, arousal, psychological skills training, leadership, and teamwork in sport performance; the psychological variables influencing exercise addiction, overtraining, burnout, body image, and susceptibility to, and recovery from, athletic injuries; and competition, cooperation aggression, and moral behavior in sport."
PSYC 4052,Behavioral Neuroscience,"This advanced course the anatomy and physiology of the central nervous system in detail, and applies that understanding to the visual, auditory, and sensorimotor systems, demonstrating how the anatomy and physiology of the nervous system can be used to explain behavior. The laboratory uses live animals and computer simulations. "
PSYC 4101,Honors Thesis 1,"Completing an Honors Thesis under the direction of the course instructor will be the focus of this course. Students will each conduct an original, empirical research project, including developing the research idea, collecting and analyzing data, and writing their thesis, as well as practice their oral defense. Students will additionally acquire applied experience in research methods, statistics, and data analysis. "
PSYC 4114,Adolescent Development and Learning for Teachers,"Examines current theory and research about adolescent learning and development and explore implications for secondary teaching. Topics include human diversity as a resource for learning, adversity and agency, connecting instruction to students' everyday lives, and the role of belonging and relationships in positive youth development. This course is appropriate for masters degree students. "
PSYC 4136,Judgment and Decision Making,"Introduces the study of judgment and decision making processes (estimation, prediction and diagnosis, choice under certainty, and risky decision making) and the methods that have been developed to improve these processes (statistical modeling, decision analysis, and expert systems)."
PSYC 4142,"Brain Injury, Plasticity and Recovery: From Neuron to Behavior","Traumatic brain injury is prevalent in all aspects of society, with incidence rates varying according to age, gender, military affiliation and participation in certain sports. Delves into the full spectrum of consequences following injury, beginning with the individual neural cells in the brain through to the behaving individual. Covers strategies to improve functional recovery. "
PSYC 4145,Advanced Cognitive Psychology,"Advanced course in human cognitive processes. Covers key aspects of cognition, such as perception, attention, learning, memory, language and thinking. Discusses major theories and ideas in terms of the research they have inspired. Emphasis varies with instructor. One lab per week and a research project is required. "
PSYC 4155,Cognitive Neuroscience/Neuropsychology,"Introduction to cognitive neuroscience and neuropsychology. Provides a survey of the neuropsychological underpinnings for a wide range of cognitive functions: vision, object recognition, attention, language, memory and executive function. One lab per week. "
PSYC 4165,Psychology of Perception,"One lab, three lect. per week. Analyzes peripheral and central mechanisms involved in the transduction and interpretation of experience. Gives special attention to vision and audition; major theories in these areas are discussed in terms of research they have inspired."
