RLST 1620,Religious Dimensions of Human Experience,"Surveys different approaches to the study of religion. Students will grow familiar with key thinkers, texts, and movements that shape how we understand religious phenomena. Students will also examine critiques of how religion is studied. In the end, students will have gained insight into significant aspects of religious life, belief, and practice that will empower them to navigate a world in which religion is increasingly relevant."
RLST 1818,Jewish History to 1492,"Focus on Jewish history from the Biblical period to the Spanish Expulsion in 1492. Study the origins of a group of people who call themselves, and whom others call, Jews. Focus on place, movement, power/powerlessness, gender, and the question of how to define Jews over time and place. Introduces Jews as a group of people bound together by a particular set of laws; looks at their dispersion and diversity; explores Jews' interactions with surrounding cultures and societies; introduces the basic library of Jews; sees how Jews relate to political power. "
RLST 1820,Religion and Politics in Ancient Egypt,"Studies the literature, politics, religions and other traditions of Ancient Egypt. "
RLST 1828,Jewish History Since 1492,"Surveys the major historical developments encountered by Jewish communities beginning with the Spanish Expulsion in 1492 up until the present day. Studies the various ways in which Jews across the modern world engaged with the emerging notions of nationality, equality and citizenship, as well as with new ideologies such as liberalism, socialism, nationalism, imperialism and antisemitism. "
RLST 1830,Global History of Holocaust and Genocide,"Examines the interplay of politics, culture, psychology and sociology to try to understand why the great philosopher Isaiah Berlin called the 20th century, The most terrible century in Western history. Our focus will be on the Holocaust as the event that defined the concept of genocide, but we will locate this event that has come to define the 20th century within ideas such as racism, imperialism, violence, and most important, the dehumanization of individuals in the modern world. "
RLST 1850,Ritual and Media,"Ritual continues to play an important role in contemporary societies in both religious and secular contexts. This course examines the elements and genres of ritual activity from African rites of passage to the Beijing Olympics, paying close attention to how the media documents, appropriates and transforms aspects of ritual."
RLST 1900,Introduction to the Hebrew Bible/Old Testament,"Examine the content of the Hebrew Bible and critical theories regarding its development. Explore the development of these texts, as well as their foundational role for rabbinic literature and the New Testament. Assess the enduring influence of the Hebrew Bible/Old Testament in world literature and culture (such as in art and music). "
RLST 1910,Introduction to the New Testament,"Examine the background, content and influence of the New Testament books. Studies the diverse perspectives contained in the various books, as well as the process of canonization. Assess the influence of the New Testament on the development of Christianity as well as world (eastern and western) culture. "
RLST 2100,American Beliefs and Values,"An in-depth analysis of beliefs and values that have dominated American life in modern and postmodern eras, and of diverse belief and value systems that offer alternatives for the future. The analysis will be based on influential theories from the academic study of religion, and the course will give special attention to the influence of religious factors on secular American life."
RLST 2200,Religion and Dance,"Connecting dancing to religions across the globe demonstrates the near synonymy of the two in most cultures, the remarkable potential for dancing to articulate cultural identity, and finally that dancing is strongly connected to what distinguishes being human. Provides an enriched appreciation of dancing and the introduction to dancing in many cultures."
