SOCY 1001,Introduction to Sociology,"Examines basic sociological ideas including social relations, social interaction, social structure, and social change. Examples are drawn from societies around the world."
SOCY 1004,Deviance in U.S. Society,"Examines the social construction of deviance in the U.S., the process of acquiring a deviant identity and managing deviant stigma, and the social organization of deviant act, lifestyles, relationships and careers."
SOCY 1006,The Social Construction of Sexuality,"Discusses the social determinants of sexuality. Analyzes the economic, psychological, and cultural influences on human sexuality. Interactional perspective of human sexuality is presented. "
SOCY 1016,"Sex, Gender, and Society 1","Examines status and power differences between the sexes at individual and societal levels. Emphasizes historical context of gender roles and status, reviews major theories of gender stratification. "
SOCY 1021,United States Race and Ethnic Relations I,"Examines how concepts of race and ethnicity have manifested historically and manifest currently in U.S. society. Covers foundational concepts such as prejudice, discrimination, and privilege. Also addresses the structural causes and consequences of race and ethnicity in various aspects of U.S. society, such as the housing market, the criminal justice system, and education."
SOCY 1022,Ethics and Social Issues in U.S. Health and Medicine,"Explores current ethical and policy issues in U.S. health and medical practices. Includes such issues as alcohol and drug abuse, organ transplants and substitutes, genetic engineering, contraception, abortion, occupational safety and health, and euthanasia."
SOCY 1841,Independent Study in Sociology,
SOCY 2011,Contemporary Social Issues and Human Values,"Explores contemporary societies on a global scale. Focuses on such issues as capitalism, socialism, race and ethnic problems, sex discrimination, poverty and the concentration of wealth, crime and deviance, human rights and human values, peace and war."
SOCY 2031,Social Problems,"Examines various social problems in the U.S. through a traditional sociological framework focused on race, class, and gender. Considers such problems as economic, racial, and gender inequality as manifestations of broader structural dynamics rooted in unequal relations of power. Addresses topics such as mass incarceration, poverty, segregation, drug use, immigration, and war and terrorism."
SOCY 2034,Drugs in United States Society,"Examines the relationship between drugs and social contexts. Lends insight into why people find consciousness alteration meaningful, what kinds of experiences and problems arise, and what types of social policies emerge to control drug use."
SOCY 2044,Crime and Society,"Explores issues related to crime, the criminal justice system, and crime-related public policy. It addresses what we know about crime and how we know it, how our society responds to crime, how the institutions designed to address crime (police, courts, corrections) function, and diversity in experiences with the criminal justice system. "
SOCY 2061,Introduction to Social Statistics,"Introduces students to quantitative analysis of social phenomena. Emphasizes understanding and proper interpretation of graphs; measures of central tendency, dispersion, and association; and the concept of statistical significance. Assumes students have only limited mathematical background."
SOCY 2077,Environment and Society,"Examines interactions between societies and their natural and built environments through the lens of inequality. Describes how environmental problems vary along, are shaped by, and exacerbate disparities along lines of race, socioeconomic status, and other forms of social status. Also examines collective efforts to address social and environmental problems."
SOCY 2080,Sociology of the Helping Professions,"Investigates how today's helping professionals are trained and socialized to care for clients, the challenges they face in working within modern bureaucracies and with advanced technologies and the importance of inter-professional care."
SOCY 2091,Topics in Sociology,Variety of courses taught by visiting and regular faculty. See current departmental announcements for specific content. Students may receive credit for this course up to three times for different topics.
SOCY 2092,"Sex, Power and Reproduction","Examines fertility, contraception and abortion with an emphasis on demographic trends, social stratification and policy impacts. Sociological, demographic and public health perspectives will be presented."
SOCY 3001,Classical Theory,"In-depth study of classical sociological theorists, particularly Marx, Durkheim, and Weber. Examines their roles in defining the discipline of sociology."
SOCY 3002,Population and Society,"Examines population, its structure and processes, and its relationships to selected areas of the social structure. Examines Malthusian, neo-Malthusian, and Marxist perspectives."
SOCY 3011,Contemporary Theory,"Continuation of SOCY 3001. In-depth study of modern and post-modern theories of the 20th century, including structural-functionalist, conflict, symbolic interactionist, feminist, and world system theories."
