SPAN 1000,Cultural Difference through Hispanic Literature,"For freshmen only. Organized around the general topic of cultural differences. Focuses on a related issue such as gender or history articulated in the literature of Spain, Latin America, and the Hispanic United States. Taught in English; students read selected literary texts in English from the various traditions. Does not count towards the Spanish major."
SPAN 1010,Beginning Spanish 1,"A beginning course that assumes no prior knowledge or experience with Spanish. A variety of language-teaching approaches are used to help students develop all four basic language skills: listening, speaking, reading and writing. "
SPAN 1020,Beginning Spanish 2,Continuation of SPAN 1010. Department enforced prerequisite: SPAN 1010 (min. grade C-). 
SPAN 1150,Intensive First Year Spanish,An intensive beginning course covering the same material as SPAN 1010 and 1020. 
SPAN 2110,Second-Year Spanish 1,"Grammar review. Emphasizes reading, writing, and speaking skills. Department enforced prerequisite: SPAN 1020 (min. grade C-). "
SPAN 2120,Second-Year Spanish 2,"Grammar review. Emphasizes reading, writing and speaking skills. Department enforced prerequisite: SPAN 2110 (min. grade C-)."
SPAN 2150,Intensive Second-Year Spanish,Intensive review of grammar and other subjects covered in SPAN 2110 and SPAN 2120.
SPAN 2450,Catalan for Spanish Speakers,"Offers an intensive introduction to the Catalan language for those able to speak Spanish. By the end of the course students should be able to communicate well in all language-skills areas: listening comprehension, speaking, reading and writing. Students will also have gained a better understanding and appreciation of the Catalan singularity. "
SPAN 3000,Advanced Spanish Language Skills,"Moves students beyond the intermediate level toward an advanced command of Spanish with a focus on communication appropriate for academic research and professional interactions. Course activities focus on solidifying and deepening interpretive, interpersonal and presentational communication skills through close exploration of authentic texts and media and creation of both formal and informal writing and oral presentations. The course prepares students for continued study of literature, art, history, linguistics, culture, business, medical and other professional topics in Spanish. SPAN 3000 is the first required course for the Spanish major and minor and is one of the prerequisites for all upper-division Spanish courses except SPAN 3001."
SPAN 3001,Spanish Conversation,Emphasizes vocabulary acquisition and speaking fluency. This is an intermediate-level course intended for those who are learning Spanish as a second-language. Native speakers of Spanish who have pursued formal education in a Spanish speaking country will not be admitted to the course. Heritage speakers of Spanish (native speakers who have pursued formal education in a non-Spanish speaking setting) as well as students from bi-lingual K-12 programs must meet with the coordinator to determine appropriate class level. This is a 5th semester course offered at the same level as SPAN 3000. It is not part of a sequence and it does not serve as a prerequisite for any other course. This course does not count toward the Spanish major or minor.
SPAN 3002,Advanced Spanish Conversation,"Focuses on refining fluency in both informal and formal discourse through group discussions, class work and individual and group presentations in order to prepare students for communication in professional settings. To that end, the materials used in the course will emphasize themes and problems relevant to the contemporary Hispanic world. This course is designed for Spanish majors, minors and students seeking state certification as instructors of Spanish."
SPAN 3010,Advanced Rhetoric and Composition,"Designed to refine expository and argumentative writing in Spanish, this course will center around four main areas of study: culture, linguistics, sociopolitical and economic reality, and literature and criticism. A multi-draft process-based approach will guide the writing and revision of essays. Additionally, there will be a focus on grammar and lexical issues most challenging for students at the third-year level."
SPAN 3030,Professional Spanish for Business 1,"Develops advanced Spanish-language skills, trans-cultural knowledge, and regional, historical, and sociocultural understanding in order to expand the critical apparatus necessary for pursuing business-related professions in the Spanish-speaking world. Includes the study of essential business terminology and documents."
SPAN 3040,Professional Spanish for Business 2,"Complements SPAN 3030 with a focus on different business topics and countries. Emphasizes interpreting and elementary translation. Attention is given to the writing of resumes and application letters, as well s the entire job search process."
SPAN 3050,Spanish Phonology and Phonetics,"Designed to teach some of the methods, techniques, and tools of descriptive linguistics as they apply to articulatory phonetics. Students analyze important contrasts between sounds of Spanish and English bymeans of phonetic transcription."
SPAN 3060,Spanish for Careers in Environmental Studies and Sustainable Development,"Provides advanced Spanish language competency and transcultural knowledge of issues pertaining to the environment, energy and sustainable development in the Spanish-speaking world. Students will develop a critical apparatus for analyzing, reading, listening, speaking and writing about the social, cultural and economic parameters of these countries and the U.S."
SPAN 3070,Spanish 21st Century Media Professions,"Develops advanced Spanish language skills, trans-cultural knowledge and regional and historical understanding necessary for using Spanish in media related professions. Examines the production, representations and cultural meaning of Hispanic and Latino media within the United States and globally drawing on films, videos and readings in political economy, cultural studies, history and sociology. Students create five media products in Spanish."
SPAN 3080,Spanish Health Professions,"Develops advanced Spanish language competency and trans-cultural knowledge and skills for health related contexts both in the United States and abroad in order to develop a critical apparatus for analyzing, reading, listening, speaking and writing about health and understanding health fields in historical and sociocultural contexts of the Spanish speaking world."
SPAN 3100,Literary and Cultural Analysis in Spanish,"Fosters critical thinking and the ability to discuss texts from a historical, sociological, ideological and formalistic viewpoint. Analyzes literary and cultural expressions from Latin America, Spain and the US Latino traditions in different genres, ranging from fiction to poetry, and media from the written word to cinema and other visual arts."
SPAN 3120,Advanced Spanish Grammar,Develops a deeper understanding of grammatical features of Spanish. Advancement of Spanish language skills and development of metalinguistic awareness is achieved through examination of grammar usage in both texts and spontaneous speech productions within communities.
SPAN 3150,Linguistic Analysis of Spanish,"Introduces students to fundamental areas of linguistic analysis with special attention paid to Spanish (and Portuguese). The structural systems of language will be introduced (principles of sound patterns, word formation, meaning, and sentence structure). Different types of language variation will be discussed (historical, social, regional)."
SPAN 3200,Spanish Culture,Examines historical bases of modern Spain's cultural and political currents. Department enforced prerequisite: SPAN 3000.
SPAN 3215,Urban History and Culture in the Spanish-Speaking World,"Understanding the complex history, social fabric, material life and cultural diversity of Latin American and Iberian cities is the goal of this course, which in its iterations will be devoted to analyzing and discussing different urban centers on either side of the Atlantic Ocean. Materials from a wide variety of media and genres such as literature, visual arts, historiography, film, will be used. Taught in Spanish."
SPAN 3220,Latin American Culture: Spanish America and Brazil,"Examines literary, artistic, and philosophical currents in Spanish America and Portuguese America (Brazil), from pre-Columbian times to the present. "
SPAN 3230,Discovering Barcelona: Culture and Heritage,"Presents more than 2,000 years of Barcelona's cultural heritage in the city of Barcelona from the Romans to the present. We will read works by locals and foreign authors to understand how the city has been a hub of the European and Mediterranean cultures for centuries. A faculty sponsored Global Seminar to Barcelona, Spain, offered through the Study Abroad Program. Department enforced prerequisite: SPAN 3000 or equivalent."
SPAN 3240,Catalan Culture 1: Nation and Art,"Introduces students to the literary, artistic and historical currents of Catalonia, an economically vibrant area of the Iberian Peninsula with 10 million people, its capital Barcelona, and a distinct culture and language. Examines national identity and major works from renowned Catalan artists, spanning architecture, painting and literature, like Dali, Gaudi, or Miro. Department enforced prerequisite: SPAN 3000."
