SWED 1010,Beginning Swedish 1,
SWED 1020,Beginning Swedish 2,Department enforced prerequisite: SWED 1010 (minimum grade C-). 
SWED 1110,Beginning Swedish 1 - Directed Independent Language Study,"Provides practical, communicative language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Introduces students to Swedish history and contemporary culture and society."
SWED 1120,Beginning Swedish 2 - DILS,"Continuation of SWED 1110 DILS. Provides practical, communicative language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Introduces students to Swedish history and contemporary culture and society. Department enforced prerequisite: SWED 1110 (minimum grade C-). "
SWED 1900,Independent Study,
SWED 2010,Intermediate Swedish 1 -DILS,"Continuation of SWED 1120 DILS. Provides practical, communicative language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Introduces students to Swedish history and contemporary culture and society. Department enforced prerequisite: SWED 1120 (minimum grade C-)."
SWED 2020,Intermediate Swedish 2 - DILS,"Develops intermediate reading, writing, speaking and verbal comprehension skills. Uses the Directed Independent Language Study (DILS) model that combines in-class exercises and lectures with independent study. Reviews and continues content of SWED 2010. Directed independent language study course requires work outside of class. Department enforced prerequisite: SWED 2010 (minimum grade C-)."
SWED 2110,Second-Year Swedish Reading and Conversation 1,"Provides practical, communicative language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Introduces students to Swedish history and contemporary culture and society. Department enforced prerequisite: SWED 1010 or SWED 1110 (minimum grade C-)."
SWED 2120,Second-Year Swedish Reading and Conversation 2,"Provides practical, communicative language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Introduces students to Swedish history and contemporary culture and society. Department enforced prerequisite: SWED 1020 or SWED 1120 (minimum grade C-)."
SWED 3010,Advanced Swedish 1-DILS,"Continuation of Intermediate Swedish 2. Provides advanced language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Exposes students to historical and modern Swedish culture and society. Directed independent language study course, requires work outside of class. Department enforced prerequisite: SWED 2020 - DILS (minimum grade C-)."
SWED 3020,Advanced Swedish 2 - DILS,"Continuation of Advanced Swedish 1. Provides advanced language skills for use in a variety of situations. Examines basic language structure and grammatical forms. Exposes students to historical and modern Swedish culture and society. Directed independent language study course, requires work outside of class. Department enforced prerequisite: SWED 3010 - DILS (minimum grade C-)."
SWED 3900,Independent Study,
