WGST 1006,The Social Construction of Sexuality,"Discusses the social determinants of sexuality. Analyzes the economic, psychological and cultural influences on human sexuality. Interactional perspective of human sexuality is presented. "
WGST 1016,"Sex, Gender, and Society 1","Examines status and power differences between the sexes at individual and societal levels. Emphasizes historical context of gender roles and status, reviews major theories of gender stratification. "
WGST 1250,Introduction to World Literature by Women,"This course considers how literature represents gendered experiences across multiple countries and continents. Students will read fiction and poetry by women from South Asia, East Asia, Africa, Europe, and the Americas, that address questions of sexuality, marriage, and family, politics, labor, and justice at the intersections of gender, race, and nation. "
WGST 1260,Introduction to Women's Literature,Introduces literature by women in England and America. Covers both poetry and fiction and varying historical periods. Acquaints students with the contribution of women writers to the English literary tradition and investigates the nature of this contribution. 
WGST 1270,Introduction to American Literature by Women,"This course investigates how literature by women has shaped the United States over time, from Indigenous authors, to abolitionists, to suffragists, to feminists of various waves. With attention to intersections between class, race, and sexual orientation, students will consider what it has meant and still means to be a woman writer in the United States and will explore how women have engaged, subverted, and resisted ideas about gender. "
WGST 2000,Introduction to Feminist Studies,"Introduces students to the field of Women and Gender Studies. Examines gender issues in the United States from interdisciplinary, multicultural and feminist perspectives. Covers such topics as sexuality, beauty ideals, women's health, violence against women, work, the economy, peace and war and the environment."
WGST 2020,"Femininities, Masculinities, Alternatives","Examines the construction of gender and sexual identities in the modern world. Focuses on the role of social attitudes and material circumstances in shaping how individuals understand themselves and are understood by others, as well as the actions they take to accept, negotiate and resist these pressures."
WGST 2030,"Introduction to Lesbian, Gay, Bisexual, and Transgender Studies","Investigates the social and historical meanings of racial, gender, and sexual identities and their relationship to contemporary lesbian, bisexual, gay and transgender communities. "
WGST 2050,"Gender, Sexuality, and Popular Culture","Explores diverse cultural forms such as film, popular fiction and non-fiction, music videos, public art, websites, blogs and zines which are shaped by, and in turn shape, popular understandings of gender at the intersections of race, class, ability, religion, nation and imperialism."
WGST 2100,Gender and Sexuality in Ancient Greece,"Examines evidence of art, archaeology and literature of Greek antiquity from a contemporary feminist point of view. Focuses on women's roles in art, literature and daily life. No Greek or Latin required. "
WGST 2110,Gender and Sexuality in Ancient Rome,"Uses art, archaeology, and literature to study, from a contemporary feminist point of view, the status of women in works of Roman art and literature, the development of attitudes expressed toward them, and their daily life. No Greek or Latin required. "
WGST 2200,"Women, Gender, Literature, and the Arts","Introduces the contributions of women to literature and the performing arts from a historical and cross-cultural perspective. Emphasizes representations of gender and sexuality, as well as the cultural contexts in which artworks are created. Stresses issues of structure, content, and style, along with the acquisition of basic techniques of literary and arts criticism. "
WGST 2290,Philosophy and Gender,"Analyzes critically the concepts of sex, gender, and their intersection with other aspects of identity, exploring how these impact the extent to which people face injustice because of their gender. "
WGST 2400,Women of Color and Activism,"Studies the history of social activism in the United States by women of color, with an emphasis on modes of social activism, issues that have organized specific communities of color, issues that have crossed ethnic/racial boundaries and the interaction of women from different ethnic/racial groups, including women of color and white women. "
