WRTG 1100,Extended First-Year Writing and Rhetoric,"Extended version of WRTG 1150 that carries an additional hour of credit and is intended for students desiring more preparation and practice in college writing. Meets the same goals as WRTG 1150. Features one extra hour of small group work out of class. Focuses on critical analysis, argument, inquiry and information literacy. Taught as a writing workshop, the course places a premium on invention, drafting and thoughtful revision. For placement criteria, see the arts and sciences advising office. "
WRTG 1150,First-Year Writing and Rhetoric,"Rhetorically informed introduction to college writing. Focuses on critical analysis, argument, inquiry and information literacy. Taught as a writing workshop, the course places a premium on invention, drafting and thoughtful revision. For placement criteria, see the arts and sciences advising office. "
WRTG 1160,CMCI First-Year Writing and Rhetoric,"Rhetorically informed introduction to college writing for CMCI students enrolled in CMCI 1010 or CMCI 1020. Focuses on critical analysis, argument, inquiry, and information literacy. Taught as a writing workshop, the course places a premium on invention, drafting, and thoughtful revision."
WRTG 1250,Advanced First-Year Writing and Rhetoric,"Advanced version of WRTG 1150 intended for more experienced writers, this course meets the same goals as WRTG 1150 but at a more challenging level. Taught as a writing workshop, the course places a premium on invention, drafting and thoughtful revision. For placement criteria, see the arts and sciences advising office. "
WRTG 1840,Independent Study in Writing,
WRTG 2000,Information and Society,"In an information economy, few skill sets are as fundamental to our civic, economic, and environmental well-being as information literacy. This writing course will train students to produce, categorize, and analyze information in academic and real-world contexts. In addition to information literary, we will examine the writing thresholds and habits of mind conducive to the effective uses of information. Through extensive use of digital technologies, students will equally cultivate the skills of digital literacy. "
WRTG 2020,Introduction to Creative Nonfiction,"Explores from both the reader's and writer's perspectives the forms of creative nonfiction, including personal essay and memoir. Students will read and write extensively within this genre, develop skill in revision and peer critique and learn how to submit work for publication. Does not fulfill core requirements. Department enforced prerequisite: WRTG 1150 or equivalent (completion of lower-division writing requirement)."
WRTG 2090,Electives in Writing,"Explores a variety of academic and professional writing genres, ranging from research to technical writing, in intensive workshops. Students read and write extensively across genres. Check with program for semester offerings. Designed for self-motivated students in all majors. Does not fulfill core requirements. Department enforced prereq., WRTG 1150 or equivalent (completion of lower-division writing requirement)"
WRTG 2930,Internship in Writing and Rhetoric,"Provides academically supervised opportunity for undergraduate students to engage in writing and rhetoric as a practical and productive art. Students may work in a variety of organizations (public/government/civic/private) on writing-intensive projects related to their career goals, and thereby connect classroom theory to real-world practice. Prior approval of PWR internship coordinator required."
WRTG 3007,Writing in the Visual Arts,"Enables students in the arts to improve their writing skills through organization, presentation, critique and revision. Writing assignments include formal writing (analysis and argument), informal writing and grant proposals. Department enforced prerequisite: WRTG 1150 or equivalent (completion of lower-division writing requirement)."
WRTG 3020,Topics in Writing,"Through sustained inquiry into a selected topic or issue, students will practice advanced forms of academic writing. Emphasizes analysis, criticism and argument. Taught as a writing workshop, places a premium on substantive, thoughtful revision. Department enforced prerequisite: WRTG 1150 or equivalent (completion of lower-division writing requirement)."
WRTG 3030,Writing on Science and Society,"Through selected reading and writing assignments, students consider ethical and social ramifications of science policy and practice. Focuses on critical thinking, analytical writing, and oral presentation. Taught as a writing workshop, the course addresses communication with professional and non-technical audiences. "
WRTG 3035,Technical Communication and Design,"Rhetorically informed introduction to technical writing that hones communication skills in the context of technical design activities. Treats design as a collaborative, user-oriented, problem-based activity, and technical communication as a rhetorically informed and persuasive design art. Taught as a writing workshop emphasizing critical thinking, revision, and oral presentation skills. Focuses on client-driven design projects and effective communication with multiple stakeholders. "
WRTG 3040,Writing on Business and Society,"Through selected reading and writing assignments, students examine ethical and social issues in the context of business decision-making processes. Focuses on critical thinking, analytical writing and oral presentation. Taught as a writing workshop, the course emphasizes effective communication with professional and non-technical audiences. Department enforced prerequisite: WRTG 1150 or equivalent (completion of lower-division writing requirement)."
WRTG 3045,Writing for Emerging Workplaces,"A rhetorically-informed professional writing course addressing key competencies needed in emerging workplaces. Intended for juniors and seniors from a wide range of majors who anticipate working in communication-intensive capacities. Taught as a writing workshop, with a focus on revision, critical thinking, and collaborative engagement. Key topics: professional correspondence, grant and proposal writing, writing for policy debates, data analysis and visualization, report writing, and advanced oral presentation and multimedia skills. Satisfies A&S Upper-Division Written Communication requirement."
WRTG 3090,Open Topics in Writing: Advanced,"Advanced topics course providing intensive, specialized writing instruction in selected topics. Check with the program for semester offerings. Does not fulfill core requirements. Department enforced prerequisite: WRTG 3007 or WRTG 3020 WRTG 3030 or WRTG 3035 or WRTG 3040 or instructor consent required."
WRTG 3840,Independent Study, Department enforced prerequisite: WRTG 3007 or WRTG 3020 or WRTG 3030 or WRTG 3035 or WRTG 3040 or instructor consent required.
WRTG 3930,Internship in Writing and Rhetoric,"Provides academically supervised opportunity for undergraduate students to engage in writing and rhetoric as a practical and productive art. Students may work in a variety of organizations (public/government/civic/private) on writing-intensive projects related to their career goals, and thereby connect classroom theory to real-world practice. Prior approval of PWR internship coordinator required."
WRTG 4910,Portfolio Curation in Writing and Rhetoric,"Provides academically supervised opportunity for undergraduate students to curate, reflect on and synthesize their learning over a range of courses through the production of an electronic portfolio. One credit hour required of students seeking the Interdisciplinary Writing Certificate. Approval of PWR Certificate coordinator required prior to registration. Pass/Fail only."
WRTG 5050,Graduate Studies in Writing and Rhetoric,"Special topics and methods course in composition theory, research and pedagogy. Topics vary by semester. "
WRTG 5840,Independent Study-Writing & Rhetoric,Independent study. 
