ANTH 1030,Principles of Anthropology 1,"Evolution of humanity and culture from beginnings through early metal ages. Covers human evolution, race, prehistory, and rise of early civilizations. This course is taught through Continuing Education."
ANTH 1040,Principles of Anthropology 2,"Surveys the world's major culture areas. Covers components of culture, such as subsistence, social organization, religion, and language. This course is taught through Continuing Education."
ANTH 1100,Exploring a Non-Western Culture: The Tamils,"Surveys the social and economic patterns, ideas and values, and aesthetic achievements of the Tamils, a Hindu people who live in South India and Sri Lanka."
ANTH 1105,Exploring a Non-Western Culture: Tibet,"Introduction to Tibetan culture, history, religion, and society from an anthropological perspective, including traditional as well as contemporary dimensions. Topics will include Tibetan Buddhism, politics, nomadism, gender, refugee issues, and the global Tibetan diaspora, all framed within the larger methods and concepts of cultural anthropology."
ANTH 1115,The Caribbean in Post-Colonial Perspective,"Introduces the student to the varied peoples and cultures in the Caribbean region, emphasizing the historical, colonial, and contemporary political-economic contexts of their social structure and cultural patterns."
ANTH 1120,Exploring a Non-Western Culture: Pueblo Indians of the Southwest,"Examines the geography, kinship, politics and religious values of Pueblo Indian peoples of the US Southwest in historical and contemporary context through an anthropological perspective. Specific details of Pueblo Indian languages, cultures, and histories are used to illustrate basic ideas and debates in anthropology including: the concept of culture, the influence of language on thought, the grounding of culture in human biology, religion and reason, the nature of oral traditions, and archaeological interpretation."
ANTH 1125,Exploring Cultural Diversity in the U.S.,"Examines the geography, kinship, politics and religious values of various cultures in the United States in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. "
ANTH 1140,Exploring a Non-Western Culture: The Maya,"Explores the culture of the Maya of Central America, emphasizing their material adaptations, social organizations, ideals and values, and artistic achievements in the past and the present."
ANTH 1141,Indigenous Imperialism on the Andes: The Inca Realm and its People,"Uses archaeological and anthropological approaches to the study of non-Western imperialism examining the origins of inequality and marginalization in Indigenous pre-European empires and their maintenance during European colonialism. We will use the Inca Empire, the largest Indigenous political system of the American continent by 1530 AD. Learning about the Indigenous and Spanish cultural heritage of South America will equip the students to appreciate present-day Latin America societies with an anthropological perspective."
ANTH 1143,"Civilization, The Early Years: Ancient Mesopotamia in the Second Millennium BC","Introduces you to the peoples and cultures of ancient Mesopotamia during the second millennium B.C. In conjunction with the political history of shifting dynasties, wars, and power struggles, we will examine a number of issues in various cultural contexts. These include the interplay of texts and archaeological data in reconstructing the past; societal `collapse¿-what it is and what it isn¿t; legitimation of power; Mesopotamian mythology, and the role of women. Previously offered as a special topics course."
ANTH 1145,Exploring a Non-Western Culture: The Aztecs,"Explores the culture of the Aztec people of Central Mexico: their subsistence, society, religion, and achievements, as well as the impact of the Aztec empire in Mesoamerica. Also reviews the clash of a non-western society with the western world with the arrival of the Spanish conquistadors."
ANTH 1150,Exploring a Non-Western Culture: Regional Cultures of Africa,"Explores a small number of cultures in a specific sub-region of Africa from an integrated holistic viewpoint, emphasizing material adaptations, social patterns, ideas and values, and aesthetic achievements."
ANTH 1155,Exploring Global Cultural Diversity,"Examines the geography, kinship, politics and religious values of various cultures globally in historical and contemporary context through an anthropological perspective. Check with department for semester offerings. "
ANTH 1156,"Class and Consumption: Global Cultures of Inequality, Anxiety, and Shopping","Introduces students to the cultural contours of the political and economic conditions that generate social class. Students learn about classical theories of social class that have traditionally focused on labor, production, education or status, and adds consumption to these analyses. By inviting students to think anthropologically about how consumption facilitates and generates class differentiation, the course equips them to recognize and analyze the ways that class is experienced and reproduced."
ANTH 1170,Exploring Culture and Gender through Film,"Explores the concepts of culture and gender from an anthropological perspective, using films and other media, as well as written texts. By analyzing media about other ways of life, students will learn the basic concepts of cultural anthropology and be able to apply them to any society. In addition, students will learn to think critically about documentary and ethnographic media."
ANTH 1180,Maritime People: Fishers and Seafarers,"Explores important milestones in the development of human societies and cultures that live from the sea. Emphasizes the evolution of maritime adaptations associated with fishing and seafaring from more than 10,000 years ago through the present."
ANTH 1190,Origins of Ancient Civilizations,"Examines origins of the world's first civilizations in Mesopotamia, Egypt, the Indus Valley, Mesoamerica, and the Andes. Covers archaeology of ancient cities, trade, economy, politics, warfare, religion, and ideology. Seeks insights into general processes of cultural evolution."
ANTH 1200,Culture and Power,"Compares contemporary sociopolitical systems across cultures, from non-Western tribal groups to modern states. Introduces students to anthropological approaches for understanding and analyzing political forces, processes, and institutions that affect cultures such as colonialism, warfare, violence,ethnicity, migration, and globalization."
ANTH 2010,Introduction to Biological Anthropology 1,"Detailed consideration of human biology, the place of humans in the animal kingdom, primate ecology and fossil evidence for human evolution. Required for ANTH majors."
ANTH 2020,Human Biological Variation and Adaptation,"Introduction to human biology, variation, and adaptation. Explores humans as a species through an understanding of biological variation and adaptation. "
ANTH 2030,Laboratory in Biological Anthropology 1,"Lab in human osteology and musculoskeletal system emphasizing comparative primate morphology, adaptation, and the fossil record documenting the natural history of primates. Meets the MAPS requirement for natural science: lab, when taken with ANTH 2010."
ANTH 2040,Laboratory in Human Biological Variation and Adaptation,"Experiments and hands-on exercises designed to enhance understanding of human genetics, anatomy, and function of the principles and concepts presented in ANTH 2020. One two-hour class per week. "
ANTH 2070,"Bones, Bodies, and Disease",Studies the human skeleton and introduces techniques used to evaluate demographic variables. Applies techniques through evaluation of photographic images of an excellently preserved mummified skeletal population from ancient Nubia to reconstruct prehistoric patterns of adaptation and biocultural evolution. Offered through Continuing Education only. 
ANTH 2100,Introduction to Cultural Anthropology,Covers current theories in cultural anthropology and discusses the nature of field work. Explores major schools of thought and ethnographic fieldwork in a range of cultures studied by anthropologists. Required for Anthropology majors.
ANTH 2200,The Archaeology of Human History,Where do we come from? This course provides a brief introduction to the practice of archaeology and then emphasizes the evidence for major events/transitions in human history over the last 2.5 million years. Required for ANTH majors.
