APRD 1003,Principles of Strategic Communication,"Introduces the foundations, nature, and practices of advertising and public relations and the various industry functions - including account management, market research, account planning, media planning, creative strategy, creative execution, branding, image reputation and crisis management. This course offers historical, organizational, financial, creative and critical perspectives concerning strategic communication."
APRD 1004,Fundamentals of Grammar,"Teaches students the basic rules of grammar, punctuation, word choice and sentence structure so that they can write clear and concise messages that convey a desired meaning, apply punctuation in an accurate and effective manner, and differentiate between style conventions."
APRD 2001,Strategic Thinking in Advertising and Public Relations,"Reviews historical and contemporary views of critical and strategic thinking, as well as strategic practices utilized in advertising, branding, and public relations through the use of readings, exploration of case studies, lectures, individual and group exercises, and client projects."
APRD 2004,Introduction to Research Methods and Insights,"Provides students with the fundamental skills necessary to develop research-based strategies to address challenges faced by advertising, public relations, and marketing professionals in their efforts to address client communication needs."
APRD 2005,Strategic Communication Writing,Introduces students to strategic writing across multiple media platforms and demonstrates the different forms of writing used in the strategic communication subfields. Students will learn strategies for crafting and delivering effective messages to target audiences.
APRD 2006,Software and Design Applications,Equips students with the practical knowledge and critical skills necessary to effectively employ visual design in advertising and public relations practice. Students will be introduced to both the fundamental principles of graphic design and the technical tools used to bring design ideas to life.
APRD 3000,Intermediate Creative Concepts,Explores both strategic and creative thinking and examines approaches to narrative storytelling as a tool for telling overarching brand stories. Students use the foundation to develop creative briefs and advertising campaigns. Instructor consent required.
APRD 3001,Visual Design,"Students are introduced to design elements and principles, research and visual storytelling. They are challenged to communicate intellectual, sensory and emotional concepts by learning a visual vocabulary of type, color, and form expressed in a variety of mediums and dimensions."
APRD 3002,Communication Platforms,"Concentrates on strategies and tactics advertisers and marketers use to communicate their brand stories to their desired audiences. These include traditional media planning and placement - TV, print, radio, and out-of-home - as well as new areas like digital, social, and experiential approaches to communications. Students will learn how to create, develop, and present communication plans and campaigns in an interactive and fast-paced environment."
APRD 3003,Strategic Communication Research Methods,Provides an opportunity to use and master quantitative and qualitative research methods. Students conduct research and analyze data to determine the targets relationship with specific product categories and identify the emotional and practical needs that create brand relationships.
