ARTS 1002,Beginning Drawing 1,"Formal visual elements are presented through a study of spatial relationship. Built around a series of related problems, each of which is designed to develop fluency in drawing, offer experience in handling media, foster self-confidence and promote an understanding of the visual elements and their role in the development of pictoral space."
ARTS 1003,Printmaking for Non-Majors,"Emphasizes processes involved with both nonmultiple and multiple methods, including but not limited to metal plate etching (intaglio), lithography, collagraph, woodcut, linoleum cut, Xerox transfer, and monotype. Places equal emphases on developing drawing skills and understanding design principles."
ARTS 1010,Introduction to Studio Art,"Presents creative activity conceptually, and art history thematically, with an interdisciplinary, experimental, and multicultural focus. Fine arts majors explore visual literacy and culture through presentations and student-centered projects that emphasize individual development."
ARTS 1012,Drawing for Non-Majors,Explores varied drawing techniques and media. Introduces concepts relevant to the understanding of drawing and the creative process. May not be repeated.
ARTS 1020,Introduction to Studio Art 2,"Presents creative activity conceptually and art history thematically, with an interdisciplinary, experimental, and multicultural focus. Art and art history majors explore visual literacy and culture through presentations and student-centered projects that emphasize individual development."
ARTS 1030,Principles of Color,"Introduces the relative effects of color as used by the artist. Emphasizes the practice of color relations including basic characteristics, mixtures, illusions, optical mixture, color intervals, and color quantity. May not be repeated."
ARTS 1171,Photography for Non-Majors,"An introduction to contemporary photographic practice. The course introduces photographic technique, history, and image evaluation while emphasizing visual literacy, conceptual development and personal expression. "
ARTS 1202,Basic Painting,"The aim of this course is to develop the basic skills, techniques and processes of painting with an understanding of basic colour principles. This integration of paint application and colour principle will develop awareness that painting and colour are used, not only as mediums for representation, but also as mediums for expressive purposes. Demonstrations, lectures, group and individual critiques will be given throughout the course."
ARTS 1212,Painting for Non-Majors,Explores varied painting techniques. Introduces concepts relevant to the understanding of painting and the creative process. May not be repeated.
ARTS 1514,Sculpture for Non-Majors,Offers an orientation involving three-dimensional form and application. Studies expressive and conceptual problems based on non-objective form relationships in various sculptural materials. May not be repeated.
ARTS 1875,Ceramics for Non-Majors,"Encompasses broad and fundamental uses of clay. Basic instruction and demonstration of throwing, hand building, and other clay forming methods. Investigates utility, function, and ceramics in the broader context of contemporary art. Slide presentations explore historical and contemporary attitudes involving ceramics."
ARTS 2004,Participatory Objects (Sculpture and Post-Studio Practice),"Looks at the tendency in contemporary sculpture to create interactive objects and experiences for the viewer. Students in this course are required to create hands-on projects, participate in group critiques and develop presentations and research projects. "
ARTS 2022,Beginning Drawing,Emphasizes proportion and perspective through observation based drawing. Students are introduced to various drawing materials and learn to translate what they see into drawing media using two basic subjects: still-life and the figure.
ARTS 2085,Ceramics 2: Handbuilding,"Introduces techniques of hand-built clay forms as they relate to function and nonfunction. Various clay techniques, glazing and firing procedures are explored. Emphasizes ceramics in the broader context of contemporary art. May not be repeated."
ARTS 2095,Ceramics 2: Wheelthrowing,Introduces techniques of wheel-thrown forms as they relate to function and nonfunction. Explores various glazing and firing methods. May not be repeated.
ARTS 2104,Colossal Objects (Sculpture and Post-Studio Practice),"Focuses on the conception, design and production of art works that are larger than human scale. Each object will be the result of individual and team design collaboration. Primarily focuses on sculpture constructed and engineered from metal although other materials are welcome. "
ARTS 2126,Digital Art 1,An introductory course in the use of the personal computer to create and process images in the visual arts.
ARTS 2171,Photography 1,"An introduction to contemporary photographic practice. The course introduces photographic technique, history, and image evaluation while emphasizing visual literacy, conceptual development and personal expression. "
ARTS 2191,Photography 2,Explores more sophisticated technical and conceptual skills to the creative process.
ARTS 2222,Beginning Painting,Emphasizes color and descriptive mark making through observation based painting. Students are introduced to various painting materials and learn to translate what they see into painting media using two basic subjects: still-life and the figure.
ARTS 2244,Drawing for Sculpture (Sculpture and Post-Studio Practice),"Explores and examines many relationships between sculpture and drawing. Projects will explore 2-D drawing and mixed media projects through the lens of sculptural practice. Scale, materials and styles will be researched along with topics such as the artists proposal, investigative processes, drawing and sculptural installations. "
ARTS 2284,Nothing Flat 1: Project a Week (Sculpture & Post-Studio Practice),"Provides students the opportunity to work with a range of sculptural materials through a series of quick projects (e.g. installation, objects, writing). Students will learn to generate ideas quickly, engage issues and formats particular to sculpture, and produce a wide range of work over 15 weeks."
ARTS 2303,Beginning Relief,"Emphasis on introductions to the concepts and techniques of relief processes, including white line, black line and four color reductive processes. Students will gain a working knowledge of fundamental relief processes, plus safe and appropriate use of all materials and equipment in the studio. "
ARTS 2384,Fleeting and Found 1: Ephemeral Sculpture 1,"Focuses on introductory level processes of creating sculpture projects which are ephemeral and temporary. Themes of process, lifespan, migration, tension, entropy, and degradation will be explored. This course will include lectures, readings and discussions, writing assignments, studio projects, and visual presentations."
ARTS 2403,Beginning Intaglio,"Emphasizes an introduction to techniques of intaglio and a focus on working with copper and ferric chloride. Historical approaches and use through contemporary materials/concepts. Emphasizes interrelationship of process, materials and ideas/aesthetics. "
ARTS 2413,Beginning Lithography,Exploration into stone lithography and aluminum plate is presented in this class. Individual direction and development of conceptual focus and studio techniques are important objectives in this class. Safer ways to make lithographs is highlighted and the toxic traditional methods are left behind. 
ARTS 2423,Beginning Screenprinting,"Exploration into screenprinting at the basic level, using stencil-making processes for screenprinting with acrylic-based screenprinting inks. Emphasis is placed on exploring and developing challenging concepts, mastering basic techniques and creating compositions and visual images that successfully convey your concept and challenge the viewer. Course is focused on the art of fine art printing on paper. "
ARTS 2433,Beginning Alternative Printmaking,Presents creative development of concepts in printmaking beyond the traditional two-dimensional image on paper that is contained in a portfolio or frame. Focus will be made on expanding the concept of what is a print will be explored in relation to each student's studio practice and interests. 
ARTS 2453,Beginning Monotype,Introduces the monoprint and monotype methods. Students will learn the about making non-editioned prints using a variety of four or more technical approaches. These processes will be discussed and demonstrated in depth. Students will develop a portfolio of finished prints during the semester. 
ARTS 2504,Basic Sculpture: Materials and Techniques,"Introduces the basic properties of metal, wood and mold making. Students will explore and demonstrate an understanding of basic fabrication methods involved in each element. Students will investigate both traditional and non-traditional working methods and will consider how materials and techniques inform sculptural concepts."
ARTS 2524,Visual Thinking (Sculpture and Post-Studio Practice),Explores ideas concerning the structure and nature of visual thinking and their relationship to the creative thought process. Investigates form in terms of the organizing principles of three-dimensional design and its application to contemporary sculpture. Includes lecture and studio projects. 
ARTS 3002,Drawing Alternative Process/Materials,Continuation of Drawing 2. Offers creative possibilities in drawing and related media. Emphasizes experimentation and individual expression. Content varies by semester according to instructor; contact individual instructor for more information. May be repeated once.
ARTS 3004,Land and Environmental Art (Sculpture and Post-Studio Practice),"Covers land and environmental art, providing an historical survey along with hands on projects in the landscape. Focusing on themes of site, environment, landforms, weather and earth materials, students will design and realize art projects on the land. Includes lectures, readings and discussions, writing assignments, studio projects and visual presentations. "
ARTS 3012,Figure Drawing,Explores varied drawing techniques and media. Introduces concepts relevant to the understanding of drawing and the creative process. May not be repeated. Formerly ARTS 2002. 
ARTS 3014,Art and Social Practice (Sculpture and Post-Studio Practice),"Covers social art practice, providing an historical survey along with hands on projects in social environments. Focusing on issues of public space, economic and cultural marginalization and political causes, this course provides students a forum for expressions of social reality. Includes lectures, readings and discussions, writing assignments, studio projects and visual presentations. "
ARTS 3017,Special Topics in Studio Arts,Introduces timely subjects in studio arts courses that cannot be offered on a regular basis. Information concerning the topics in any given semester is available prior to pre-registration from the department of Art and Art History. 
ARTS 3022,Intermediate Drawing,"In addition to being a continuation of Beginning Drawing, Intermediate Drawing will focus on a non-traditional approach to making images encouraging conceptual development, experimentation and research. Moving beyond observation based drawings multiple thematic possibilities will be explored. Emphasis will be placed equally on ideas and technical execution."
ARTS 3054,Sculpture: Modules and Multiples 2,"Exposes students to the practice of creating large works through smaller multiples and modules. By learning about the practices of artists such as Andy Warhol, Joseph Beuys, Rachel Whlteread and Robert Gober, along with many others, students will generate an understanding and appreciation for the module and multiple in contemporary art practice. Students will learn to cast using plaster and other type of molds, will be introduced to jigs as a way to streamline production of multiple objects and will work with found objects. Students will be required to complete 3 projects, participate in group critiques of projects, produce a slide presentation on a contemporary artist whose work/practice fits within the theme of the course and prepare a final portfolio. Studio work and demonstrations will be augmented by readings and discussions on contemporary art. "
ARTS 3085,Ceramics 3,Deals with further exploration of techniques approached in ARTH 2085 and ARTH 2095. Students are encouraged to develop personal concentration in relation to medium. 
ARTS 3097,Special Topics - Non-Studio,Introduces timely subjects in fine arts that cannot be offered on a regular basis. Information concerning the topics offered in any given semester is available prior to preregistration from the Department of Art and Art History. 
ARTS 3124,"Intervention, Exchange, and Duration (Sculpture & Post-Studio Practice)","Focuses on the production of works of art outside of the traditional studio, museum and gallery. Projects will be designed to interrupt, intervene, co-opt, provide a service, exist for a defined amount of time, or engage a site, community or situation. Includes lectures, readings and discussions, writing assignments, studio projects and visual presentations. "
ARTS 3184,Nothing Flat: Project a Week (Sculpture & Post-Studio Practice),"Provides students the opportunity to work with a range of sculptural materials through a series of quick projects (e.g. installation, objects, writing). Students will learn to generate ideas quickly, engage issues and formats particular to sculpture, and produce a wide range of work over 15 weeks. Formerly ARTS 2184."
ARTS 3191,Photography 3,Continues the exploration of the possibility of individual photographic expression. Students are encouraged to discover and develop a personal position in relation to the medium. 
ARTS 3196,Photo-Imaging,"Introduces techniques, software, and related concepts of digital photography as art. Emphasizes digital photography as a means to formal and expressive ends."
ARTS 3202,Painting Alternative Process/Materials,Continuation of Painting 2. Offers creative possibilities in painting and related media. Emphasizes experimentation and individual expression. Content varies by semester according to instructor; contact individual instructor for more information. 
