ASEN 1000,Introduction to Aerospace Engineering Sciences,"Introduces aerospace history, curriculum, ethics, and the many areas of emphasis within aerospace engineering. Academic and industry speakers are invited to address various aerospace topics."
ASEN 1022,Materials Science for Aerospace Engineers,"Covers prerequisite chemistry topics for materials science and introduces material types, properties and behavior for aerospace engineers. Topics include review of chemistry; atomic bonding; crystals; diffusion; mechanical/thermal properties; phase diagrams; heat treatment; failure mechanisms; materials selection; and a general introduction to modern materials for aerospace engineering applications including composites and materials with engineered properties. Lab project or tensile testing is included."
ASEN 1320,Aerospace Computing and Engineering Applications,Uses problems and tools from Engineering. Teaches techniques for writing computer programs in higher level programming languages to solve problems of interest in Engineering and other domains. Appropriate for students with little or no prior experience in programming.
ASEN 1400,Gateway to Space,"Introduces the basics of atmosphere and space sciences, space exploration, spacecraft design, rocketry and orbits. Students design, build, and launch a miniature satellite on a high altitude balloon. Explores the current research in space through lectures from industry. "
ASEN 1403,Introduction to Rocket Engineering,"Introduces students to the engineering profession through completion of a team-based project. Students design, build, and static test-fire a liquid-solid hybrid rocket motor. Topics explored include: pressure vessels, combustion, ideal fluid behavior, systems engineering, data acquisition, and model verification. Learned skills will include technical writing, teamwork, computer modelling and analysis tools, 3D printing and prototyping technologies. "
ASEN 1969,Pathway to Space,"Explore the many paths one can take to be a part of a space-related career in a unique, engaging and interactive course. Students will learn about the following topics: space science and exploration, human spaceflight and life sciences, aeronautics and near space, launch and spacecraft systems, climate and environment, space business, policy and politics, space arts, media, and history."
ASEN 2001,"Aerospace 1: Introduction to Statics, Structures, and Materials","Introduces models and analytical/numerical methods for statics and structural analysis. Topics include force/moment equilibrium, truss analysis, beam theory, stress/strain, failure criteria, and structural design. Matlab proficiency required."
ASEN 2002,Aerospace 2: Introduction to Thermodynamics and Aerodynamics,"Introduces the fundamental principles and concepts of thermodynamics and fluid dynamic systems. Emphasizes the synthesis of basic science (physics), mathematics and experimental methods that form the basis for quantitative and qualitative analyses of general aerospace technology systems. Proficiency in Matlab required."
ASEN 2003,Aerospace 3: Introduction to Dynamics and Systems,"Introduces the principles of particle and planar rigid body dynamics, systems, and controls. Topics include kinematics, kinetics, momentum and energy methods, system modeling, and simple feedback control. Class includes experimental and design laboratory exercises for aerospace applications of dynamic principles."
ASEN 2004,Aerospace 4: Aerospace Vehicle Design and Performance,"Introduction to design and analysis of aircraft and spacecraft. Aircraft topics include cruise performance, wing design, propulsion, stability, control, and structures. Spacecraft topics include rocket staging, orbit selection, launch systems, and spacecraft subsystems. Includes laboratory experiments and team design exercises."
ASEN 2012,Experimental and Computational Methods in Aerospace Engineering Sciences,"Introduces statistical, experimental, and computational methods used in aerospace engineering sciences. Usage of MatLab is extensive."
ASEN 2519,Special Topics,Studies specialized aspects of the aerospace engineering sciences or innovative treatment of required subject matter at the lower-division level. Course content is indicated in the online Schedule Planner. Department enforced prerequisites: varies.
ASEN 2849,Independent Study,Study of special projects agreed upon by student and instructor. Department consent required.
ASEN 3036,Introduction to Human Spaceflight,"Introduces students to the challenges of human space flight. Historical and current space programs and spacecraft are discussed with emphasis on those systems specific to sustaining human crews. Other topics include space environment with respect to sustaining human life and health, physiological and psychological concerns in a space habitat, astronaut selection and training, anomalies, mission operations motivation, costs rationale for human space exploration, and future program directions. Not accepted as a Professional Area Elective for ASEN majors. "
ASEN 3046,Introduction to Humans in Aviation,"Investigates the history of manned aviation accomplished through a review of the history of flight, the physiological and psychological limitations facing aviators, and investigates the human related causal factors in aviation accidents. The course also looks at the social and economic impacts of aviation in modern society. Not accepted as a Professional Area Elective for ASEN majors. "
ASEN 3111,Aerodynamics,"Develops the fundamental concepts of aerodynamics and provides a working knowledge for their application to the design of aircraft and launch vehicles operating at various speeds and altitudes, as well as the atmospheric forces on satellites."
ASEN 3112,Structures,"Teaches Mechanics of Materials methods of stress and deformation analysis applicable to the design and verification of aircraft and space structures. It offers an introduction to matrix and finite element methods for truss structures, and to mechanical vibrations."
ASEN 3113,Thermodynamics and Heat Transfer,"Focuses on the applications of the first and second laws of thermodynamics to control volumes and teaches the fundamental concepts of different modes of energy and heat transfer. Learn to use these concepts in gas dynamics, high-speed vehicle spacecraft design, environmental systems, and energy analysis."
ASEN 3128,Aircraft Dynamics,"Develops the fundamental concepts of aircraft dynamics. Covers flight mechanics, performance, dynamics and control of aircraft and how they impact aircraft design."
ASEN 3200,Orbital Mechanics/Attitude Dynamics and Control,"Presents the fundamentals of orbital mechanics, 3D rigid body dynamics and satellite attitude dynamics and controls."
ASEN 3300,Aerospace Electronics and Communications,"Provides the fundamentals of electronics and communications widely used in aerospace engineering. Includes analog instrumentation electronics, data acquisition, digital electronics and radio communication."
ASEN 3519,Special Topics,Studies specialized aspects of the aerospace engineering sciences or innovative treatment of required subject matter at the upper-division level. Course content is indicated in the online Schedule Planner. Department enforced prerequisite: varies.
ASEN 3930,Aerospace Engineering Cooperative Education,"Students will participate in a previously arranged, department-sponsored cooperative education program with a government agency or industry. 0."
