ASTR 1000,The Solar System,"Introduction to the night sky, planets, moons and the life in our solar system. Highlights the latest discoveries from space. For non-science majors. Some lectures may be held at Fiske Planetarium. Offers opportunities for nighttime observations at Sommers-Bausch Observatory. "
ASTR 1010,Introductory Astronomy 1,"Introduction to the night sky, planets, moons and the life in our solar system. Highlights the latest discoveries from space. For non-science majors. Some lectures may be held at Fiske Planetarium. Requires nighttime observations at Sommers-Bausch Observatory. Degree credit granted for only one of ASTR 1000 or ASTR 1010."
ASTR 1020,Introductory Astronomy 2,"Non-science majors learn the nature and workings of the Sun, stars, neutron stars, black holes, galaxies, quasars, structure and origins of the universe. Some lectures may be held at Fiske Planetarium. Offers opportunities for nighttime observations at Sommers-Bausch Observatory. Includes recitation. Sequence link ASTR 1010. Credit granted for only one of ASTR 1020, ASTR 1200, and ASTR 1040."
ASTR 1030,Accelerated Introductory Astronomy 1,"Covers principles of modern astronomy summarizing our present knowledge about the Earth, Sun, moon, planets and origin of life. Requires nighttime observation sessions at Sommers-Bausch Observatory. Required in ASTR major/minor. Like ASTR 1000 and 1010, but taught at a higher intellectual level, including a significant amount of quantitative analysis. "
ASTR 1040,Accelerated Introductory Astronomy 2,"Covers principles of modern astronomy summarizing our present knowledge about the Sun, stars, birth and death of stars, neutron stars, black holes, galaxies, quasars, and the organization and origins of the universe. May require nighttime observing sessions at Sommers-Bausch Observatory. Required in ASTR major/minor. Includes a recitation. Taught at a higher intellectual level including a significant amount of quantitative analysis. "
ASTR 1200,Stars and Galaxies,"Non-science majors are introduced to the nature and workings of the Sun, stars, neutron stars, black holes, interstellar gas, galaxies, quasars, plus structure and origins of the universe. Some lectures may be held at Fiske Planetarium. Offers opportunities to attend nighttime observation sessions at Sommers-Bausch Observatory. "
ASTR 2000,Ancient Astronomies of the World,"Documents the numerous ways in which observational astronomy and cosmology have been features of ancient cultures. Includes naked eye astronomy, archaeoastronomy, ethnoastronomy, concepts of time, calendrics, cosmogony, and cosmology."
ASTR 2010,Modern Cosmology-Origin and Structure of the Universe,"Introduces modern cosmology to nonscience majors. Covers the Big Bang; the age, size, and structure of the universe; and the origin of the elements and of stars, galaxies, the solar system, and life."
ASTR 2020,Space Astronomy and Exploration,"Covers physical principles of performing astronomy from space for science and exploration. The basic design of launch vehicles and spacecraft, orbital dynamics, and instruments will be described in the context of specific space missions (e.g. Hubble Telescope, Mars rovers) as well as prospects for future space observatories in orbit and on the Moon."
ASTR 2030,Black Holes,"Black holes are one of the most bizarre phenomena of nature. Students are introduced to the predicted properties of black holes, astronomical evidence for their existence and formation, and modern ideas about space, time, and gravity."
ASTR 2040,The Search for Life in the Universe,"Introduces the scientific basis for the possible existence of life elsewhere in the universe. Includes origin and evolution of life on Earth and the search for evidence of life in our solar system, including Mars and Jupiter's moon Europa. Discusses the conditions necessary for life and whether they might arise on planets around other stars. Credit only for this course or ASTR 3300. "
ASTR 2050,The Sun and Society: Living with an Active Star,"Introduces non-science majors to the many ways out Sun influences life and society. Covers how the Sun generates energy, how it evolves over billions of years, how it affects Earth's climate and biology, how it produces dangerous space weather, how we can harness its power and how life in other solar systems would depend on the properties of their Suns."
ASTR 2100,Fundamental Concepts in Astrophysics,"Covers topics in modern physics required for upper-level astrophysics and planetary science courses, including quantum mechanics, electromagnetic spectra, atomic and nuclear physics, and thermodynamics, in the context of astrophysics, planetary and space sciences. Also introduces key topics in mathematics to support these topics."
ASTR 2500,Gateway to Space,"Introduces the basics of atmosphere and space sciences, space exploration, spacecraft design, rocketry and orbits. Students design, build, and launch a miniature satellite on a high altitude balloon. Explores the current research in space through lectures from industry. "
ASTR 2600,Introduction to Scientific Programming,"Introduces principles, methods and tools of scientific programming commonly used in research. Topics include an introduction to programming in Python, data structures, numerical methods for calculus and data manipulation/visualization. Techniques covered are relevant to many technical fields but emphasis is placed on application to problems in astronomy and planetary science. Class time is split between lectures and in-lab tutorials."
ASTR 2840,Independent Study, Instructor consent required.
ASTR 3300,Extraterrestrial Life,"Discusses the scientific basis for the possible existence of extraterrestrial life. Includes origin and evolution of life on Earth; possibility of life elsewhere in the solar system, including Mars; and the possibility of life on planets around other stars. Department enforced prerequisite: one-year sequence in a natural science. Credit only for this course or ASTR 2040. "
ASTR 3400,Research Methods in Astronomy,"Introduces research methods in astronomy and engages students in an active research project. The research projects will vary and may include astronomical observations, data analysis, scientific programming, theoretical models and statistical inference. As part of their research, students will read scientific papers, attend local seminars and prepare oral and written research proposals and reports. Elective for ASTR majors."
ASTR 3510,Observations and Instrumentation 1,"Lab course in astronomical observation and instrumentation. Hands-on exercises include obtaining and analyzing multi-wavelength data, basic optical design and instrumentation and statistical analysis of data, with emphasis on imaging applications. A significant number of night time observation sessions are required. Elective for APS majors. Elective for APS minors on space available basis."
ASTR 3520,Observations and Instrumentation 2,"Lab course in observation and instrumentation. Hands-on exercises include obtaining and analyzing multi-wavelength data, optical design and instrumentation, and statistical analysis, with emphasis on spectroscopy. A significant number of night time observation sessions are required. Elective for APS majors. Elective for APS minors on space available basis."
ASTR 3560,Astronomical Instrumentation Laboratory,"Teaches students aspects of astronomical instrument design in a hands-on setting. Students will learn elementary principles of geometrical optics, diffraction, light detection, signal conditioning, data acquisition and motion control, and mechanical design. Students will apply these principles working in groups to design and build optical spectrometers."
ASTR 3710,Formation & Dynamics of Planetary Systems,"Covers the origin of planetary systems and their dynamical evolution. Topics include the physics and chemistry of planetary formation, orbital mechanics and extrasolar planets. This course and ASTR 3720 and ASTR 3750 may be taken in any order. Elective for APS major and minor."
