ATLS 1100,Design Foundations,"Introduces foundational principles, practices and methods of design. Emphasizes design as an expressive and creative problem solving tool. This course engages with design from a broad perspective including visual, computational, physical and auditory design practices. Through lectures, discussions and creative projects, students will gain a familiarity with the diverse applications of creative technology through design."
ATLS 1300,Computational Foundations 1,"Instructs non-computer science students in analyzing problems and synthesizing programs for the solution,emphasizing good engineering practices for program construction, documentation, testing, and debugging. Uses Java for programming projects. Formerly ATLS 2010."
ATLS 1710,Tools and Methods for Engineering Computing,"Designed for students with little or no programming background. Students learn procedural and object-oriented programming through development of games, simulations, and animations using Flash/Actionscript, VB/Excel, Java, MATLAB, and real-world applications. Activities are oriented toward smaller projects that address topics in beginning science, engineering, and mathematics courses. Students gain practical, applicable skills."
ATLS 2000,The Meaning of Information Technology,"Surveys the history of information technologies and modern techniques of information production, storage, transmission, and retrieval. Emphasizes understanding not only the technological transformations in interpersonal, organizational, and mass communication, but also the technological, social and political changes that underlie the movement toward a digital society. "
ATLS 2001,Design Technologies: Toolkit,"Introduces students to the fundamentals of creative design through digital media production. Throughout the semester, students explore a number of disciplines related to digital media including imaging, web development, animation, video production, and more. Class sessions are in lecture format and are aimed at helping students attain a strong conceptual and technical understanding of creative design."
ATLS 2002,Design Technologies: Process,"Introduces foundational principles, practices and methods relating to the process of creative design. Emphasis on the pre-production process as a creative problem-solving tool in order to produce innovative and interesting creative work. Through lectures, discussion and creative projects, students will gain a familiarity with diverse applications and practices related to creative technology and design"
ATLS 2036,Introduction to Media Studies in the Humanities,"Serves as an introduction to media studies specifically from a humanities perspective. Studies both histories and theories of media from the 20th and 21st centuries. Touches on methodologies for undertaking media studies (including distant ready and media archaeology). Objects of study may include such topics as film, radio, social media platforms and games, as well as digital art and literature. "
ATLS 2100,Image,"Introduces techniques, technologies and concepts of digital image making and manipulation through lectures, projects and critiques. Focuses on digital photography, digital animation and digital video as a means to formal and expressive ends. This course also contextualizes practices and methodologies of digital imaging with historical and critical perspectives."
ATLS 2200,Web,"Introduces techniques, technologies and concepts of web design and development through lectures, projects and critiques. Focuses technically on HTML, CSS and JavaScript as the primary web technologies. Contextualizes the technical and societal implications of the Internet through historical and critical perspectives."
ATLS 2300,Text,"Introduces technologies, terminology and histories related to the design of text within digital and analogue media. Students will learn the fundamentals of design, typography and layout through lectures, projects and critiques. The curriculum surveys significant theoretical perspectives, historical periods and significant practitioners that influence the practice of typographic design."
ATLS 2519,Special Topics in Creative Technology and Design,"Analyzes special interest areas of multidisciplinary technology, arts and media research and practice. "
ATLS 3100,Form,"Teaches the fundamentals of 3D modeling, 3D animation and 3D printing / rapid prototyping from a conceptual and sculptural perspective. Through topical lectures, technical demonstrations and creative projects the course will introduce students to the potentials of thinking and working within 3-dimensional spaces."
ATLS 3110,Motion,"An animation-based projects course that advances student understanding of motion design in today's culture. Through active production and critical analysis, students will create new media projects and critically examine the history, social implications, and impacts of these forms of mass media."
ATLS 3173,Creative Climate Communication,"We generate multimodal compositions on the subject of climate change and engage with various dimensions of issues associated with sustainability. We work to deepen our understanding of how issues associated with climate change are or can be communicated, by analyzing previously created expressions from a variety of media (interactive theatre, film, fine art, television programming, blogs, performance art, for example) and then be creating our own work. "
ATLS 3200,Sound,"Introduces techniques, technologies and concepts of digital sound through lectures, projects and critiques. Focuses technically on digital sound creation, production, synthesis and interactivity. Explores various approaches to digital sound production through historical and conceptual perspectives."
ATLS 3300,Object,"Introduces the fundamentals of physical computing. This class is an exploration of computing that starts from the perspective that humans are fundamentally physical beings. Students will design projects that interact with humans and the physical world and will learn to integrate sensors, motors, and simple electronics into creative projects. Projects will include interactive installations, art projects, games, and audio controllers."
