ATOC 1050,Weather and the Atmosphere,"Introduces principles of modern meteorology for nonscience majors, with emphasis on scientific and human issues associated with severe weather events. Includes description, methods of prediction, and impacts of blizzards, hurricanes, thunderstorms, tornadoes, lightning, floods, and firestorms."
ATOC 1060,"Our Changing Environment: El Nino, Ozone, and Climate","Discusses the Earth's climate for nonscience majors, focusing on the role of the atmosphere, oceans, cryosphere and land surface. Describes the water cycle, atmospheric circulations and ocean currents, and how they influence global climate, El Nino and the ozone hole. Discusses human impacts from climate change. "
ATOC 1070,Weather and the Atmosphere Laboratory,"Illustrates fundamentals of meteorology with laboratory experiments. Covers collection, analysis and discussion of data related to local weather. Uses computers for retrieval and interpretation of weather data from Colorado and across the U.S. Optional lab for ATOC 1050. "
ATOC 2050,Introduction to Atmospheric Research,"Uses real world data to investigate the basic physical processes that drive the coupled atmosphere-ocean system (e.g., energy distribution, phase changes, stability, winds and currents). Students will apply logic to predict how processes are impacted as different environmental characteristics change and develop skills in graphical literacy, investigative thinking, societal and personal relevancy, and communication."
ATOC 2500,Special Topics in Atmospheric and Oceanic Sciences - Lower Division,"Acquaints students at the lower division level with current research in atmospheres, oceans and climate (Topics may vary each semester). Students may register for more than one section of this course in the same semester. Recommended restriction: students with 0-56 credits (Freshmen or Sophomores)."
ATOC 3050,Principles of Weather,"Explores the processes that influence middle latitude weather including atmospheric thermodynamics, cloud and precipitation processes, atmospheric dynamics, air masses and fronts, and mid-latitude cyclones. Recitations and homework assignments will allow students to apply these concepts to real weather data through analysis of weather maps, thermodynamics diagrams and conceptual models. "
ATOC 3070,Introduction to Oceanography,"Explores Earth's dynamic oceans. Discusses the disciplines of oceanography including marine geology, chemistry, biology and physical oceanography with emphasis on global change. Specific topics may include: tectonics, currents, biogeochemical cycles, ecology and global warming. "
ATOC 3180,Aviation Meteorology,"Familiarizes students with a wide range of atmospheric behavior pertinent to air travel: rudiments of aerodynamics; aircraft stability and control; atmospheric circulation, vertical motion, turbulence and wind shear; fronts, clouds and storms. "
ATOC 3300,Analysis of Climate and Weather Observations,"Discusses instruments, techniques and statistical methods used in atmospheric observations. Covers issues of data accuracy and analysis of weather maps. Provides application to temperature and precipitation records, weather forecasting and climate change trends. Uses computers to access data sets and process data. "
ATOC 3500,Air Chemistry and Pollution,"Examines the composition of the atmosphere and sources of gaseous and particulate pollutants: their chemistry, transport and removal from the atmosphere. Applies general principles to acid rain, smog and stratospheric ozone depletion. "
ATOC 3600,Principles of Climate,"Describes the basic components of the climate system: the atmosphere, ocean, cryosphere and lithosphere. Investigates the basic physical processes that determine climate and link the components of the climate system. Covers the hydrological cycle and its role in climate, climate stability and global change. "
