CHEM 1011,Environmental Chemistry 1,"Introduces basic principles of chemistry with applications to current environmental issues including toxic chemicals, air and water pollution, energy sources and their environmental impact, and climate change resulting from the greenhouse effect. No credit given to chemistry or biochemistry majors for this course if students already have credit in any college-level chemistry course numbered 1113/1114 or higher."
CHEM 1021,Introductory Chemistry,For students with no high school chemistry or a very weak chemistry background. Remedies a deficiency in natural science MAPS requirements and prepares students for CHEM 1113 and CHEM 1114 or CHEM 1400 and CHEM 1401. No credit given to chemistry or biochemistry majors for this course if students already have credit in any college-level chemistry course numbered 1113/1114 or higher. Department enforced prerequisite: one year high school algebra or concurrent enrollment in MATH 1011.
CHEM 1031,Environmental Chemistry 2,"Applications of chemical principles to current environmental issues including acid rain, stratospheric ozone depletion, the Antarctic ozone hole, solar energy conversion and fuel cells, and the environmental consequences of nuclear war. Laboratory experience is included. No credit given to chemistry or biochemistry majors this course if students already have credit in any college-level chemistry course numbered 1113/1114 or higher."
CHEM 1113,General Chemistry 1,"Intended for first-semester students whose academic plans require advanced work in chemistry. Subjects: components of matter, stolchiometry, classes of reactions, gases, thermochemistry, atomic structure, electron configuration, chemical bonding, molecular shapes, covalent bonding, organic compounds, intermolecular forces, equilibrium. Department enforced prerequsites: one year high school chemistry or CHEM 1021 (min grade C-); high school math through pre-calculus. Not recommended for students with grades below B- in CHEM 1021. Department enforced corequsite: CHEM 1114. Not open to engineering students with exception of EPEN majors. "
CHEM 1114,Laboratory in General Chemistry 1,Lab. Intended for first-semester students whose academic plans require advanced work in chemistry. Instruction in experimental techniques which coordinate with lecture topics in CHEM 1113. Department enforced prerequisites: one year high school chemistry or CHEM 1021 (min grade C-); high school math through pre-calculus. Not recommended for students with grades below B- in CHEM 1021. Department enforced corequisites: CHEM 1113. Not open to engineering students with exception of EPEN majors. 
CHEM 1133,General Chemistry 2,"Intended for second-semester students whose academic plans require advanced work in chemistry. Subjects: acid-base equilibria, buffers and titrations, thermodynamics, redox reactions, electrochemistry, transition elements and their coordination compounds, solubility/solubility equilibria, crystal field theory, kinetics, nuclear chemistry. Department enforced corequisite: CHEM 1134. "
CHEM 1134,Laboratory in General Chemistry 2,Intended for second-semester students whose academic plans require advanced work in chemistry. Instruction in experimental techniques which coordinate with lecture topics in CHEM 1133. Department enforced corequisite: CHEM 1133. 
CHEM 1221,Engineering General Chemistry Lab,Meets general chemistry laboratory requirement for engineering students. Designed to illustrate chemical concepts and introduce basic techniques in chemical measurement and synthesis. Department enforced prerequisites: one year of high school chemistry or CHEM 1021 (min. grade C-) and high school algebra; B- in CHEM 1021 recommended. 
CHEM 1400,Foundations of Chemistry,"Covers core concepts in chemistry: nature of matter (atomic and molecular structure, bonding and macroscopic properties), transformations of matter (chemical reactivity), and quantifying chemical transformations (thermochemistry, thermodynamics and kinetics). Emphasizes critical thinking and cultivate core problem solving skills utilized by scientists. Intended for first semester CHEM/BCHM majors. Department enforced prerequisites: one year high school chemistry or CHEM 1021 (minimum grad C-) and high school math through pre-calculus. Not recommended for students with grades below B- in CHEM 1021. Department enforced corequisite: CHEM 1401. "
CHEM 1401,Foundations of Chemistry Lab,"Coordinates with lecture topics in CHEM 1400. Intended for first-semester CHEM and BCHM majors. Emphasizes the development of hands-on practical laboratory skills, experimental design, data interpretation, problem solving and open inquiry. Department enforced prerequisites: one year high school chemistry or CHEM 1021 (minimum grad C-) and high school math through pre-calculus. Not recommended for students with grades below B- in CHEM 1021. Department enforced corequsite: CHEM 1400. "
