CHEN 1201,General Chemistry for Engineers 1,"Designed to meet the general chemistry requirement for some engineering students and serve as part one for students whose academic plans require advanced work in chemistry. Topics include components of matter, stoichiometry, electron configuration, chemical bonding, molecular shapes, covalent bonding, classes of reactions, thermochemistry, gases, atomic structure, organic compounds, intermolecular forces, and phase equilibria. Examples and problems illustrate the application of chemistry to engineering sub-disciplines. Department enforced prerequisites: High school Algebra, one year of high school Chemistry or CHEM 1021 (minimum grade C-). "
CHEN 1203,General Chemistry for Engineers 2,"Designed for students whose academic plans require advanced work in chemistry. Topics include kinetics, solubility/solubility equilibria, acid-bases, buffers and titrations, thermodynamics, and electrochemistry. Examples and problems illustrate the application of chemistry to engineering sub-disciplines. "
CHEN 1211,Accelerated Chemistry for Engineers,"One-semester lecture and recitation course designed for engineering students with more advanced chemistry backgrounds. Topics include stoichiometry; thermodynamics; gases, liquids, and solids; equilibrium; acids and bases; bonding concepts; kinetics; reactions; and materials science. Examples and problems illustrate the application of chemistry to engineering sub-disciplines. Department enforced prerequisite: 3, 4 or 5 on the AP Chemistry exam or equivalent IB scores or passing placement exam score. Duplicate Degree Credit Not Granted: CHEM 1113 or CHEM 1400 or CHEN 1201 or CHEN 1203 or MCEN 1024."
CHEN 1300,Introduction to Chemical Engineering,"Meets for one lecture per week. Introduces chemical engineering emphasizing history of the profession, curriculum, chemical industry, and industrial chemistry. Includes industry visits, oral presentations, faculty and professional meetings,and development of a goals statement."
CHEN 1310,Introduction to Engineering Computing,"Introduces the use of computers in engineering problem solving, including elementary numerical methods. Teaches programming fundamentals, including data and algorithm structure, and modular programming. Software vehicles include Excel/Vba and Matlab. Formerly GEEN 1300 and COEN 1300."
CHEN 1400,"Drugs, Driving and Dynamic Processes","Project-based course that applies the principles of chemistry, biology, mechanics and electronics to the production and application of sustainable commodities (fuels, drugs, chemicals, and energy). Examples include student-developed green vehicles, sustainable nutraceuticals, or renewable electrical generation."
CHEN 2120,Chemical Engineering Material and Energy Balances,Provides a basic understanding of chemical engineering calculations involving material and energy balances around simple chemical processes.
CHEN 2810,Biology for Engineers,"Develops a basic understanding of the science of biology, including an introduction to the disciplines of biochemistry, cell organization, metabolism, genetics, genomics, molecular biology, recombinant DNA technology and evolution. Provides a basic introduction to several key techniques used in biological engineering laboratories. Uses examples of complex and creative structures engineered by natural processes."
CHEN 2840,Independent Study,Available to sophomores with approval of Department of Chemical Engineering. Subject arranged to fit needs of student.
CHEN 3010,Applied Data Analysis,"Teaches students to analyze and interpret data. Topics include engineering measurements, graphical presentation and numerical treatment of data, statistical inference, and regression analysis."
