CHIN 1010,Beginning Chinese 1,"Introduces modern Chinese (Mandarin), developing all four skills (speaking, listening, reading and writing) and communicative strategies. Students learn both traditional full-form characters and the principles for converting them into simplified characters."
CHIN 1012,Introduction to Chinese Civilization,"An interdisciplinary introduction from ancient to modern times. Arts, literature, politics, social relations, religion, and material culture are studied in terms of significant themes and ideas pertaining to the civilization of China. Taught in English."
CHIN 1020,Beginning Chinese 2,Continuation of CHIN 1010.
CHIN 1051,Masterpieces of Chinese Literature in Translation,"Surveys Chinese thought and culture through close reading and discussion of selected masterworks of Chinese literature in translation. Texts include significant works of poetry, fiction, and drama, as well as philosophical and historical writings from various eras. Taught in English."
CHIN 2110,Intermediate Chinese 1,"Emphasizes reading, speaking, and writing modern Chinese, including continued study of both full-form and simplified characters. Introduces dictionaries and principles of character formation."
CHIN 2120,Intermediate Chinese 2,Continuation of CHIN 2110.
CHIN 2441,Film and the Dynamics of Chinese Culture,"Through studying a group of Chinese films in light of modern Chinese history and literature, students examine a series of cultural dilemmas and issues in 20th century China and develop skills in analyzing literary and filmic texts. Taught in English."
CHIN 3110,Advanced Chinese 1,"Surveys a variety of authentic-language materials, including films, plays, newspaper articles, essays, and short stories. Emphasizes proficiency-oriented approach to reading, writing, and oral communication."
CHIN 3120,Advanced Chinese 2,Continuation of CHIN 3110.
CHIN 3200,Adv Wrtg Topics on Chinese & Japanese Literature and Civilization,"Provides an introduction to the academic study of Chinese and Japanese literature and culture with a focus on writing skills in English through a survey of standard academic writing conventions. Review and assessment of selected textual materials, class presentation, critique, and revision. Recommended for majors. Taught in English. "
CHIN 3311,The Dao and the World in Medieval China,"An interdisciplinary examination of the role of Daoist and Buddhist philosophical and religious concepts and images in medieval Chinese civilization, including literature and the arts. Focuses on the personal aspects of this period of religious and intellectual ferment, tracing the representation of these ideas in Chinese poetry, prose, painting and the plastic arts as well as their role in philosophical and religious speculation. Taught in English. "
CHIN 3321,Political Thought in Ancient China,"Focuses on the political, religious, philosophical and literary aspects of ancient Chinese civilization (1500 B.C.-A.D. 200). Special attention is paid to foundational works that influenced later developments in Chinese culture. All readings are in English and taught in English. "
