CMDP 1400,Introduction to Contemporary Media Cultures,"Prepares students for critical practices in contemporary media cultures in a global context. Explores the diversity of media practices, including narrative and non-narrative forms, emphasizing aesthetics and visual studies. In lectures and recitations students will explore video, sound, the internet and other multi-media platforms of expression."
CMDP 2010,"Information, Media and Technology","Surveys the history of information technologies and modern techniques of information production, storage, transmission and retrieval. Equips students with an understanding of technological transformations in interpersonal, organizational and mass communication. Emphasis is on the technological, social and political changes that underlie the movement toward a digital society."
CMDP 2100,Approaches to Historical Media Practices,"Investigate historical and cultural discourses in the formation of media practices. Examines practices such as performance media; cinematic media, media art, and their aesthetic alignment to cognate movements throughout history."
CMDP 2500,Introduction to Media Practices,"Working in design groups, students will explore the expressive potential of media through the production of short projects, discussions, readings, formal analysis, and critique. Provide a basic introduction to media practices as an extension of visual thinking and through approaches to storytelling, and hybrid media forms."
CMDP 2510,Critical Media Practices Workshop I,Training in narrow topics of media practices.
CMDP 2820,Exploring Culture and Gender Through Film,"Explores the concepts of culture and gender from an anthropological perspective through media. By experiencing texts, images and sounds about other ways of life, students will learn the basic concepts of cultural anthropology and learn to think critically about documentary and ethnographic media material."
CMDP 2860,Performance Audio Recording,"Provides an overview of the recording process from the performer's perspective from soundcheck through final mastering, addressing contemporary issues in technology, web, and performance media. Uses recorded material from in-class sessions. "
CMDP 2870,Recording Design,"Provides hands-on instruction in various sound recording techniques. Addresses acoustics, sound reinforcement, studio maintenance and troubleshooting. Taught through labs and individual recording projects. "
CMDP 3110,Electronic Arts Survey,"Explores the development of electronic media art through screenings, readings, lectures and discussions."
CMDP 3150,Sonic Histories,"Introduces students to the history and theory of sound, through aesthetic, conceptual, and technological, developments. This course explores the physicality of sound, what sound can do inside and outside the artistic sphere, investigate sounding and listening as cultural and social acts, and study major developments in radio, electronic music, sound art, science and technology studies, and sound studies."
CMDP 3210,Interactive Digital Cultures,"Examines how the uses of interactive media have changed the classical dynamics of human communication, allowing multidirectional, non-linear and multimedia practices. In this course, students will study the various aesthetic, narrative, emotional and cultural elements of the interface in areas such as non-linear video, the web, games and hypermedia."
