CVEN 1027,Civil Engineering Drawing,Develops drawing and drafting skills for civil engineering projects in both hand drawing and software tools. Students will learn to read and interpret design and construction drawings.
CVEN 1317,Introduction to Civil and Environmental Engineering,"Surveys the broad subject of civil and environmental engineering and professional practice. Includes the subdisciplines of structures, water resources, geotechnics, transportation, environment, and construction. Discusses professional ethics, important skills for engineers, and the engineering design process as it fulfills multiple objectives."
CVEN 1837,Special Topics,Supervised study of special topics of interest to student under instructor guidance.
CVEN 2012,Introduction to Geomatics,"Presents basic techniques of land and construction surveying, including measurement of position, elevation, orientation and length of lines, area, volume and layout calculations. Optical, GPS and GIS equipment and methods are included."
CVEN 2121,Analytical Mechanics 1,Applies mechanics to the study of static equilibrium of rigid and elastic bodies. Includes composition/resolution of forces; moments/couples; equivalent force systems; free-body diagrams; equilibrium of particles and rigid bodies; forces in trusses/beams; frictional forces; first/second moments of area; moments and products of inertia. 
CVEN 2837,Special Topics,Supervised study of special topics of interest to student under instructor guidance.
CVEN 3022,Construction Surveying,"Studies construction and highway surveying, horizontal and vertical curves, earthwork, and analysis of data."
CVEN 3032,Photogrammetry,"Familiarizes students with characteristics of aerial photographs. Measures and interprets aerial photos for planimetric, topographic, hydrological, soil, and land use surveys. Analyzes and presents field measurements over extensive reaches."
CVEN 3111,Analytical Mechanics 2,"Studies the motion (kinematics) of particles and rigid bodies, and the forces that cause the motion (kinetics). Newton's laws as well as energy methods are used to study the motion of particles and rigid bodies in two and three dimensions. "
CVEN 3141,Engineering Materials Lab,
CVEN 3161,Mechanics of Materials 1,"Addresses concepts of stress and strain; material properties, axial loading, torsion, simple bending, and transverse shear; analysis of stress and strain; and deflections of beams. Includes selected experimental and computational laboratories. "
CVEN 3227,"Probability, Statistics and Decision","Introduces uncertainty based analysis concepts and applications in the planning and design of civil engineering systems emphasizing probabilistic, statistics, and design concepts and methods."
CVEN 3246,Introduction to Construction,"Provides a broad view of concerns, activities, and objectives of people involved in construction: the owner, architect/engineer, contractor, labor and inspector. Interactive gaming situation relates these people to the construction contract, plans/specifications, estimates/bids, scheduling, law and financial management. Students with a Business School Real Estate emphasis may be considered for this course."
CVEN 3256,Construction Equipment and Methods,"Integrated study of construction equipment, methods, and economics. Topics include equipment productivity, equipment selection, and construction engineering design within economic constraints. Examples include earthmoving, concrete formwork, and temporary construction."
CVEN 3313,Theoretical Fluid Mechanics,"Basic principles of fluid mechanic. Covers fluid properties, hydrostatics, fluid flow concepts, including continuity, energy, momentum, dimensional analysis and similitude and flow in closed conduits. "
CVEN 3323,Hydraulic Engineering,"Studies hydraulic engineering theory and applications. Topics include incompressible flow in conduits, pipe system analysis and design, open channel flow, flow measurement, analysis and design of hydraulic machinery."
CVEN 3414,Fundamentals of Environmental Engineering,"Emphasizes chemical, ecological and hydrological fundamentals and importance of mass and energy balances in solving environmental engineering problems related to water quality, water and wastewater treatment, air pollution, solid and hazardous waste management, sustainability and risk assessment."
CVEN 3424,Water and Wastewater Treatment,"Introduces design and operation of facilities for treatment of municipal water supplies and wastewater. Provides an engineering application of physical, chemical, and biological unit processes and operations for removal of impurities and pollutants. Involves an integrated design of whole treatment systems combining process elements."
CVEN 3434,Introduction to Applied Ecology,"Emphasizes the integration of physical, chemical and biological processes in controlling terrestrial and aquatic ecosystems. Ecosystem concepts are applied to current environmental and water quality problems. Includes field trips and a group project. "
CVEN 3525,Structural Analysis,"Studies structural analysis of statically determinate and indeterminate systems, deflections, energy methods, and force and stiffness methods."
CVEN 3602,Transportation Systems,"Introduces the principles of transportation systems with a focus on highway engineering and traffic analysis. Provides the basic skill set that will allow students to solve transportation problems related with highway design and traffic control and analysis. Provides an introduction to technology, operating characteristics, and relative merits of highway, airway, waterway, railroad, pipeline, and convey or transportation systems."
CVEN 3698,Engineering Geology,"Highlights the role of geology in engineering minerals; rocks; surficial deposits; rocks and soils as engineering materials; distribution of rocks at and below the surface; hydrologic influences; geologic exploration of engineering sites; geologic hazards; mapping; and geology of underground excavations, slopes, reservoirs and dam sites."
CVEN 3708,Geotechnical Engineering 1,"Covers basic engineering characteristics of geological materials; soil and rock classifications; site investigation; physical, mechanical, and hydraulic properties of geologic materials; the effective stress principle; soil and rock improvement; seepage analysis; stress distribution; and consolidation and settlement analyses. Selected experimental and computational laboratories."
CVEN 3718,Geotechnical Engineering 2,"Covers stress analysis and plastic equilibrium, sheer strength of soil, bearing capacity, lateral earth pressures, slope stability and underground construction. Analysis and design of shallow and deep foundations, retaining walls and other earth and rock structures. Selected experimental and computational laboratories."
CVEN 3837,Special Topics,Supervised study of special topics of interest to student under instructor guidance.
CVEN 4147,Civil Engineering Systems,Theory and application of the principles of engineering economics and classical and metaheuristic optimization techniques for evaluating problems in civil and environmental engineering. 
CVEN 4157,A Systems Approach to Global Engineering,"Introduces engineering students to the global context in which engineers are asked to operate in the 21st century using system dynamics tools and other decision-making tools (network analysis, agent based modeling, etc.) necessary to analyze the uncertainty and complexity inherent in global projects. "
CVEN 4161,Mechanics of Materials 2,"Covers advanced topics in the mechanics of solids. Some topics such as asymmetric bending of beams, torsion of non-circular cross-sections, are extensions of topics seen in CVEN 3161. Others like 3-D stress and strain analysis, failure theories and stability of columns and frames are new. Includes selected laboratory experiments. "
CVEN 4323,Water Resources Engineering Design,"Studies principles and techniques of water resources engineering design. Introduces environmental modeling under uncertainty, stormwater design, precipitation estimation and flow routing. Surveys hydropower, reservoir management and water resources economics. "
CVEN 4333,Engineering Hydrology,"Studies engineering applications of principles of hydrology, including hydrologic cycle, rainfall and runoff, groundwater, storm frequency and duration studies, stream hydrography, flood frequency, and flood routing."
CVEN 4353,Groundwater Engineering,"Studies the occurrence, movement, extraction for use,and quantity and quality aspects of groundwater. Introduces and uses basic concepts to solve engineering and geohydrologic problems."
CVEN 4383,Applied Groundwater Modeling,Studies analytical and numerical methods for solving problems of groundwater flow and chemical transport. Emphasizes fundamental modeling techniques and the relationship between the physical system and the model results. Applies models and modeling techniques to solve problems in ground water hydrology using contemporary software. 
CVEN 4404,Water Chemistry,"Introduces chemical fundamentals of inorganic aqueous compounds and contaminants in lecture and laboratory. Lecture topics include thermodynamics and kinetics of acids and base reactions, carbonate chemistry, air-water exchange, precipitation, dissolution, complexation, oxidation-reduction and sorption. "
CVEN 4414,Water Chemistry Laboratory,"Reinforces chemical fundamentals of inorganic aqueous compounds and contaminants from CVEN/EVEN 4404 in laboratory experiments and reports. Topics include acids and bases, carbonate chemistry (alkalinity) and other water chemistry characteristics (hardness, dissolved oxygen); precipitation, complexation and oxidation-reduction reactions; and laboratory techniques and reporting. "
CVEN 4424,Environmental Organic Chemistry,"Examines the fundamental physical and chemical transformations affecting the fate and transport of organic contaminants in natural and treated waters. Emphasizes quantitative approach to solubility, vapor pressure, air-water exchange, sorption, hydrolysis and redox reactions, and photodegradation. "
CVEN 4434,Environmental Engineering Design,"Examines the design of facilities for the treatment of municipal water and wastewater, hazardous industrial waste, contaminated environmental sites and sustainable sanitation in developing countries. Economic, societal and site specific criteria impacting designs are emphasized. "
