EBIO 1010,Introduction to Statistics and Quantitative Thinking for Biologists,"Focuses on the collection, visualization and analysis of data that are relevant for advancing critical thinking, student-directed learning, and the development of quantitative analysis skills, with an emphasis on using R and examples from ecology and evolutionary biology."
EBIO 1020,Introduction to Ecology and Evolutionary Biology,"Introduces students to EBIO. Provides an overview of the major and how it differs from other biology programs; how to get involved in clubs, research, and/or internship opportunities; strategies for succeeding in EBIO courses; and career options. This is a first-year colloquium course specifically designed for freshman and other students exploring their educational and career opportunities."
EBIO 1040,Biology: A Human Approach 2,"Lect. Continues EBIO 1030, focusing on the function of the human body, and maintenance of dynamic equilibrium in the internal environment in the face of a continually changing external environment. Discusses factors influencing these homeostatic conditions and how and why they change. Recommended for nonscience majors. "
EBIO 1100,Biology and Society,Lect. Studies the dynamic relationships between the biological sciences and society. Areas of inquiry include interconnections between ecological and evolutionary theory and concepts and emergent questions being raised on a societal level. Students will explore topics such as human populations and sexual reproduction; biological factors affecting sociability and social patterns; environmental change with a focus on global biodiversity and the services to people; natural resource management; and public health. Recommended for majors and non-majors.
EBIO 1110,Biology and Society Laboratory,"One two-hour lab per week. Provides experiments and exercises relating to concepts presented in EBIO 1100. Recommended for majors and non-majors. When taken with EBIO 1100, meets the MAPS requirement for natural science: lab."
EBIO 1210,General Biology 1,"Lect. Provides a concentrated introduction to molecular, cellular, genetic, and evolutionary biology. Emphasizes fundamental principles, concepts, facts, and questions. Intended for science majors."
EBIO 1220,General Biology 2,"Provides a concentrated introduction to organisms, homeostasis, development, behavior, and ecology. Emphasizes fundamental principles, concepts, facts,and questions. Intended for science majors. "
EBIO 1230,General Biology Laboratory 1,One 3-hour lab per week. Consists of experiments and exercises to provide an extension of basic concepts and scientific approaches presented in General Biology 1. Intended for science majors. 
EBIO 1240,General Biology Laboratory 2,One 3-hour lab per week. Consists of experiments and exercises to provide an extension of basic concepts and scientific approaches presented in General Biology 2. Intended for science majors. 
EBIO 1250,Introduction to Ecology and Evolutionary Biology Research,"Introduces students to research in ecology and evolutionary biology topics in the context of investigations about Boulder¿s local historic apple trees. Students will learn about the genetics, physiology, and urban ecology of the trees in the lecture and have the opportunity to research one of these topics more in depth in the laboratory courses. Results from the research on Boulder¿s Apples will be reported back to the Boulder community by student researchers."
EBIO 1300,Topics in Biological Sciences,"Covers special topics in biology for freshmen or nonmajors. Introduces scientific methods and principles in biology, as well as issues of current interest in biology. Does not count toward the major in EBIO."
EBIO 1940,Introduction to Scientific Writing,"Introduces first year students to college writing, focusing on developing academic research and writing skills of particular interest to science students. Emphasizes habits of mind in topic invention, drafting, revision and writing style, as well as critical thinking and information literacy."
EBIO 2010,Environmental Issues and Biology,"Lect. Describes how the natural environment is currently stressed by a variety of human actions. Examines the nature of these environmental problems and their impact on living organisms, both human and nonhuman species."
EBIO 2040,Principles of Ecology,"Lecture and laboratory. Introduces principles of ecology, emphasizing patterns and processes at various levels of biological organization. Scope global, but examples often from local environment. Laboratory emphasizes techniques of field biology. Uses animals and/or animal tissues. "
EBIO 2070,Genetics: Molecules to Populations,"Lect. and rec. Covers principles of genetics and developmental biology at levels of molecules, cellular organelles, individuals and populations; asexual and sexual life cycles; heredity. Recitations allow discussion of genetics problems and implications of genetic principles and provide demonstrations and simulations of genetic processes. Intended for sophomore majors in EBIO. "
EBIO 2090,Tropical Island and Marine Ecology,"Examines fundamental concepts of marine ecology, emphasizing organismal diversity, species interactions, dispersal, colonization, physiology and adaptations. Includes study of beach and coral formation, island organisms and their population dynamics. Students may also register for an optional 1 credit, one week, tropical island and coral reef trip that complements the lecture portion of the class but has an additional cost. "
EBIO 2091,Field Studies in Marine and Island Ecology and Oceanography,"Investigates tropical island and marine ecology as well as all four disciplines of oceanography. A three-credit course focused on a tropical island ecology and oceanography field trip that complements the lecture portion of EBIO 2090 and ATOC 3070 with an additional cost. Examines fundamental concepts of marine ecology, emphasizing organismal diversity, species interactions, study of beach and coral formation, island formation, organisms and their population dynamics. The course consists of a one-week field trip to the Keys Marine Laboratory in the Florida Keys and once-weekly class room meeting (of variable duration from 1-4 hours) throughout the semester."
EBIO 2640,Honors Principles of Ecology,"Lect., lab, and rec. Introduces principles of ecology, emphasizing patterns and processes at various levels of biological organization. Scope global, but examples often from local environment. Laboratory emphasizes techniques of field biology. Uses animals and/or animal tissues. "
EBIO 2840,Independent Study: Lower Division,
EBIO 3010,Teaching Biology,Provides an opportunity to assist in teaching of specific lecture or laboratory section in EBIO under direct faculty supervision. Students must first make arrangements with the appropriate faculty member and turn in a form to the EBIO office. 
EBIO 3040,Conservation Biology,"Applies principles of population ecology, population genetics, biogeography, animal behavior, and paleobiology to the maintenance of biodiversity and natural systems. The resulting theory is then applied to conservation policy and management techniques. "
EBIO 3080,Evolutionary Biology,"Lect. and lab. Emphasizes the fundamental evolutionary concepts that provide explanations for the diversification of life on Earth. Specific topics include the evidence for evolution, adaptation by natural selection, speciation, systematics, molecular and genome evolution, and macroevolutionary patterns and processes. Recitations allow students to explore specific topics in more depth and smaller groups. "
EBIO 3110,Population and Community Ecology,"Presents principles of ecology that relate to the niche, population growth, metapopulations, population interactions (within and between trophic levels), community structure and development, landscape ecology and species diversity. "
EBIO 3170,Mountain Ecology and Conservation,"Focuses on the ecology of mountain environments around the world, including climatic gradients, plant and animal diversity and distributions, habitat zonation, evolutionary processes, and various aspects of montane conservation from habitat change to climate change. "
EBIO 3180,Global Ecology,"Lect. Involves study of ecological principles and problems at the biosphere level. Presents a worldwide approach to populations, biotic resources, ecologic interactions, land use, deforestation, desertification, species extinctions, pollution, environmental quality, global change, and environmental ethics. "
EBIO 3190,Tropical Marine Ecology,"Lect. Examines the biology and ecology of marine ecosystems, emphasizing those occurring in tropical regions such as coral reefs. Studies how these ecosystems are changing and the future impact of human stress on the marine environment. "
EBIO 3240,Animal Behavior,"Lect. and lab. Topics include basic concepts and history, methods of study, ethical issues, neurobiology, behavior, the development of behavior, predator-prey relationships, communication, aggression and dominance, mating systems, cognitive ethology, and parental care. When possible, life-history strategies, the evolution of behavior, and behavioral ecology are stressed. Uses animals and animal tissues. "
EBIO 3400,Microbiology,"Surveys distinguishing characteristics of microorganisms based on structural-functional relationships, taxonomy, growth and physical-chemical agents of control including antibiotics, metabolism and genetics. Introduces applied microbiology emphasizing infectious diseases, basic concepts of immunology and microbial ecology. Uses animals and/or animal tissues. "
EBIO 3410,Microbiology Lab,Accompanies EBIO 3400.
EBIO 3523,The Art and Strategy of Science Communication: Branding Climate Change,"Integrating the science of climate change and science communication with the research, strategy and execution practices of strategic communication (e.g., advertising and public relations). "
EBIO 3590,Plants and Society,"A writing intensive course for majors and non-majors which acquaints students with the history of plant use in our society. Topics center on the evolving relationship between humans and plants as food sources, medicines, fuel, and other products, such as fibers and dyes. "
EBIO 3630,Parasitology,"Lect. and lab. Surveys animal parasites, including life histories; emphasizes parasites of humans. Uses animals and/or animal tissues. "
EBIO 3680,Honors Evolutionary Biology,"Lect., rec., and co-sem. Emphasizes the fundamental evolutionary concepts that provide explanation for the diversification of life on Earth. Specific topics include the evidence for evolution, adaptation by natural selection speciation, systematics, molecular and genome evolution, and macroevolutionary patterns and process. Recitations allow students to explore specific topics in more depth and smaller groups. "
EBIO 3850,Animal Diversity: Invertebrates,"Lect. and lab. Offers a broad study of the biology of the most diverse group of organisms on Earth. Areas include ecology, physiology, evolution and morphology of aquatic and terrestrial forms. Uses animals and/or animal tissues. "
EBIO 3930,Internship,Provides an academically supervised opportunity for upper-division students to work in public or private organizations. Projects are usually related to students' career goals. Each project has both academic and work components. Pass/fail only.
EBIO 3940,Written Communication in the Sciences,"Focuses upon communication commonly practiced by scientists, with special emphasis on writing. Directs attention to scientists' strategic use of written arguments, statistical data and visual representations. Prepares students for communication tasks within advanced study and professional work."
EBIO 3980,Seminar: Introduction to EBIO Honors,"Offers an opportunity for students who are either exploring the option of writing an Honors thesis, or are in the process of conducting Honors research, to receive guidance on the process of thesis writing, evaluation and presentation of research results and thesis defense. Thesis requirements and the role of the A&S Honors Council will be discussed. Also offers the opportunity to hear practice defense talks from the graduating Honors candidates."
EBIO 3990,EBIO Honors Thesis Research,Provides an introduction to the departmental Honors program. Consists of individual library research on a potential Honors thesis topic under the guidance of a faculty mentor. 
