ECEN 1030,Special Topics,Special topics class.
ECEN 1100,Exploring ECE,"Introduces students to areas of emphasis with the ECE department through seminars presented by faculty and outside speakers. Emphasizes career opportunities, professional ethics and practices, history of the profession, and resources for academic success. Several sessions promote team building and problem solving, and provide opportunities for first year students to meet their classmates."
ECEN 1310,C Programming for ECE,"Introduces fundamental programming concepts using the C language. Teaches the use of pointers, control flow, aggregate types, input/output, heap-allocated memory, and abstract data types. Includes a weekly computer lab session. "
ECEN 1400,Introduction to Digital and Analog Electronics,"This course introduces students to electrical and computer engineering centered around creative projects in a team based setting. Through the design and implementation of functional engineering systems, students gain an understanding of the engineering design process, using real-world design tools such as prototyping, computer-aided design (CAD), 3D printing, laser cutting, printed circuit board (PCB) manufacturing and testing. The projects-based curriculum provides students with a basis in the fundamentals of analog and digital electronics with an emphasis of developing student¿s understanding of how the electronics and software operate within an interdisciplinary context. Students gain hands-on experience with the creation of systems using sensors, actuators, programming microcontrollers, prototyping circuits using breadboards, and designing systems. No prior experience or knowledge of electronics or software is required."
ECEN 1500,Sustainable Energy,"Explores how energy is generated and used in today's society. Through collaborative discussion and hands-on data collection, students will analyze the engineering challenges, fundamental limits, and potential solutions to meeting our energy needs sustainably. Students will learn to analyze numerical data, estimate orders of magnitude, and apply mathematical methods in their own lives and in the ongoing energy debate. Basic algebra required."
ECEN 1840,Independent Study,"Provides an opportunity for freshmen to do independent, creative work. Department consent required. "
ECEN 2010,Special Topics,
ECEN 2020,Special Topics,
ECEN 2050,Special Topics,
ECEN 2060,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 2250,Introduction to Circuits and Electronics,"Introduces linear circuit analysis and design, including OP-Amps. Presents DC networks, including node and mesh analysis with controlled sources. Analysis of RL and RC circuits for both transient and sinusoidal steady-state responses using phasors. "
ECEN 2260,Circuits as Systems,"Continues basic circuit analysis of ECEN 2250: Laplace transform techniques, transfer functions, frequency response, Bode diagrams, resonant circuits, Fourier series expansions, and convolution. "
ECEN 2270,Electronics Design Lab,"Provides an introduction to analysis, modeling, design, and testing of analog electronic circuits in a practical laboratory setting. The laboratory is centered around a robot platform and includes design, SPICE simulations, prototyping and testing of circuits necessary to drive and remotely control the robot."
ECEN 2310,Programming with Mathematical Software,"Applies mathematical software to the solution of engineering applications, using numerical and symbolic techniques. Typical applications include the manipulation of acoustic signals and the study of the dynamics of simple continuous and discrete systems."
ECEN 2350,Digital Logic,"Covers the design and applications of digital logic circuits, including both combinational and sequential logic ciruits. Introduces hardware descriptive language, simulating and synthesis software, and programming of field programmable arrays (FPGAs)."
ECEN 2360,Programming Digital Systems,"Explores how computers and programmable hardware in general are used to implement digital systems by looking at the capabilities of central processing units, the use and control of various input/output (I/O) devices, memory organization, and concurrency management. Topics include computer architecture, instruction sets, I/O device programming, interrupts, data transfer mechanisms, semaphores, and memory management. "
ECEN 2370,Embedded Software Engineering,"Introduces digital system design, including system software and hardware building blocks, and system software-hardware integration. Emphasizes hands-on system development and debugging. Uses mainstream electronic system design platforms, including FPGAs, embedded and mobile computing platforms, and Assembly/C/Java/Verilog programming languages. "
ECEN 2410,Renewable Sources and Efficient Electrical Energy Systems,"Introduces electrical power generation and renewable energy, including solar, wind, micro, hydro, coal, nuclear and natural gas and some of the issues in integrating renewable energy sources in the grid."
ECEN 2420,Electronics for Wireless Systems,"Explores fundamental principles behind the operation of a radio, including a practical introduction to circuit elements. Covers the components and operation of a radio (transmitter and receiver) with simple signals. Students learn lab exercises the operation principles behind components of a complete practical radio system."
ECEN 2440,Application of Embedded Systems,"Introduces embedded systems and key computer architecture concepts through a variety of projects involving programming a microcontroller in C. Provides students hands-on projects that combine the knowledge gained in their digital and analog coursework in order to engineer hardware, firmware and application software design solutions. Includes a weekly lecture and two weekly laboratory sessions."
ECEN 2703,Discrete Mathematics for Computer Engineers,"Emphasizes elements of discrete mathematics appropriate for computer engineering. Topics: logic, proof techniques, algorithms, complexity, relations, and graph theory."
ECEN 2830,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 2840,Independent Study,"Offers an opportunity for sophomores to do independent, creative work. Department consent required. "
ECEN 3002,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 3003,Special Topics,
ECEN 3004,Special Topics,
ECEN 3010,Circuits and Electronics for Mechanical Engineers,"Covers analysis of electrical circuits by use of Ohm's law, network reduction, node and loop analysis, Thevenin's and Norton's theorems, DC and AC signals, transient response of simple circuits, transfer functions, basic diode and transistor circuits, and operational amplifiers. Includes introductory digital electronics and microprocessors/microcontrollers. "
ECEN 3070,Edges of Science,"Examines the evidence for paranormal phenomena, reasons for skepticism, and physical models that could account for the data. Reviews controversial scientific theories that overcame barriers to acceptance, and how worldviews shift. Considers the scientific method and ways uncontrolled factors might influence experiments. Develops skills in statistical analysis of data. Includes group projects testing for anomalous and parapsychological effects. Not accepted as a technical elective for engineering majors."
ECEN 3170,Electromagnetic Energy Conversion 1,"Real and reactive power in single phase circuits, power triangle, balanced three-phase circuits, wye and delta connections, introduction to electromagnetic machines, transformers (single and three-phase) and their equivalent circuits, AC-machinery fundamentals, synchronous generator from a magnetic field point of view, synchronous motors and condensers, three-phase induction motors, DC machinery fundamentals, DC motors, single phase motors. Matlab/Simulink will be used."
ECEN 3210,Hype and Reality in Energy Technologies,"Course covers exotic, conventional and emerging energy technologies, and provides an understanding of how to apply basic energy principles to evaluate them. The approach is analytical and makes use of only basic algebra. Source materials are current articles, blogs, videos and provided notes. Topics include perpetual motion systems, renewable and traditional energy generation and storage, vehicle power, greenhouse effect, an accurate understanding of entropy and its implications, Maxwell¿s demon ¿ and exotic technologies that might work."
ECEN 3250,Microelectronics,Develops a basic understanding of active semiconductor devices. Focuses on building an understanding of BJT and CMOS devices in both digital and analog applications.
ECEN 3300,Linear Systems,"Characterization of linear time-invariant systems in time and frequency domains. Continuous time systems are analyzed using differential equations and Laplace and Fourier transforms. Discrete time systems are analyzed using difference equations, Z-transforms and discrete time Fourier transforms. Sampling and reconstruction of signals using the sampling theorem. Applications of linear systems include communications, signal processing, and control systems."
ECEN 3303,Introduction to Robotics,"Introduces students to fundamental concepts in autonomous robotics: mechanisms, locomotion, kinematics, control, perception and planning. Consists of lectures and lab sessions that are geared toward developing a complete navigation stack on a miniature mobile robotic platform. "
ECEN 3320,Semiconductor Devices,"Highlights the fundamentals of semiconductor materials and devices. Topics include the electrical and optical properties of semiconductors, the theory of Pn junctions, bipolar and field-effect transistors, and optoelectronic devices."
ECEN 3350,Programming Digital Systems,"Explores how computers and programmable hardware in general are used to implement digital systems by looking at the capabilities of central processing units, the use and control of various input/output (I/O) devices, memory organization, and concurrency management. Topics include computer architecture, instruction sets, I/O device programming, interrupts, data transfer mechanisms, semaphores, and memory management. "
ECEN 3360,Digital Design Laboratory,"Introduces digital system design, including system software and hardware building blocks, and system software-hardware integration. Emphasizes hands-on system development and debugging. Uses mainstream electronic system design platforms, including FPGAs, embedded and mobile computing platforms, and Assembly/C/Java/Verilog programming languages. "
ECEN 3400,Electromagnetic Fields and Waves,"Electromagnetic fields are covered at an introductory level, starting with electrostatics and continuing with DC current, magnetostatics, time-varying magnetic fields, waves on transmission lines, Maxwell's equations and the basics of plane waves. The use of fields in inductors, capacitors, resistors, transformers, and energy and power concepts are studied."
ECEN 3410,Electromagnetic Waves and Transmission,"Covers reflected and transmitted plane waves in layered media, Poynting's theorem of electromagnetic power, two-conductor transmission line theory and practice, Smith chart usage and impedance matching, waveguides, and elements of antenna theory."
ECEN 3593,Computer Organization,"Studies computer design at the gate level. Discusses instruction set architecture design, arithmetic and logic unit design, control logic, memory design and caches, simple pipelining, I/O and peripheral devices. Briefly covers aspects of modern computer architecture, such as multicore processors and cache coherence for these. Formerly ECEN 4593."
ECEN 3753,Real-Time Operating Systems,"Today's electronic systems require real-time management and scheduling of hardware resources alongside complex multi-threaded software applications. This course covers what is an Operating Systems, the development of multi-threaded applications, and satisfying real-time system obligations. Real-Time profiling tools will be used to learn and visualize how the operating system is scheduling the software tasks and hardware resources to meet resource constraint embedded system applications. Formerly offered as a special topics course."
ECEN 3810,Introduction to Probability Theory,"Covers the fundamentals of probability theory, and treats the random variables and random processes of greatest importance in electrical engineering. Provides a foundation for study of communication theory, control theory, reliability theory, and optics. "
ECEN 3840,Independent Study,"Offers an opportunity for juniors to do independent, creative work. Department consent required. "
ECEN 3841,Independent Study,"Offers an opportunity for juniors to do independent, creative work. "
ECEN 4000,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4001,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4002,Special Topics,Credit and subject matter to be arranged. Department enforced prerequisite: varies
ECEN 4003,Special Topics,Credit and subject matter to be arranged. Department enforced prerequisite: varies
ECEN 4004,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4005,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4006,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4007,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4009,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4011,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4012,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4013,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4016,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4017,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4018,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4021,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4024,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4028,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4031,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4033,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering. "
ECEN 4043,Special Topics,"Examines a special topic in Electrical, Computer and Energy Engineering."
ECEN 4053,Special Topics,Special topics course. 
ECEN 4133,Fundamentals of Computer Security,"Practice thinking like an attacker by exploring several modern computer security attacks and defenses through hands-on programming projects. Topics include applied cryptography (encryption, authentication), web security (XSS, CSRF, SQL Injection), network security (TLS, MITM attacks), application security (shell injection, buffer overflows), and other current events and trends (government surveillance, botnets, cryptocurrencies). "
ECEN 4138,Control Systems Analysis,"Analysis and design of continuous time control systems using classical and state space methods. Laplace transforms, transfer functions and block diagrams. Stability, dynamic response, and steady-state analysis. Analysis and design of control systems using root locus and frequency response methods. Computer aided design and analysis. Department enforced prerequisite: background in Laplace transforms, linear algebra,and ordinary differential equations. "
ECEN 4167,Electromagnetic Energy Conversion 2,"Introduction to electric machine drives, basic electric machine mechanics, structure and modeling of electric machines (DC, Synchronous, Linear, Induction), reference frame theory using d-q modeling based on the complex space vector and on matrix transformation, transient and steady state analysis of three-phase machine, design of speed regulators, vector control. Matlab/Simulink will be used."
ECEN 4224,High Speed Digital Design,"Covers fundamentals of high-speed properties of logic gates, measurement techniques, transmission lines, ground planes and layer stacking, terminations, vias, power systems, connectors, ribbon cables, clock distribution and clock oscillators. "
ECEN 4242,Communication Theory,"Covers modern digital and analog communication systems. Analysis and design of communication signals, transmitters, channels, and receivers. Amplitude and angle modulation and demodulation are treated as well as theory and application of digital data transmission. Emphasis is also placed on the analysis and mitigation of the effects of noise through signal design at the transmitter and signal processing at the receiver."
ECEN 4313,Concurrent Programming,"Introduces the theory and practice of multicore programming. The first part of the course presents foundations of concurrent programming: mutual exclusion, wait-free and lock-free synchronization, spin locks, monitors, memory consistency models. The second part presents a sequence of concurrent data structures and techniques used in their implementations (coarse-grained, fine-grained, optimistic and lock-free synchronization)."
ECEN 4322,Data and Network Science,"The course covers the theory and design of algorithms that are used to model, analyze, and extract information from large scale datasets and networks. The course includes a project. "
ECEN 4341,Bioelectromagnetics,Effects of electric and magnetic fields on biological systems are described with applications to therapy and safety. The complexity of biological systems is described to provide a better understanding of the distribution of fields inside the body. Risk analysis is also introduced. 
ECEN 4423,Chaotic Dynamics,"Explores chaotic dynamics theoretically and through computer simulations. Covers the standard computational and analytical tools used in nonlinear dynamics and concludes with an overview of leading-edge chaos research. Topics include time and phase-space dynamics, surfaces of section, bifurcation diagrams, fractal dimension and Lyapunov exponents. "
ECEN 4517,Power Electronics and Photovoltaic Power Systems Laboratory,"Focuses on analysis, modeling, design and testing of electrical energy processing systems in a practical laboratory setting. Studies power electronics converters for efficient utilization of available energy sources, including solar panels and utility. Experimental projects involve design, fabrication and testing of a solar power system. "
ECEN 4532,Digital Signal Processing Laboratory,"Develops experience in code development, debugging and testing of real-time digital signal processing algorithms using dedicated hardware. Applications include filtering, signal synthesis, audio special effects and frequency domain techniques based on the Fast Fourier Transform. "
ECEN 4553,Compiler Construction,"Introduces the principles and techniques for compiling high-level programming languages to assembly code. Topics include parsing, instruction selection, register allocation, and compiling high-level features such as polymorphism, first-class functions, and objects. Students build a complete compiler for a simple language. "
ECEN 4555,Principles of Energy Systems and Devices,"Develops principles underlying electronic, optical and thermal devices, materials and nanostructures for renewable energy. Provides a foundation in statistical thermodynamics and uses it to analyze the operation and efficiency limits of devices for photovoltaics, energy storage (batteries & ultra-capacitors), chemical conversion (fuel cells and engines), solid state lighting, heat pumps, cooling and potentially harvesting zero-point energy from the vacuum. "
ECEN 4583,Software System Development,"Lectures deal with techniques for product requirements definition, project planning, coding, verification, validation, performance evaluation, and maintenance of medium-scale (2-3000 line) systems. Primary emphasis is on practical application of these techniques to a specified software project. Students work in teams to produce appropriate documents for each phase and are responsible for project completion according to specification and schedule. Course project is written in C on a Unix look-alike system; prior knowledge of C or Unix is not required."
ECEN 4606,Undergraduate Optics Laboratory,"Introduces fundamental concepts, techniques, and technology of modern optical and photonic systems. Individual labs cover particular fields of optical technology, including light sources such as lasers and Leds, interferometers, fiber-optic communications, photodetection, spectrometers, and holography. Practical skills such as how to align an optical system will also be emphasized."
ECEN 4610,Capstone Laboratory Part 1,"Hands-on laboratory experience utilizing teams in the systematic proposal, design, integration, and testing of an electronic/computer based system. Results will be the prototype of a stand-alone analog/digital system. Must have completed all required Advanced Analog Core courses for major, except one course may be taken concurrently by petition. Must take ECEN 4620 to complete the sequence. Minimum required grade for this course and ECEN 4620 is C-."
ECEN 4616,Optoelectronic System Design,"Examines optical components and electro-optic devices with the goal of integrating into well design optoelectronic systems. Sample systems include optical storage, zoom lenses and telescopes. "
ECEN 4620,"Capstone Lab, Part 2","Hands-on laboratory experience for teams in the systematic proposal, design, build integration, test and documentation of an electronic/computer based system. Results will be a reliably operating, stand-alone analog/digital system, with publication quality technical documentation. Department enforced prerequisite: advanced analog core courses."
ECEN 4632,Introduction to Digital Filtering,"Covers both the analysis and design of FIR and IIR digital filters. Discusses implementations in both software and hardware. Emphasizes use of the FFT as an analysis tool. Includes examples in speech processing, noise canceling, and communications."
ECEN 4634,Microwave and RF Laboratory,"This course is a hands-on introduction to RF and microwave topics, from fundamentals including vector network analyzer (VNA) calibration and operation, power measurements, and antenna characterization, to system-level topics such as RADAR systems and superheterodyne links. Students work in small groups on weekly experiments based on both coaxial and waveguide setups. An understanding of electromagnetic waves (such as covered in ECEN 3400 and ECEN 3410) is assumed. The graduate version of the course (ECEN 5634) includes additional homework and exam problems and extended laboratory exercises compared to ECEN 4634."
ECEN 4638,Control Systems Laboratory,"Provides experience in control system design and analysis, using both real hardware and computer simulation. Covers the entire control system design cycle: modeling the system, synthesizing a controller, conducting simulations, analyzing the design to suggest modifications and improvements, and implementing the design for actual testing. "
ECEN 4652,Communication Laboratory,Analysis and design of realistic communication signals in a modern digital signal processing environment. Covers both analog and digital communication signals with and without noise and distortion. Pulse amplitude modulation is used initially at baseband and then combined with amplitude and phase/frequency modulation to produce the kind of bandpass signals that are used in cell phones and wireless data networks.
ECEN 4720,Practical Printed Circuit Board Design Accelerator,"This course introduces students to the most important skills needed to convert a back-of-the-napkin circuit sketch into a working widget with first time success. Students will learn the seven steps in every board project: planning, selecting components, schematic entry, layout, assembly, bring up and debug, and documentation. This process will be exercised with a custom board design project. A commercial EDA tool widely used in the electronics industry will be used for the project. Previously offered as a special topics course. "
ECEN 4730,Practical Printed Circuit Board Design and Manufacture,"This course prepares students with all skills needed to convert a back-of-the-napkin circuit sketch into a working widget with first time success. Students will master the seven steps in every board project: planning, selecting components, schematic entry, layout, assembly, bring up and debug, and documentation. This process will be exercised with three different board design projects with increasing challenge. A commercial EDA tool widely used in the electronics industry will be used for all projects. Previously offered as a special topics course. "
ECEN 4753,Computer Performance Modeling,"Presents a broad range of system measurement and modeling techniques, emphasizing applications to computer systems. Covers topics including system measurement, workload characterization and analysis of data; design of experiments; queuing theory and queuing network models; and simulation. "
