EDUC 1001,Humanities Teaching for Equity: Naming,Critically frames learning to teach for equity and justice. Focuses on naming and examining students' identities and positionalities. Orients students to the School of Education's mission and guiding principles of the Secondary Humanities program. Meets weekly on CU campus.
EDUC 1020,First Year Success at CU,"Introduces first-year majors to campus resources and academic success strategies. Students learn about a wide range of topics, including time management, research, and student involvement. This course also serves as a forum for continued conversations about concepts from EDUC 3013: School in Society, as well as the social justice implications for emerging leaders and educators."
EDUC 1080,Decolonizing Education: Design for New Futures,"What does critical pedagogy mean? What does it mean to be a transformative educator? What does emancipatory, critical, culturally sustaining education praxis, actually look like? These are the central questions that guide this course. In this course, students will have the opportunity to explore the intersection of curriculum design, critical pedagogy, and learning theory ¿ through conversations with scholars, teaching sample lessons, reflective writing, practice-based pedagogical activities, and examinations of current-events related to critical pedagogy."
EDUC 1500,Success Strategies in Higher Education,Introduces students to learning theories and a range of college success strategies to deepen their engagement with their academic work. Students will learn metacognitive practices to identify the values and aims driving their academic ambitions and craft their most successful path through their undergraduate experience.
EDUC 1580,Energy and Interactions,"Engages non-physics majors in hands-on, minds-on activities and labs to investigate the physical world, the nature of science, and how science knowledge is constructed. This introductory course is especially relevant for future elementary and middle school teachers although it will meet the needs of most non-physics and non-science majors. Physics content focuses on interactions and energy. "
EDUC 2001,Humanities Teaching for Equity: Noticing,Critically frames learning to teach for equity and justice. Focuses on noticing classroom and school spaces. Orients students to the School of Education's mission and guiding principles of the Secondary Humanities program. Meets weekly on CU campus. Includes 4 hours of high school practicum each week.
EDUC 2015,Elementary Mathematics and Science Teaching for Social Justice,"Working for social justice is central to teaching mathematics and science with elementary-aged children. This course engages prospective elementary teachers with a multitude of early math and science experiences that children draw upon to understand their worlds. Participants will develop interest-driven, culturally sustaining, and inclusive action plans for teaching math and science for social justice with young learners."
EDUC 2020,Step 1: Inquiry Approaches to Teaching STEM,"Invites science, mathematics and engineering students to explore teaching as a career by providing first-hand experiences teaching science/math lessons in local elementary classrooms. Introduces theory and practice necessary to design and deliver excellent instruction. Master teachers provide ongoing support and feedback. Meets weekly on CU campus (1.5 hours/week) and involves five visits to an elementary school."
EDUC 2025,Step 1: Inquiry Approach to Teaching in Informal Settings,"Invites science, mathematics and engineering students to explore teaching and learning in informal K-12 environments. Introduces theory and practice necessary to design and deliver excellent instruction. Meets weekly on CU campus (1.5 hours/week) and requires participants to work a minimum of five hours with K-12 students at STEM-related special events such as science fairs, after school programs, and science camps."
EDUC 2030,Step 2: Inquiry-Based Lesson Design,Builds on EDUC 2020 and further develops lesson design and inquiry-based teaching practice. Offers opportunity to explore teaching career and learn about middle school culture. Master teacher provides support as students design and deliver lessons in middle school classrooms. Emphasizes assessment of student learning. Meets weekly on CU campus (1.5 hours/week) and involves five visits to a local middle school.
