EMEN 3100,Introduction to Engineering Management,"Examines topics important to the management of engineering activities within organizations. Topics include the relationship of engineering to business and management disciplines, the functions of an engineering manager, principles and techniques for managing financial resource and business ownership. Explores best practices in global engineering management, process management, legal issues, ethics, organizational behavior and communications."
EMEN 4030,Project Management Systems,"Gain skills in project management best practices that fit any industry, sector or geography. This interactive class provides students with the tools necessary to effectively initiate, plan, execute, control and close any type of project. Students apply knowledge as they plan an actual project, build and execute it, and ensure it meets stakeholder expectations and other project goals."
EMEN 4050,Leadership and Professional Skills,"Accelerate your personal and professional growth with the essential skills required to become an effective leader/manager. Conduct personal development through exercises in communication and leadership effectiveness. Explore leadership styles, managing commitments, change management, negotiation, conflict resolution, organizational culture, emotional intelligence, team dynamics and business ethics."
EMEN 4100,Engineering Economics,"Introduces engineering cost concepts, financial statements and the corporate economic environment. Includes concepts and methods of analysis of the time value of money, comparison of project alternatives before and after taxes, cash flow, replacement analysis, risk management and financial case statements."
EMEN 4110,Supply Chain Management,"Explores the key issues related to the design and management of supply chains. Covers the efficient integration of suppliers, production facilities, warehouses, and stores so that the right products in the right quantity reach customers at the right time. Focuses on the minimization of the total supply chair cost subject to service requirements imposed by a variety of industries. "
EMEN 4120,Managing Business Processes,"Covers the concepts and tools to design and manage business processes. Emphasizes modeling an analysis, information technology support for process activities, and management of process flows. Graphical simulation software is used to create dynamic models of business processes and predict the effect of changes. Prepares students for a strong management or consulting career path in business processes. "
EMEN 4200,Engineering and Entrepreneurship for the Developing World,"Use your engineering and problem solving skills, combined with market/industry research, customer interviews, design for manufacturability, stakeholder management and financial modeling to promote entrepreneurship and sustainable change in the developing world. Explore alternative energy, medical devices, phones, internet, recycling, cook stoves, clean water, sanitation and infrastructure."
EMEN 4400,Quality Management,"Introduces the concepts, tools and techniques used in the management and measurement of quality and productivity in a business environment. Associated topics include: statistics methods, design quality, measurement, control and process improvement. Discover the basics of performance excellence management including Baldridge Award criteria, strategic planning, leadership and daily quality management. "
EMEN 4405,Systems Engineering,"Introduces students to system engineering in terms of defining objectives, applications and the major steps in the systems engineering process. Learn to work effectively with diverse project teams. Industry standards are covered that lay out the steps of the classic Systems Engineering lifecycle. Real world engineering examples from concept exploration to hardware retirement are used."
EMEN 4800,Technology Ventures and Marketing,"Learn marketing concepts, skills and tools to launch new products and ventures. Engage with faculty, classmates, guest speakers, industry professionals, potential customers and one's leadership team to help you launch your venture. Develop the necessary skills and tools to be successful colleagues, managers and leaders in industry. Gain valuable business acumen using a hands-on learning environment."
EMEN 4820,Entrepreneurial Product Development,"A practical, hands-on course that introduces engineers and business students to the exciting world of product development. Each student will create a concept for an innovative product, assess its commercial potential, construct simple digital and physical prototypes, and evaluate its impact on the environment. The course culminates in a trade-show like event where everyone showcases their world-changing product to their peers."
EMEN 4825,New Venture Creation,Relevant to students seeking to acquire an entrepreneurial toolkit of knowledge and skills for working in the startup world or launching a new venture. Covers the techniques for evaluating the probability of success for a new venture and develops a methodology for entrepreneurial thinking that provides benefits for big and small ventures. The final deliverable is a professional pitch to a group of seasoned investors and the submission of a complete business plan. 
EMEN 4830,Special Topics,
EMEN 4840,Independent Study Project,Available only through approval of Engineering Management Program. Subjects arranged to fit the needs of the particular student. 
EMEN 5000,Engineering Principles,"Provides an appreciation, understanding, and perspective of the tasks and challenges faced in engineering disciplines. This introductory course offers non-engineers insight into how engineers think and approach problems. Explores different engineering disciplines by evaluating the tools used, main concepts, and how the discipline impacts daily life. Through a series of case studies, students will review successful and unsuccessful engineering projects."
EMEN 5005,Introduction to Applied Statistical Methods,"Covers statistical reasoning and analysis in support of business and engineering decision making. Topics include: engineering and applied research, descriptive and inferential statistics to include estimation and hypothesis testing using both traditional parametric as well as nonparametric procedures for research situations involving one or two groups of treatment conditions. The R statistical analysis and programming system is used."
EMEN 5010,Introduction to Engineering Management,"Learn concept, methods, activities and philosophies of business and be encouraged to utilize them in your professional activities. Interact with engineering management faculty who share what works based upon their engineering management experiences. Engage with our classmates on their business experience, thereby preparing you to interact more thoughtfully and knowledgeably with your professional colleagues."
EMEN 5015,Engineering Communication,"Enables students to communicate their thoughts and ideas in written and oral form in professional environments. Understand and demonstrate the ability to write a correctly-formed document. Develop active listening skills, particularly when providing and receiving feedback. Learn to orally communicate ideas by speaking clearly, persuasively, energetically, and with appropriate non-verbal elements. Present in various environments and to various audiences."
EMEN 5020,Finance for Engineering Managers,"Confidently engage in topics of financial performance, financial statements, time value of money and your own personal finances. The course focuses on areas relevant to engineering and technical managers, including product and process cost analyses, cost-volume-profitability calculations, discounted cash flow techniques for project selection, creating project and departmental budgets, valuation of intellectual property and entrepreneurial finance."
EMEN 5030,Fundamentals of Project Management,"Provides an in-depth introduction to the project management discipline, including the concepts, tools and techniques used in the management and leadership of projects small and large alike. Key topics covered include the role of the project manager; project team selection and management; cost, schedule and risk management; quality in projects; introduction to creating and maintaining project plans through the project lifecycle."
EMEN 5031,Software Project Management,"Introduces software project management as a critical element of software development activities throughout every area of human endeavor. Learn the software life cycle, software configuration management, code reviews, architectural influences and quality assurance with automated testing. Explore the impact on project success of the Capability Maturity Model (CMM) and United Modeling Language (UML). "
