ENVS 1000,Introduction to Environmental Studies,"Surveys environmental studies, examining ecological, socioeconomic, political, aesthetic, and technological factors that influence the quality of life on Earth. Required for ENVS majors."
ENVS 1001,Introduction to Human Dimensions of Environmental Studies,"Examines the human dimensions of sustainability and environmental justice. Students examine a core set of human factors linked to the environment, including the production and use of knowledge, behavior, values, social movements, policy, market forces, and systems of power, exploitation, oppression, and inequality. Through hands-on activities, students learn how these factors impact and result from the human-environment interface. Students will build quantitative and writing skills to empirically study human dimensions of the environment."
ENVS 1150,"First-Year Writing in Energy, Environment and Sustainability","Provides development of effective writing skills, knowledge and habits for success in the campus culture using topics related to the environmental sciences, energy, sustainability and academic/career interests. Focuses on the processes in rhetoric, emphasizing skills in creative, analytical and critical thinking, as well as research and presentation using digital and old fashioned methods and materials."
ENVS 2000,Applied Ecology for Environmental Studies,"Covers how ecological ideas and principles underlie both the problems and solutions of multiple environmental issues. Ecology of environmental concerns ranging from endangered species to global carbon cycling will be reviewed, including perspectives from physiological, behavioral, population, community and ecosystem ecology. Fulfills intermediate natural science requirement for Environmental Studies major. "
ENVS 2001,Topical Seminar in Enivronmental Studies,"Serves as an introductory seminar to topics in environmental studies. Topics are diverse and include such areas as climate and conflict, food production, land use change, and other emerging areas in environmental studies."
ENVS 2030,Introduction to Human Dimensions of the Environment,"Reviews social science concepts and research important to the understanding of human interactions with the environment. Serves as an introduction to the study of demographic processes, human decision making, approaches to environmental governance, consumption patterns, among other foundational topics. Content will be grounded in contemporary case studies that will vary with instructor. Positions students to participate in interdisciplinary dialogue and practice related to solving environmental problems."
ENVS 2100,Topics in Applied Environmental Studies,Covers a variety of topics not currently offered in the curriculum: offered depending on instructor availability and student demand. Fulfills application requirement in Environmental Studies major. 
ENVS 2840,Independent Study,Students work with an approved faculty sponsor to explore a topic in greater depth and to pursue an interest that is not offered in the formal curriculum. 
ENVS 3001,Sustainable Solutions Consulting,"Introduces students to green design, industrial ecology, and life cycle analysis. Students use basic techniques of environmental auditing to analyze the CU Boulder campus. Fulfills application requirement for Environmental Studies major. "
ENVS 3005,Environmental Education: From Theory to Practice,"Learning to teach about the environment is an essential skill for helping to create a sustainable world. From urban school programs to nature centers, to fostering social justice and international collaboration - becoming an effective environmental educator can support many professional pursuits. It's fun too! This class will help you gain essential knowledge and skills for starting on this path."
ENVS 3007,Animal Ethics and Policy,Explores the principles that underlie our treatment of and attitudes toward non-human animals. Analyzes how these principles impact environmental policy in the context of contemporary environmental issues and debates.
