ETHN 1022,Introduction to Africana Studies,"Overview of Africana studies as a field of investigation, its origins and history."
ETHN 1023,Introduction to Native American and Indigenous Studies,"Introduces critical terms, issues, and questions that inform the discipline of American Indian Studies. Examines historical silences and highlights how American Indian scholars, poets, and filmmakers use their work to address/redress historical subjects, and represent their Native communities."
ETHN 1025,Introduction to Asian American Studies,Examines the various factors that define minority groups and their positions in American society using Asian Americans as a case study. Emphasizes the perspectives and methodologies of the discipline of ethnic studies.
ETHN 2001,"Foundations of Comparative Ethnic Studies: Race, Gender and Culture(s)","Introduction to the study of race, ethnicity and gender in the United States. Overview of concepts, theories and analytic frames that shape the interdisciplinary field of Ethnic Studies. Focuses on historic, institutional, legal and cultural issues that impact African-Americans, Asian-Americans, Chicanas and Chicanos, European Americans, Native Americans and Indigenous peoples in the U.S."
ETHN 2004,Themes in American Culture 1,"Enables students to explore various themes in pre-1865 American culture. Examines these themes, which vary each year, in their social context."
ETHN 2013,Critical Issues in Native North America,"Explores a series of issues including regulations of population, land and resource holdings, water rights, education, religious freedom, military obligations, the sociopolitical role of men and women, self-governance, and legal standing as these pertain to American Indian life."
ETHN 2014,Themes in American Culture 2,"Enables students to explore various themes in post-1865 American culture. Examines these themes, which vary each year, in their social context."
ETHN 2044,Crime and Society,"Explores issues related to crime, the criminal justice system, and crime-related public policy. It addresses what we know about crime and how we know it, how our society responds to crime, how the institutions designed to address crime (police, courts, corrections) function, and diversity in experiences with the criminal justice system. "
ETHN 2203,American Indians in Film,"Surveys the image of American Indians in American (especially Hollywood) film with an emphasis on revisionist, or ¿breakthrough¿ films. It follows the creation of the Hollywood Indian from early literature to contemporary motion pictures. Films are analyzed within historical, social, and artistic contexts, and examined in terms of the impact their images have exerted upon American society at large, as well as Native communities. Near the end of the course we will look at what happens when Native Americans write, direct, and act in their own independent films. "
ETHN 2215,The Japanese American Experience,"Surveys the Japanese American experience, emphasizing post-WWII developments. Gives attention to intragroup diversity having to do with generation, ethnicity, ecology, and gender."
ETHN 2232,Contemporary African American Social Movements,Examines selected case studies of African American collective behavior in a historical context. Emphasizes an in-depth investigation of the continuing African American struggle for social/democratic rights.
ETHN 2242,African American Social and Political Thought,"Introductory course designed to acquaint students with historical and contemporary thinking, writings, and speeches of African Americans. "
