GEOG 1001,Environmental Systems: Climate and Vegetation,"Lect. and lab. Introduces the atmospheric environment of the Earth: elements and controls of climate and their implications for hydrology, vegetation, and soils. Emphasizes distribution of physical features across the Earth's surface and interactions between humans and their environment, especially those leading to global change on the decade to century time scale."
GEOG 1011,Environmental Systems: Landscapes and Water,"Lect. and lab. Introduces landscapes and flowing water, emphasizing the formation and geographic distribution of mountains, volcanoes, valleys, and deserts, and their shaping by rivers and glaciers. Includes field trips."
GEOG 1962,Geographies of Global Change,"Familiarizes students with a geographic understanding of conflicts around the globe and of economic, political and cultural globalization. Analyzes the relationship between global forces, regions and local interests in contemporary territorial and geopolitical tensions and conflicts, emphasizing issues such as nationalism, migration, labor and natural resources. Formerly GEOG 2002."
GEOG 1972,Environment-Society Geography,"Examines interactions between humans and the environment across the globe from a geographical perspective. Introduces different analytical perspectives through which to understand nature-society relationships, with a focus on social, cultural and political-economic dimensions, and examples from different natural resource sectors (e.g., water, agriculture) and countries. Formerly GEOG 2412."
GEOG 1982,"Global Geographies: Societies, Places, Connections","Introduces a comparative framework for recognizing and understanding the diversity of the world¿s societies and cultures. Units explore both local scale issues such as economic growth, inequality, political conflict, ethnic and racial dynamics, and climate change impacts, as well as broader scale trends associated with globalization, international development, migration, and the historical legacies of colonialism and imperialism."
GEOG 1992,Human Geographies,"Examines social, political, economic, and cultural processes creating the geographical worlds in which we live, and how these spatial relationships shape our everyday lives. Studies urban growth, geopolitics, agricultural development and change, economic growth and decline, population dynamics, and migration exploring both how these processes work at global scale as well as shape geographies of particular places."
GEOG 2053,Mapping a Changing World,"Examines roles that maps, geospatial data and technology play in understanding and explaining our world with a focus on geospatial literacy. Emphasizes critical thinking about the use of natural and social science data and discusses maps used for social and political purposes. In hands-on exercises students learn how to critically read and evaluate maps for expanding spatial awareness of nature and society."
GEOG 2092,Advanced Introduction to Human Geography,"Provides a rigorous introduction to key analytical concepts of human geography - place, space, scale, regions, nature, landscapes and territory - while giving an overview of topics addressed in subfields including economic geography, political geography, cultural geography and development geography. Specific topics may vary slightly from semester to semester but will likely include borders and migration, maps, tourism, climate change and the Anthropocene, geopolitical conflict, development, urbanization, nationalism, gender, race, inequality and identity."
GEOG 2271,Introduction to the Arctic Environment,Rising temperatures and shrinking sea ice are only the most visible indications of a rapidly changing Arctic. This course addresses the climate of the Arctic and the changes being observed at a non-mathematical level. It is intended to provide students with a basic understanding of the Arctic physical environment.
GEOG 2852,Contemporary Southeast Asia: Environmental Politics,"Examines globally pressing questions of environmental sustainability, regional inequality and development in the dynamic and heterogeneous landscapes of contemporary Southeast Asia. Focuses on interactions between histories of uneven development and contemporary debates over energy and infrastructure, food security, governance and access to land, forest and water-based resources. "
GEOG 3022,Climate Politics and Policy,"Engages students in exploring the realm of contemporary and historical climate policy at three major levels of government: international, national and local/regional. Through course lectures, discussions, readings and activities, students will become conversant with the actors, mechanisms and concerns involved in climate policy and politics and develop their own sense of how to judge the success of climate policies. Fulfills intermediate social science requirement in Environmental Studies Major. "
GEOG 3023,Statistics and Geographic Data,"Introduces computational and statistical tools to solve problems in the geographic domain. Provides an understanding of introductory statistical concepts and applies them to real world problems through lab exercises. Emphasizes spatial data, which requires specialized descriptive and predictive analysis techniques. Demonstrates how to manipulate and visualize data, and make inference using state-of-the art statistics software, applied to various social and earth science problems. "
GEOG 3053,Geographic Information Science: Mapping,"Introduction to Geographic Information Systems (GIS) and the fundamentals of cartographic design. Emphasis on the science and art of map design in a GIS environment. Students will learn how to build a spatial database, implement best practice for processing various types of environmental and social data and apply basic visual analytics to understand spatial patterns. "
GEOG 3251,Mountain Geography,Surveys mountain environments and their human use with illustrations from temperate and tropical mountain areas.
GEOG 3301,Analysis of Climate and Weather Observations,"Discusses instruments, techniques and statistical methods used in atmospheric observations. Covers issues of data accuracy and analysis of weather maps. Provides application to temperature and precipitation records, weather forecasting and climate change trends. Uses computers to access data sets and process data. "
GEOG 3351,Biogeography,Surveys and analyzes plant and animal distributions on a world scale from ecological and historical perspectives. Emphasizes human impact on species.
GEOG 3402,Natural Hazards,Explores the impacts of extreme geophysical events on human society. Emphasizes adaptations to extreme events and ways of reducing vulnerability and damage.
GEOG 3412,Conservation Practice and Resource Management,"Studies policy and management of natural resources. Emphasizes practical approaches to the conservation and management of soil, land, water and air resources."
GEOG 3422,Political Ecology,"Introduces students to political ecology, an influential approach to understanding society-environment relationships. Explores issues including different philosophies of nature and wilderness, the politics of conservation, causes of environmental degradation, environmental conflict and indigenous ecological knowledge. "
GEOG 3511,Introduction to Hydrology,"Examines hydrologic processes in the surface environment, emphasizing the environment of the western United States. Emphasizes natural processes and their management to augment water resources."
GEOG 3601,Principles of Climate,"Describes the basic components of the climate system: the atmosphere, ocean, cryosphere and lithosphere. Investigates the basic physical processes that determine climate and link the components of the climate system. Covers the hydrological cycle and its role in climate, climate stability and global change. "
GEOG 3612,Geography of American Cities,"Introduces geography of American cities, highlighting urban development as a contested, socially and spatially uneven process; emphasizes the intersection of urban space with categories of difference such as race and class."
GEOG 3622,Cities of the Global South,"Examines the geographies, processes, structural forces and everyday forms of urban life that are at the core of rapid urban transformation in the global South. Through using interdisciplinary scholarship, empirical case studies and key theoretical work, the course covers themes such as migration and urbanization, informality and governance, infrastructures of everyday life and urban environmental politics. "
GEOG 3662,Economic Geography,"Presents theories of the spatial organization of economic production, consumption and exchange systems. Geographical dynamics of industrialization, urbanization and economic growth. Examination of property, labor and social conflict, with a focus on political economy."
GEOG 3672,"Who Runs the World? Sex, Power, and Gender in Geography","This course will examine how gender and sexuality is constructed locally, nationally, and globally, drawing on conversations about feminist pasts, presents, and futures. We will focus on how gender intersects with race, class, sexuality, ability, religion, ethnicity, and geopolitical location to structure the lived experiences of women across the globe. We will apply critical geographic perspectives to gender inequality, exploring the overlaps and differences in women¿s and LGBTQ+ struggles as they are shaped by ongoing socio-cultural, political, and economic conditions globally. "
GEOG 3682,Geography of International Development,"Compares and contrasts global characteristics and processes of development, emphasizing the developing countries of the world. Integrates theories of development, specific development topics, and case studies to explore the problems of development. "
GEOG 3692,Introduction to Global Public Health,"Introduces global health by putting its contemporary definition, determinants, development and direction as a field into a broad global context. The course is divided into four core topics: 1) the burden and distribution of disease and mortality; 2) the determinants of global health disparities; 3) the development of global health policies; and 4) the outcomes of global health interventions. Required for the Public Health Certificate."
GEOG 3742,"Place, Power, and Contemporary Culture","Examines the relationship between places, power, and the dynamics of culture. Explores how the globalization of economics, politics, and culture shapes cultural change. Looks at how place-based cultural politics both assist and resist processes of globalization. "
GEOG 3812,"Mexico, Central America, and the Caribbean","Introduces the geography of Latin America, focusing on the lands and peoples of Mexico, Central America, and the Caribbean. Examines regional and national culture, history, environment, and population, as well as ongoing environmental and socioeconomic changes. "
GEOG 3822,Geography of China,"Surveys the world's most populous country, examining physical and historical geography, urbanization and regional development, agriculture, population, energy, and the environment. Seeks to situate China's development in a broader Asian and global context. "
GEOG 3832,Geographies of South Asia,"Examine the geographies of South Asia through four interrelated themes: Territory, Trade, Transportation, and Tributaries. Learn about territory including physical features, political conflicts and changing borders. Explore trade, transportation routes, and tributaries to understand economic, social/cultural and political geographies. Investigate culture and society through analyses of gender roles/relations. "
GEOG 3840,Undergraduate Independent Study,"Provides an independent study opportunity, by special arrangement with faculty, for students presenting strong geography preparation. Instructor consent required."
GEOG 3842,"Human Geography of Czechia: Political, Economic and Social Transitions","Excursions in Prague will begin with an understanding of Czech history through various imprints on the landscape, such as city planning, design, architecture and culture. This will be followed by a discussion of Prague in the 20th century and the various political, economic and social transitions. These transitions will be explored through field based study in and outside of Prague."
GEOG 3862,Geography of Africa,"Studies physical and cultural regions of Africa. Analyzes and compares the development of present nation-states and contemporary geographic issues including globalization, conservation, public health and food security. "
GEOG 3882,Geography of the Former Soviet Union,"Examines the contemporary social, political, population, cultural, ethnic and resource geography of the former Soviet Union. Relations between Russia and neighboring countries are also considered. Historical and physical geography are introduced as background to understanding post-Soviet developments and challenges."
GEOG 3930,Internship,Provides an academically supervised opportunity for advanced geography or environmental studies majors to work in public and private organizations on projects related to the student's career goals and to relate classroom theory to practice. Instructor consent required.
GEOG 4001,Topics in Physical Geography,Examines various topics in physical geography that are not typically covered in the curriculum. Offered intermittently depending on student demand and availability of instructors.
GEOG 4002,Topics in Human and Environment/Society Geography,Examines various topics in human and environment / society geography that are not typically covered in the curriculum. Offered intermittently depending on student demand and availability of instructors.
GEOG 4003,Topics in Geographic Skills,Examines various topics in geographical skills and techniques that are not typically covered in the curriculum. Offered intermittently depending on student demand and availability of instructors.
GEOG 4023,Advanced Quantitative Methods for Spatial Data,"Reviews fundamental statistical and quantitative modeling techniques and introduces more advanced statistical techniques widely used in geography today. Emphasizes geographic examples and spatial problems teaching hands-on skills in statistical programming. Topics covered include generalized linear models, spatial autocorrelation, spatial regression methods, and working with complex datasets. "
GEOG 4043,Advanced Geovisualization and Web Mapping,Advanced technical course in web-based cartography and geovisualization stressing the important role digital cartography plays in cyberspace and society. Focuses on principles of effective cartographic design in multimedia and hypertext environments. Labs are organized around hands-on active learning projects demonstrating skills in geovisualization and cartographic practice. 
GEOG 4093,Remote Sensing of the Environment,Covers acquisition and interpretation of environmental data by remote sensing. Discusses theory and sensors as well as manual and computerized interpretation methods. Stresses infrared and microwave portions of the spectrum. 
GEOG 4100,Special Topics in Geography,Various topics not normally covered in the curriculum; offered intermittently depending on student demand and availability of instructors. See also GEOG 4110 and GEOG 4120. 
GEOG 4103,Geographic Information Science: Spatial Analytics,"Explores advanced topics in geospatial databases, spatial analytics and geoprocessing in a Geographic Information System (GIS). Emphasizes how geographic concepts are linked to methodological frameworks for recording, transforming, storing/retrieving, analyzing, and processing geographic data as well as various forms of uncertainty. Exercises demonstrate the application of GIS-based methods to real world scenarios in interdisciplinary settings. "
GEOG 4110,Special Topics in Geography,Various topics not normally covered in the curriculum; offered intermittently depending on student demand and availability of instructors. See also GEOG 4100 and GEOG 4120. 
GEOG 4120,Special Topics in Geography,Various topics not normally covered in the curriculum; offered intermittently depending on student demand and availability of instructors. See also GEOG 4100 and GEOG 4110. 
GEOG 4173,Research Seminar,"Examines the nature of research and develops pregraduate skills for geographic research, emphasizing problem definition, methods, sources, data interpretation, and writing. Recommended for students pursuing honors."
GEOG 4201,Biometeorology,"Interdisciplinary science, studying the interactions between atmospheric processes and living organisms (plants, animals, and humans). Discusses how organisms adapt to a changing environment. Uses a practical,problem-solving approach to explore these interactions. "
