HIST 1011,"Greeks, Romans, Kings & Crusaders: European History to 1600","Examines the history and formation of Europe from its roots in the ancient Near East to Greece to the creation of Medieval states and kingdoms. Topics may include the rise of Christianity, Barbarian migrations, religious persecution, the role of gender and minority status, the growth of trade and European encounters, the Black Death, the European Renaissance the Protestant Reformation."
HIST 1012,"Empire, Revolution and Global War: European History Since 1600","Examines the history of modern Europe from 1600. Topics may include religious conflict, absolutism, the Scientific Revolution, the global impact of European colonialism and imperialism, the Enlightenment, the French and Industrial Revolutions, and the emergence of romanticism, nationalism, liberalism, socialism and modernism. Concludes by analyzing World War I and II, communist and fascist totalitarianisms, decolonization and the Cold War. Formerly HIST 1020"
HIST 1015,American History to 1865,"Examines American history from pre-Columbian times to the Civil War, including ancient cultures, exploration, colonization, Native American responses, the rise of race slavery, the American Revolution, political developments, Anglo-American expansion, slave life and culture, the market revolution, industrialization, reform and disunion. Introduces students to history as a dynamic discipline that shapes our understanding of the past and present. S. history."
HIST 1018,Introduction to Early Latin American History to 1810,"Introduces students to the history of what is now called Latin America from about 1450 to the wars of independence in the nineteenth century. Examines pertinent aspects of the societies and cultures of indigenous people, the history of European conquest, and the most salient features of the Spanish and Portuguese colonial empires in America."
HIST 1025,American History since 1865,"Explores political, social and cultural changes in American life since Reconstruction. Focuses on shifting social and political relations as the U.S. changed from a nation of farmers and small-town dwellers to an urban, industrial society; the changing meaning of American identity in a society divided by ethnicity, race and class; and the emergence of the U.S. as a world power."
HIST 1028,Introduction to Modern Latin American History since 1800,"Introduces students to the history of Latin America from independence to the present. Investigates the social implications of various models of economic development, the opportunities and difficulties resulting from economic ties with wealthier countries, the consequences of ethnic, gender and class divisions, and the struggles of Latin Americans to construct equitable political systems. "
HIST 1051,The World of the Ancient Greeks,"Surveys the emergence, major accomplishments, failures and decline of the world of the ancient Greeks, from Bronze Age civilizations of the Minoans and Mycenaeans through the Hellenistic Age (2000-30 B.C.) "
HIST 1061,The Rise and Fall of Ancient Rome,"Surveys the rise of ancient Rome in the eighth century B.C. to its fall in the fifth century A.D. Emphasizes political institutions, foreign policy, leading personalities, and unique cultural accomplishments. "
HIST 1113,Introduction to British History to 1660,"Deals with Roman, medieval and early modern periods. Covers the demographic, economic, social patterns, political and religious developments, and cultural changes that contributed to the formation of the English nation."
HIST 1123,Introduction to British History Since 1660,"Deals with the period from the 17th century to the present. Political, economic, social and imperial developments that contributed to creation of the modern industrial and democratic state are the major issues covered."
