LAWS 4005,Constitutional Law: Founding Principles and Current Debates,Explores the principles underlying the United States Constitution and offers an introduction to the powers of the three branches of the federal government and the interrelationship of state and national governments. Includes an introduction to the individual rights protected by the Bill of Rights and the operation of the Fourteenth Amendment's due process and equal protection clauses.
LAWS 4007,Federal Income Taxation of Individuals,Provides an introduction to federal income taxation of individuals.
LAWS 4017,Introduction to Business Taxation,"Provides a comprehensive introduction to the taxation of business activity and entities, including: 1) overview of principles of income taxation; 2) choice of entity; 3) formation, operation and dissolution of entities; 4) taxable and tax-deferred acquisitions; and 5) overview of international taxation. There are no course prerequisites."
LAWS 4075,Introduction to U.S. Law for Undergraduate Students,"Introduces undergraduate students to the American legal system and to legal reasoning and argumentation via case studies of prominent litigation. Students will learn basic conceptual building blocks of American law, basic lawyering skills and an understanding of how the American legal system structures and resolves complex disputes."
LAWS 4201,Philosophy of Entrepreneurship,"Explores how entrepreneurship principles apply in a variety of life's contexts, ranging from startup companies to legal practice to developing one's own professional brand. Participants consider whether adoption of entrepreneurial principles - viz., a philosophy of entrepreneurship - is a useful way to approach problem solving, management issues, career strategies and other life challenges."
LAWS 4211,Corporate Law,"Covering foundations legal issues in corporate law. Topics may include the nature and purpose of the corporate form, the relationship between shareholders and management, the fiduciary duties of directors, securities regulation and mergers and acquisitions."
LAWS 4226,Professional Communication in Business,"Aims to teach students the rhetorical principles and writing practices necessary for producing effective business letters, memos, e-mails, reports and collaborative projects in professional contexts. The curriculum is informed by current research in rhetoric and professional writing and is guided by the needs and practices of business, industry and the professions."
LAWS 4458,Introduction to Law and Literature,"Explores the intersection between law and literature and will provide an opportunity to think about the law by reading engaging works of fiction and non-fiction, viewing important films and examining the law from a humanistic and philosophical perspective."
LAWS 4521,The Law At Work,Designed to explore the basic legal requirements and limitations that govern the employer-employee relationship and inform human resource practices and policies. After completing this course students will have a(n): Clear understanding of the main features of current employment law; Ability to apply legal standards/reasoning to human resource problems; Knowledge necessary to develop effective and legal human resource policies; Awareness of the fluid nature of employment law.
LAWS 4618,Marijuana Law in Colorado,"Explores the aspects of marijuana's history, pharmacology, potential harms and medical uses needed for intelligent study of governing law. Discusses the Federal statutory law classifying marijuana as a Schedule 1 forbidden drug and Colorado's medical and recreational laws permitting marijuana use on specific conditions and the conflicts between the two."
LAWS 4700,Native American and Indigenous Peoples Law,"Examine international law in the context of the adoption of the United Nations Declaration on the Rights of Indigenous Peoples, which represents a global consensus on adopting a human rights based approach to Indigenous Peoples. Explores how the domestic and international regimes intersect and are developing, as well as implications for future work and we will also look to the development of laws by Native American and indigenous peoples themselves."
LAWS 4801,"Technology, Law and Society","Provides a comprehensive and rigorous overview of contemporary challenges and opportunities introduced by evolving technology. From the Internet to drones, robotics to smartphones, and machine learning to video games, recent advances in technology put pressure on venerable societal institutions. This class focuses on the technology and the institutions, giving a deeper understanding of how each evolve and react to changes."
LAWS 4808,Argument and Persuasion in American Law,"Explore the role of lawyers and their craft¿the art of persuasion¿in winning cases, shaping legislation, and influencing public policy and the development of social issues. Students will learn how lawyers and other legal actors use the techniques of persuasion to achieve desired results in courts, legislatures, and American society more generally. The course will study the rhetorical and narrative theories and techniques employed by lawyers, and will consider both historical and contemporary examples of great legal advocates at work in a variety of contexts. In the end, students will have a deeper understanding of the art of advocacy, and will be able to practice that art to advantage."
LAWS 5064,Legal Analysis,"Designed to help students develop the analytical skills necessary for success in law school and on the bar exam. Students will strengthen their core analytical skills, written communication skills, and ability to retain information. The ability to engage legal questions at the highest level is a skill that can be practiced and improved."
LAWS 5103,Legal Ethics & Professionalism: What Kind of Lawyer Do You Want to Be?,"Explores both the kind of law students might decide to practice and the ethical, personal and professional commitments central to the practice of law."
LAWS 5121,Contracts,"Covers basic principles of contract liability, offer, acceptance and consideration, statute of frauds, contract remedies, the parole evidence rule, performance of contracts, conditions, effect of changed circumstances, third-party beneficiaries, assignment and specific performance."
LAWS 5201,"Entrepreneurship, Innovation and Public Policy","Explores cutting edge questions around entrepreneurship, including being an entrepreneur, leadership and what makes a great founding team, building and scaling a business, entrepreneurial communities, financing entrepreneurial companies, leadership in government, entrepreneurship and innovation policy."
LAWS 5203,"Legal Ethics, Professionalism and Creative Problem Solving","Developing reflective, creative problem solving and ethical legal professionals by touching a core set of issues facing lawyers, including the duty of confidentiality to clients and the hazard of conflicts of interest, providing students with an opportunity to confront these challenges in an interactive and engaged environment."
LAWS 5205,Legislation and Regulation,"Introduces lawmaking in the modern administrative state. Examines the way Congress and administrative agencies adopt binding rules of law (statutes and regulations, respectively) and the way that implementing institutions, courts and administrative agencies, interpret and apply these laws. Considers the structure of the modern administrative state, the incentives that influence the behavior of the various actors, and the legal rules that help to structure the relationships among Congress, the agencies and the courts."
LAWS 5211,Framing and Legal Narrative,Thinking through the fundamental concepts that inform and animate different areas of law.
LAWS 5223,Legal Writing II,"Students prepare appellate briefs and related documents and deliver oral arguments before a three-judge court composed of faculty, upper-division students, and practicing attorneys. Practice arguments are videotaped and critiqued."
LAWS 5226,Legal Writing I,"Provides an intensive introduction to the resources available for legal research. Students also prepare written material of various kinds designed to develop research skills, legal writing style, and analysis of legal problems."
LAWS 5303,Civil Procedure,"Studies modern practice in civil suits, including rules governing pleading, joinder of parties, discovery, jurisdiction of courts over the subject matter and parties, right to jury trial, appeals, and res judicata and collateral estoppel, with emphasis on the Federal Rules of Civil Procedure and their Colorado counterpart."
LAWS 5313,Civil Procedure 2,"Studies modern practice in civil suits, including rules governing pleading, joinder of parties, discovery, jurisdiction of courts over the subject matter and parties, right to jury trial, appeals, and res judicata and collateral estoppel, with emphasis on the Federal Rules of Civil Procedure and their Colorado counterpart."
LAWS 5323,Courtroom Observation Civil,"An elective that requires 15 hours observing actual civil proceedings in a courtroom, attending a two-hour class meeting every other week, preparing and submitting a journal of recorded observations. Figuring out how to gain access to appropriate proceedings is part of the student's work, although the professor is available for advice and guidance."
LAWS 5425,Torts,"Studies nonconsensual allocation of losses for civil wrongs, focusing primarily on concepts of negligence and strict liability."
LAWS 5503,Criminal Law,"Studies statutory and common law of crimes and defenses, the procedures by which the law makes judgments as to criminality of conduct, the purposes of criminal law, and the constitutional limits upon it."
LAWS 5513,Courtroom Observation Criminal,"An elective that requires 15 hours observing actual criminal proceedings in a courtroom, attending a two-hour class meeting every other week, preparing and submitting a journal of recorded observations. Figuring out how to gain access to appropriate proceedings is part of the student's work, although the professor is available for advice and guidance."
LAWS 5624,Property,"Topics include personal property, estates and interests in land, landlord-tenant, basic land conveyancing, and private land use controls."
LAWS 5634,Property 2,"Topics include personal property, estates and interests in land, landlord-tenant, basic land conveyancing, and private land use controls."
LAWS 5646,Foundations of Legal Research,Designed to move students from the brief introduction to legal research offered in the first-year legal writing classes to the problem-centered research students will perform starting in the summer after their first year. Provides students with a conceptual understanding of the organization and connectivity of legal authority and with instruction in research methodology at both the project and resource levels.
LAWS 5803,Courtroom Observation International,"An elective that requires fifteen hours observing proceedings before an international tribunal(s), attending a two-hour class meeting every other week, preparing and submitting a journal of recorded observations. The proceedings observed will be available streaming online and the professor will provide information about how to gain access to them."
LAWS 6001,Commercial Transaction,
LAWS 6002,Public Land Law,"Deals with the legal status and management of resources on federal lands, including national forests, parks and BLM lands. Explores federal law, policy, and agency practice affecting the use of mineral, timber, range, water, wildlife and wilderness resources on public lands."
LAWS 6004,Real Estate Transactions,"Focuses on legal issues that arise in all phases of real estate transactions, with an emphasis on the role of the lawyer in the business of real estate as well as on the regulation of real estate markets."
LAWS 6005,Constitutional Law,"Studies constitutional structure: judicial review, federalism, separation of powers; and constitutional rights of due process and equal protection."
LAWS 6007,Income Taxation,Emphasizes the fundamentals of the federal income tax system and examines its impact on the individual. 
