MATH 1005,Introduction to College Mathematics,Introductory level mathematics course which presents a college level introduction to algebraic functions and their applications. Only offered through the Student Academic Service Center.
MATH 1011,College Algebra,"Covers simplifying algebraic expressions, factoring, linear and quadratic equations, inequalities, exponentials, logarithms, functions, graphs and systems of equations. Department enforced prerequisite: one year high school algebra. "
MATH 1012,Quantitative Reasoning and Mathematical Skills,"Promotes mathematical literacy among liberal arts students. Teaches basic mathematics, logic, and problem-solving skills in the context of higher level mathematics, science, technology, and/or society. This is not a traditional math class, but is designed to stimulate interest in and appreciation of mathematics and quantitative reasoning as valuable tools for comprehending the world in which we live. "
MATH 1021,College Trigonometry,"Covers trigonometric functions, identities, solutions of triangles, addition and multiple angle formulas, inverse and trigonometric functions and laws of sines and cosines. Department enforced prerequisite: MATH 1011 (minimum grade C-) or 11/2 years of high school algebra and 1 year of high school geometry. "
MATH 1071,Finite Mathematics for Social Science and Business,"Discusses systems of linear equations and introduces matrices, linear programming, and probability."
MATH 1081,Calculus for Social Science and Business,"Covers differential and integral calculus of algebraic, logarithmic and exponential functions. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
MATH 1110,Mathematics for Elementary Educators 1,"Includes a study of problem solving techniques in mathematics and the structure of number systems. Department enforced prereq., one year of high school algebra and one year of geometry. Department enforced restriction: restricted to prospective elementary teachers."
MATH 1112,Mathematical Analysis in Business,"Gives students experience with mathematical problem solving in real business contexts. Students will work with data and spreadsheets to build and analyze mathematical models. Themes of the course include applying logical operators to model business rules, interpreting data and using tables and graphs, finding break-even and optimal points, and addressing uncertainty and forecasting "
MATH 1120,Mathematics for Elementary Educators 2,"Topics include geometry, measurement, probability, and statistics. Department enforced restriction: restricted to prospective elementary teachers."
MATH 1130,Mathematics from the Visual Arts,Introduces mathematical concepts through the study of visual arts.
MATH 1150,Precalculus Mathematics,"Develops techniques and concepts prerequisite to calculus through the study of trigonometric, exponential, logarithmic, polynomial and other functions. For more information about the math placement referred to in the Enrollment Requirements, please contact your academic advisor. "
MATH 1151,Precalculus Supplemental Lab,Provides students concurrently enrolled in MATH 1150 with supplemental instruction.
MATH 1160,"Transition to Calculus (IBL): The Theory, Applications and Analysis of Functions","Examines the functions of calculus and how they can be used to model concrete problems and/or change. This is an intensive study of these functions through Inquiry-Based Learning. Each class will be designed so students will be actively engaged in learning the material in small groups. For more information about the math placement referred to in the Enrollment Requirements, please contact your academic advisor."
MATH 1212,Data and Models,Engages students in statistical and algebraic problem solving through modeling data and real world questions taken from the social and life sciences. The course will emphasize these skills and the mathematical background needed for a university level statistics course. 
MATH 1300,Calculus 1,"Topics include limits, derivatives of algebraic and transcendental functions, applications of the derivative, integration and applications of the definite integral. Students who have already earned college credit for calculus 1 are eligible to enroll in this course if they want to solidify their knowledge base in calculus 1. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
MATH 1310,Calculus for Life Sciences,"Calculus concepts are developed through the analysis and modeling of complex systems, ranging from gene networks and cells to populations and ecosystems. Fundamental concepts of probability and statistics are also developed through the lens of calculus. MATH 1300 is similar, but a greater emphasis is placed on relevance and applications in biology and other life sciences. Students who have already earned college credit for calculus 1 are eligible to enroll in this course if they want to solidify their knowledge base in calculus 1. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
MATH 1330,Calculus for Economics and the Social Sciences,"A calculus course intended to meet the needs of social science and economics majors, including applications. Covers differential and integral calculus of algebraic, logarithmic and exponential functions and modeling. For more information about the math placement referred to in the Enrollment Requirements, contact your academic advisor. "
MATH 2001,Introduction to Discrete Mathematics,"Introduces the ideas of rigor and proof through an examination of basic set theory, existential and universal quantifiers, elementary counting, discrete probability, and additional topics. "
MATH 2002,Number Systems: An Introduction to Higher Mathematics,"Introduces the concepts of mathematical proofs using the construction of the real numbers from set theory. Topics include basic logic and set theory, equivalence relations and functions, Peano's axioms, construction of the integers, the rational numbers and axiomatic treatment of the real numbers. "
MATH 2130,Introduction to Linear Algebra for Non-Mathematics Majors,"Examines basic properties of systems of linear equations, vector spaces, inner products, linear independence, dimension, linear transformations, matrices, determinants, eigenvalues, eigenvectors and diagonalization. Intended for students who do not plan to major in Mathematics. Formerly MATH 3130."
MATH 2135,Introduction to Linear Algebra for Mathematics Majors,"Examines basic properties of systems of linear equations, vector spaces, inner products, linear independence, dimension, linear transformations, matrices, determinants, eigenvalues, eigenvectors and diagonalization. Intended for students who plan to major in Mathematics. Formerly MATH 3135."
MATH 2300,Calculus 2,"Continuation of MATH 1300. Topics include transcendental functions, methods of integration, polar coordinates, differential equations, improper integrals, infinite sequences and series, Taylor polynomials and Taylor series. Department enforced prerequisite: MATH 1300 or MATH 1310 or APPM 1345 or APPM 1350 (minimum grade C-). "
MATH 2380,Mathematics for the Environment,"An interdisciplinary course where environmental issues, such as climate change, global epidemics, pollution, population models and kinship relations of Australian Aborigines are studied with elementary mathematics (such as fuzzy logic). Similar techniques are applied to analyze other current events, such as surveillance, economic meltdowns, identity theft and media literacy. Department enforced prerequisite: proficiency in high school mathematics."
MATH 2400,Calculus 3,"Continuation of MATH 2300. Topics include vectors, three-dimensional analytic geometry, partial differentiation and multiple integrals, and vector analysis. Department enforced prerequisite: MATH 2300 or APPM 1360 (minimum grade C-). "
MATH 2510,Introduction to Statistics,"Elementary statistical measures. Introduces statistical distributions, statistical inference, hypothesis testing and linear regression. Department enforced prerequisite: two years of high school algebra."
MATH 3001,Analysis 1,"Provides a rigorous treatment of the basic results from elementary Calculus. Topics include the topology of the real line, sequences of numbers, continuous functions, differentiable functions and the Riemann integral."
MATH 3110,Introduction to Theory of Numbers,"Studies the set of integers, focusing on divisibility, congruences, arithmetic functions, sums of squares, quadratic residues and reciprocity, and elementary results on distributions of primes."
MATH 3120,Functions and Modeling,"Engages the students in daily projects and occasional in-class labs designed to strengthen and expand knowledge of the topics in secondary mathematics, focusing especially on topics from algebra, precalculus and calculus. Projects and labs involve the use of multiple representations, transformations, data analysis techniques and interconnections among ideas from geometry, algebra, probability and calculus."
MATH 3130,Introduction to Linear Algebra,"Examines basic properties of systems of linear equations, vector spaces, inner products, linear independence, dimension, linear transformations, matrices, determinants, eigenvalues, eigenvectors and diagonalization. "
MATH 3135,Honors Introduction to Linear Algebra,"Examines basic properties of systems of linear equations, vector spaces, inner products, linear independence, dimension, linear transformations, matrices, determinants, eigenvalues, eigenvectors and diagonalization. "
MATH 3140,Abstract Algebra 1,"Studies basic properties of algebraic structures with a heavy emphasis on groups. Other topics, time permitting, may include rings and fields."
MATH 3170,Combinatorics 1,"Covers basic methods and results in combinatorial theory. Includes enumeration methods, elementary properties of functions and relations, and graph theory. Emphasizes applications."
MATH 3210,Euclidean and Non-Euclidean Geometry,"Axiomatic systems; Euclid's presentation of the elements of geometry; Hilbert's axioms; neutral, Euclidean and non-Euclidean geometries and their models."
MATH 3430,Ordinary Differential Equations,"Involves an elementary systematic introduction to first-order scalar differential equations, nth order linear differential equations, and n-dimensional linear systems of first-order differential equations. Additional topics are chosen from equations with regular singular points, Laplace transforms, phase plane techniques, basic existence and uniqueness and numerical solutions. Formerly MATH 4430."
MATH 3450,Introduction to Complex Variables,"Theory of functions of one complex variable, including integrals, power series, residues, conformal mapping, and special functions. Formerly MATH 4450."
MATH 3510,Introduction to Probability and Statistics,"Introduces the basic notions of Probability: random variables, expectation, conditioning, and the standard distributions (Binomial, Poisson, Exponential, Normal). This course also covers the Law of Large Numbers and Central Limit Theorem as they apply to statistical questions: sampling from a random distribution, estimation, and hypothesis testing. "
MATH 3850,Seminar in Guided Mathematics Instruction,"Provides learning assistants with an opportunity to analyze assessment data for formative purposes and develop instructional plans as a result of these analyses. These formative assessment analyses will build on the literature in the learning sciences. Students gain direct experiences interacting with the tools of the trade, especially with actual assessment data and models of instruction. Restricted to learning assistants in Math."
MATH 4000,Foundations of Mathematics,Focuses on a complete deductive framework for mathematics and applies it to various areas. Presents Goedel's famous incompleteness theorem about the inherent limitations of mathematical systems. Uses idealized computers to investigate the capabilities and limitations of human and machine computation. 
MATH 4001,Analysis 2,"Provides a rigorous treatment of infinite series, sequences of functions and an additional topic chosen by the instructor (for example, multivariable analysis, the Lebesgue integral or Fourier analysis). "
MATH 4120,Introduction to Operations Research,"Studies linear and nonlinear programming, the simplex method, duality, sensitivity, transportation and network flow problems, some constrained and unconstrained optimization theory, and the Kuhn-Tucker conditions, as time permits. "
MATH 4140,Abstract Algebra 2,"Explores some topic that builds on material in MATH 3140. Possible topics include (but are not limited to) Galois theory, representation theory, advanced linear algebra or commutative algebra. "
