MBAX 6000,Socially Responsible Enterprise,"Prepares future managers for confronting the truly difficult situations that arise when deploying economic resources, altering the physical environment, and making decisions that affect the lives of investors, employees, community members and other stakeholders. Case-based challenges will be examined in a broad range of contexts, and essential ethical concepts will be explored by drawing on theories from ethics, sociology, economics, political science and philosophy."
MBAX 6051,Strategy,"Analyzes how firms can attain and sustain competitive advantage in today's competitive environment. Focuses on industry dynamics, competitive positioning, firm capabilities, and corporate innovation. Introduces a set of tools for assisting managers in solving complex, real-world business problems in strategy development. Integrates MBA learning in functional areas, and emphasizes the fit between competitive analysis and the role of management and organization."
MBAX 6080,Decision Modeling and Applications,"Integrates topics from decision analysis and operations management as they relate to modeling management decisions. Field projects involve the university, local companies, and/or government agencies."
MBAX 6100,Entrepreneurship,Examines the environments of entrepreneurial firms from start-up to development of ventures. Allows students to assess their fit with entrepreneurial firms. Key element is learning the process of determining the difference between ideas and commercializable opportunities through feasibility analysis and plans.
MBAX 6101,Entrepreneurship,Examines the environments of entrepreneurial firms from start-up to development of ventures; allows students to assess their fit with entrepreneurial firms. A key element is learning the process of determining the difference between ideas and commercializable opportunities through feasibility analysis and plans.
MBAX 6105,Design Thinking for National Security,Covers research topics of current interest in computer science that does not fall into a standard subarea.
MBAX 6110,Entrepreneurial Finance,"Addresses a variety of topics including financial valuation, various sources of funds, structures and legal issues in arranging financing, the private and public venture capital markets, and preparation for, and execution of, an initial public securities offering."
MBAX 6111,Entrepreneurial Finance,"Addresses a variety of topics including financial valuation, various sources of funds, structures and legal issues in arranging financing, the private and public venture capital markets, and preparation for, and execution of, an initial public securities offering."
MBAX 6130,Sustainable Venturing,"Focuses on environmentally sustainable business ventures as well as issues associated with starting and operating a business that solves natural environmental challenges while achieving profitability. Includes a number of case studies, topical discussions, talks by environmental entrepreneurs, and an applied or library research project."
MBAX 6140,Social Entrepreneurship in Emerging Markets,"Social entrepreneurs adopt business approaches to solving global, social and environmental problems that have not been effectively addressed by government, business or traditional nonprofits. The course provides a framework for student teams to assist social entrepreneurs in developing countries, helping them achieve their social mission while operating sustainably and with measurable impact. "
MBAX 6160,Entrepreneurship: High Growth Companies,"Explores the initial decisions that set a foundation for business growth, the pros and cons of alternative growth strategies, organizational scaling tactics, and the keys to realizing value. Studying ¿adolescent¿ firms that are past the initial start-up stage but haven't evolved into mature businesses, we will focus on key choices founders face in scaling their businesses, investigating growth-related stumbling blocks and discussing alternative strategies that may be used to overcome these obstacles."
MBAX 6170,New Venture Creation,"This course content is relevant to the student who wants the entrepreneurial toolkit, start a new venture, is interested in working in the startup world, would like to effectively evaluate the probability of success for a new venture and/or develop a methodology for entrepreneurial thinking that provides benefits for big and small ventures. The final deliverable is a professional pitch to a group of seasoned investors and the submission of a complete business plan."
MBAX 6171,New Venture Creation,"This course content is relevant to the student who wants the entrepreneurial toolkit, start a new venture, is interested in working in the startup world, would like to effectively evaluate the probability of success for a new venture and/or develop a methodology for entrepreneurial thinking that provides benefits for big and small ventures. The final deliverable is a professional pitch to a group of seasoned investors and the submission of a complete business plan."
MBAX 6180,New Venture Launch,"Translate an existing product, service, or opportunity into a real, functioning venture. Each venture will undertake typical business functions (legal, raising money, web presence, selling, innovation, marketing, managing cash, and managing operations) with minimal resources. The course will rely heavily on outside experts and speakers who have personal experience being or working directly with entrepreneurs and/or investors. The course is a natural capstone to other courses in the entrepreneurship curriculum. "
MBAX 6190,Projects in Entrepreneurial Companies,"Limited to 12 students per section, each student is matched with an entrepreneurial company to complete a project that is key to company strategy. Students experience total company environment from the top management level through attending management meetings and interacting with cross-functional managers and employees. E-mail and face-to-face meetings result in discussing opportunities and issues resulting from experiences in companies. "
MBAX 6195,Special Topics in Entrepreneurship,Provides a vehicle for the development and presentation of new topics with the potential of being incorporated into the standard MBA curriculum. 
MBAX 6210,Applied Financial Management,"Analyzes the financial condition, planning, and control of current assets, current liabilities, and long-term financial arrangements. Topics include financial planning, managing working capital, short- and long-term financing, capital budgeting, valuation, and capital structure policies. Case studies are emphasized."
MBAX 6211,Applied Financial Management,"Focuses on how to apply key concepts in finance to real-world situations. Topics include valuation, capital structure, highly leveraged transactions, and financial distress and bankruptcy. Heavy emphasis on how to perform various kinds of valuations. Mixture of lectures and case discussions."
MBAX 6220,Investment Management and Analysis,"Covers managing investment portfolios by blending academic theories and evidence with practitioner experience. Topics include risk and return relationships, securities, value theory (capital asset, arbitrage, and option pricing), portfolios, and performance evaluations."
MBAX 6221,Investment Management & Analysis,"Covers managing investment portfolios by blending academic theories and evidence with practitioner experience. Topics include risk and return relationships, securities, value theory (capital asset, arbitrage, and option pricing), portfolios, and performance evaluations."
MBAX 6230,International Financial Management,"Examines the financial procedures, policies, and risks faced by firms conducting business internationally. Topics include examining the international finance environment, managing foreign exchange risk exposure, managing international working capital, conducting analysis, and developing an understanding of international financial markets."
MBAX 6240,"Financial Markets, Institutions and Regulations","Focuses on the legal and regulatory issues surrounding complex transactions that involve change of ownership. Topics include law/regulation issues affecting all stakeholders involved in corporate restructing transactions, the legal aspects of the corporate bankruptcy process and the practical aspects of raising capital, such as understanding the instruments and the institutions involved in the financing activities of firms at different stages in their lifecycle, road shows and the mechanics of pursuing initial public offering."
MBAX 6250,Derivative Securities,"Derivatives, like options, futures, forwards, and swaps, encompass all aspects of finance. Topics cover the characteristics, valuation, and trading strategies associated with derivatives as well as their use in risk management."
MBAX 6260,Fixed Income Investing,"Fixed income securities are those that nominally promise a fixed stream of payments. They include government and corporate long and short term debt issues that far exceed the amount of corporate stock issues, as well as long term personal debt (i.e.,home mortgages). Develops practical analytical tools for describing risk and return in fixed income securities, the markets where they are traded, and their purchase and management by financial intermediaries. This course will utilize the Bloomberg Lab to provide students with real world fixed income security analysis."
MBAX 6270,Applied Derivatives,"Covers applications of financial derivatives and a range of topics, from market risk management to liquidity and counter party risk management in contemporary finance. Specifically, the course examines the pricing and use of financial derivatives, including options, forwards, futures, swaps and credit derivatives in risk management."
MBAX 6280,Entrepreneurship Valuation and Investment Seminar,"First section in series of three: Provides a premier experiential learning experience in early stage investing. Students will develop an understanding of the mechanics of early stage investing, will learn how to evaluate, select and recommend investments and manage the portfolio, put in practice managerial skills, negotiation, financial analysis, presentation skills, mastering/negotiating legal terms, and to incorporate uncertainty into projecting cash flows."
MBAX 6281,Entrepreneurship Valuation and Investment Seminar2,"Second section in series of three: Provides a premier experiential learning experience in early stage investing. Students will develop an understanding of the mechanics of early stage investing, will learn how to evaluate, select and recommend investments and manage the portfolio, put in practice managerial skills, negotiation, financial analysis, presentation skills, mastering/negotiating legal terms, and to incorporate uncertainty into projecting cash flows. "
MBAX 6282,Entrepreneurship Valuation and Investment Seminar 3,"Third section in series of three: Provides a premier experiential learning experience in early stage investing. Students will develop an understanding of the mechanics of early stage investing, will learn how to evaluate, select and recommend investments and manage the portfolio, put in practice managerial skills, negotiation, financial analysis, presentation skills, mastering/negotiating legal terms, and to incorporate uncertainty into projecting cash flows."
MBAX 6290,Textual Analysis in Business,"This course will discuss basic ideas around natural language processing (NLP) in research in different dismal science disciplines, from Economics to Psychology and Political Science, with a bent/focus on financial markets and accounting statements. The course is meant for graduate students as an introductory course on textual analysis, with an emphasis on methods and applications in Finance and Accounting. The language of choice for the course will be R. The course will be multilingual in that both the faculty and students can use other languages than R (python/perl/C). "
MBAX 6300,Marketing Communication,"Focuses on the strategic and decision making aspects of marketing communication from a managerial perspective. Increases students' understanding of specific decision elements within an integrated marketing communications framework. Topics include promotional objectives, agency relations, media selection, budgeting, and advertising research. Also explores relevant advertising models and the economic and social effects of promotional activity."
MBAX 6301,Marketing Communications,"Focuses on the strategic and decision-making aspects of marketing communication from a managerial perspective. Designed to increase students' understanding of specific decision elements within an integrated marketing communications framework. Topics covered include promotional objectives, agency relations, media selection, budgeting, and advertising research. Explores relevant advertising models and the economic and social effects of promotional activity."
MBAX 6310,Marketing Strategy,"Marketing strategy has developed into an increasingly critical managerial activity as businesses recognizethe importance of creating customer value and being customer oriented. Discusses key elements of successful marketing strategy including market/customer analysis and competitor analysis, and identifies strategic approaches managers may adopt to succeed in today's highly competitive and rapidly changing business environment."
MBAX 6311,Marketing Strategy,"Marketing strategy is a critical managerial activity that recognizes the importance of a strong market focus and the delivery of superior customer value as bases for long term financial success. This course examines key elements of successful marketing strategy including optimal market definition, strong segmentation and positioning approaches, high levels of customer satisfaction, and effective management of critical exchange relationships."
MBAX 6330,Market Intelligence,"Market Intelligence is a decision-oriented course geared toward gathering, analyzing, and interpreting data about markets and customers. Students learn how to: define the marketing problem and determine what information is needed to make the decision; acquire trustworthy and relevant data and judge its quality; analyze the data and acquire the necessary knowledge to make certain classic types of marketing decisions."
