MCDB 1020,"Introduction to Molecular, Cellular and Developmental Biology Major","Introduces students to the Molecular and Cellular Biology major. Provides an overview of the major and how it differs from other CU biology programs; how to get involved in clubs, research, and/or internship opportunities; strategies for succeeding in MCDB courses; and career options. This is a first-year colloquium course specifically designed for freshman and other students exploring their educational and career opportunities in our department. "
MCDB 1030,Introduction to Molecular Biology,"Introduces the foundation of molecular, cell, developmental and evolutionary biology in the context of human development and disease. Including how the immune system works to protect us from infections and technologies being developed towards the goal of better health around the world. For nonmajors."
MCDB 1041,Fundamentals of Human Genetics,"Covers the basic principles of genetics, human pedigree analysis, and how genetic diseases affect DNA, RNA, and proteins. Considers implications of this research for medicine and society. For nonmajors. "
MCDB 1043,Exploring Genetics Laboratory,"Provides hands-on experience with fundamental genetic principles. Topics include scientific method, experimental design, mitosis, meiosis, classical genetics, molecular genetics, mutagenesis, DNA analysis, and transgenic organisms. Wherever possible, the focus of the lab will be on integrating science process skills with human-relevant experiments to encourage students to learn and apply science skills while seeing the application to humans. "
MCDB 1111,"Core Concepts in Biology I: Evolutionary, Molecular and Cell Biology","Web-based, in-class discussion course covering the fundamental properties shaping living systems. Uses evolutionary (including social) and physical-chemical mechanisms to frame molecular, cellular and organismic processes. Interpreting and answering questions scientifically as well as quantitative reasoning skills are stressed. Fulfills the MCDB major's requirement for MCDB 1150. "
MCDB 1150,Introduction to Cellular and Molecular Biology,"Covers biologically important macromolecules and biological processes, together with an introduction to cell structure, function, and physiology. Provides the foundation for advanced MCDB courses to majors, and a rigorous overview of modern biology to non-majors. "
MCDB 1152,Problem Solving Co-Seminar for Introduction to Molecular and Cellular Biology,"Uses problem solving and other interactive group work to aid student learning in a corequisite course, MCDB 1150. Students will work in small groups on learning and practicing how to solve difficult conceptual problems, as well as using hands-on activities and concept mapping to help learn content. "
MCDB 1161,From Dirt to DNA: Phage Genomics Laboratory I,"Provides laboratory experience working on a bacteriophage genomics research project. Students will study novel bacteriophage they isolate from the environment. Topics covered include phage biology, bacteria and phage culturing and amplification, DNA isolation, restriction digest analysis, agarose gel electrophoresis, and electron microscopy. "
MCDB 1171,Drug Discovery Through Hands-on Screens I,"Provides introductory research and laboratory experience. Students will work in teams to screen small molecule libraries for novel antibiotics using the bacterium Salmonella as a model system. Topics covered include the basic biology of the model system, genetics, approaches to screening for new therapeutics, statistical analysis of the data, compound verification and lead compound development. "
MCDB 1181,Biological Probiotic/Drug Discovery Through Hands-on Screens,"Provides introduction to research and laboratory experience. Students will work in teams to screen novel mycobacterial strains for use as probiotics or immunoregulatory/anti-inflammatory drugs using THP-1 cells, a human monocytic cell line. Topics covered include the hygiene or Old Friends hypothesis, the human microbiome, approaches to screening for new probiotics of therapeutics and statistical analysis of the data. "
MCDB 1234,Skills Center: Modular Laboratory of Modern Molecular Biology Skills,Dedicated to teaching students fundamental laboratory skills in modern molecular biology. The skills are updated on a rolling basis in consultation with MCDB faculty and local Pharma/Biotech companies in an effort to provide students with real world skills that can help them transition from a traditional lab course environment to a more independent research environment. Credit hours are determined according to the Colorado Department of Higher Education guidelines such that 12.5 module hours equals one university credit hour. Students can mix and match various skills to receive one or more university credit hours and students who successfully complete a module are given a certificate recognizing their competency.
MCDB 2150,Principles of Genetics,"Introduces the behavior of genes and chromosomes in eukaryotic and prokaryotic organisms. Covers three areas: transmission genetics, molecular genetics, and population genetics. Attention is given to genetic mapping, recombinant DNA procedures, and gene expression. "
MCDB 2152,Problem Solving Co-Seminars for Genetics,"Uses problem solving and other interactive group work to aid student learning in MCDB 2150. Students will work in small groups on learning and practicing how to solve difficult conceptual problems, as well as using hands-on activities and concept mapping to help learn content. "
MCDB 2161,"From DNA to Genes, Phage Genomics Laboratory II","Provides laboratory experience working on a bacteriophage isolated during the previous semester. Topics include bioinformatics, genome annotation, open reading frame and RNA identification, BLAST analysis, phylogenetics and submission to a genomic database."
MCDB 2171,Drug Discovery Through Hands-On Screens 2,"Provides introductory research and laboratory experience. Students will work in teams to screen molecule libraries using fruit flies as a model system. Topics covered include the basic biology of the model system, genetics, approaches to screening for new therapeutics, statistical analysis of the data, compound verification and lead compound development. "
MCDB 2200,Introduction to Biophysical Methods: From Brains to Bonds,Provides a practical overview of modern biophysical methods used to study biological systems from whole body imaging methods to methods for investigating single molecules and molecular bonds. The goal of this course is to provide a broad survey of methods available to the modern biologist rather than a complete in-depth treatment of the physics and mathematics of each individual method.
MCDB 2222,"Core Concepts in Biology II: Genes, Genetics and Phenotypes","Web-based, in-class discussion course focused on the origins of genetic variation and inheritance, genome dynamics and gene expression and their relationship to phenotype(s). Interpreting, explaining and answering questions scientifically as well as quantitative reasoning are stress. Course fulfills the departmental requirement for MCDB 2150. "
MCDB 2350,"Understanding Cancer: Introduction to the disease¿s biology, medicine, and societal implications","A course for students who want to learn about cancer but have little or no background in biology. It is based on a text that presents relevant science and medicine in a readable and comprehensible way. Classes will be discussion of material from the text with weekly quizzes for feedback. The ethics and economics of cancer treatments will be discussed, along with ways to minimize one¿s own cancer risk and live with cancer if necessary."
MCDB 2840,Lower-Division Independent Study, Students with adequate prerequisites should take MCDB 4840.
