MUEL 1081,Basic Music Theory,"Introduction to music notation, meter and rhythm, scales, intervals, triads, seventh chords, fundamentals of harmonic progression, voice leading, aural skills and composition. For nonmusic majors who have little or no previous background in the subject."
MUEL 1115,Piano Class 1,Introduces the keyboard and music reading for nonmusic majors with no prior keyboard experience. Studies very easy classical and pop repertoire. No prior keyboard experience or instructor consent required.
MUEL 1125,Piano Class II,"Continuation of MUEL 1115. Focuses on development of music reading. Studies technical patterns, easy classical and pop repertoire, and improvisation."
MUEL 1145,Guitar Class,A systematic study of the beginning literature and technique of the classical guitar with an emphasis on reading music. Designed for nonmusic majors with no prior musical experience. 
MUEL 1155,Intermediate Guitar,Studies the intermediate literature and technique of the classical and popular guitar. Emphasis on reading standard notation and chord charts. Designed for non- music majors. 
MUEL 1184,Voice Class,"Involves basic vocal technique and easy solo repertoire taught through a group medium, for beginner and intermediate level students. May be repeated upto 6 total credit hours. "
MUEL 1416,Introduction to Hand Percussion,Studies the literature and technique of hand percussion. Emphasizes African and Latin percussion techniques. Designed for non-music majors. 
MUEL 1832,Appreciation of Music,"Introduces music, including the fundamental elements of music, the history of the Western tradition and its composers, the development of American popular music and aspects of World Music."
MUEL 2031,Making Electronic Music,"Explores the history, scope, and creation of electronic music. Combining scholarly and creative assignments, students will analyze art and popular electronic music genres as well as compose their own works. In the process, they will gain an analytical vocabulary, knowledge of key historical figures, competency with production techniques and tools, and experience thinking and writing critically about music more generally. No previous music experience is assumed or required."
MUEL 2051,Introduction to Songwriting Techniques,"Introduce students to the art and craft of songwriting through (1) the analysis of great songs past and present (2) creative work (3) experimentation (4) collaboration (5) performance and possibly recording. We will examine form, melody, harmony, rhythm, lyric writing (i.e. points of view, logic, use of literary device, etc.), solo and collaborative ensemble performance, style and poise."
MUEL 2061,Introduction to Music Technology,"Surveys the various tools and techniques in the field of music technology. Topics include an introduction to basic synthesis, digital signal processing, MIDI and audio sequencing, music notation and a historical perspective on electronic music. "
MUEL 2071,Intro to Audio Recording,Introduces and explores basic concepts in audio recording from microphones to digital audio workstations. Also focuses on development of critical listening skills.
MUEL 2091,Intro to Audio Recording,Introduces and explores basic concepts in audio recording from microphones to digital audio workstations. Also focuses on development of critical listening skills.
MUEL 2184,Voice Class,"Continuation of MUEL 1184, with more advanced repertoire and vocal techniques. "
MUEL 2742,Wild West Soundscapes,Explores major historical theories of the American West in relationship to music from 1800 to the present. The musical traditions of marginalized groups are used as a variegated lens to explore Western U.S. history. The class may explore a wide range of musical genres and styles from chant to hymns to folk to rock to opera to the Hollywood soundtrack.
MUEL 2752,Music in American Culture,"Explores the role of music as a powerful cultural agent from the Colonial Period to the present. Focuses on influences from normative and marginalized musicians throughout American history. A wide range of musical styles and genres are studied to demonstrate themes of appropriation, appreciation, and syncretism. Teaches students to think critically about the relationships between culture, power, and identity."
MUEL 2762,Topics in Music and Drama,"Explores techniques used in combining music and dramatic arts, exploring a range of examples from musical and dramatic literature of the West or other world regions from circa 1000 to present. Specific course topics could cover any or all of these styles. Offered spring only."
MUEL 2772,World Musics: Asia and Oceania,Highlight music in Asia and Oceania using current ethnomusicological materials.
MUEL 2782,"World Music: Africa, Europe, and the Americas","Highlights music in Africa, Europe and the Americas using current ethnomusicological materials."
MUEL 2832,Musical Mavericks: Misfits and Geniuses,"Discover a range of avant-garde composers from the 20th and 21st centuries that challenged the essence of how music is made, the way music is heard, and the way art defines our current culture. Investigate a great body of music that pushes boundaries, redefines genres, and pioneers new directions in music. Explore ten composers who changed the musical landscape."
MUEL 2842,American Musical Theatre,"Provides an overview of the role of musical theatre in U.S. culture, emphasizing the 20th century Broadway musical."
MUEL 2852,Music in the Rock Era,"Examines Rock music and its subgenres, primarily as a fusion of African-American and European-American musical styles. Considers precursors to Rock style (e.g. Blues, Folk) and their contributions. Traces the development of Rock as an art form as well as its cultural significance and saturation from the 1960s to the end of the 20th century. Offered fall and spring semesters."
MUEL 2862,American Film Musical,"Examines the development of filmed musicals from the beginning of sound movies through the Golden Age of Musicals. Emphasizes analysis and relationships of characters, songs, and incidental music."
MUEL 2872,Heavy Metal,"Explores, discuss, debate and develop deeper understanding of Heavy Metal. Included are study of musical style characteristics and lyrical content, innovative performers, unifying elements of Heavy Metal culture and the diversity within it, and its role in the larger Rock and societal contexts. Issues of gender, religion, and sexuality in the Heavy Metal construct are also discussed."
MUEL 3051,Basic Composition,"Introduces the processes, materials, and forms of composition through the writing and performance of short musical works. Open to any student who already has rudimentary musical knowledge."
MUEL 3642,History of Jazz,"Surveys the distinctly American art form of jazz music from its origins to the present, including the various traditions, practices, historical events and people most important to its evolution. Offered fall and spring."
MUEL 3772,West African Music and Culture in Ghana,"Provides hands-on and experiential enrichment for students to interact at several levels with a local community in Ghana. Classroom lectures will be combined with direct participation in drumming and dancing, field trips to participate in festivals and court ceremonies, field trips to kente weaving village, adinkra cloth making, wood carving villages, and museums. "
MUEL 3822,Words and Music,"Explores the interaction between words and music in song. Students will consider how such features as rhyme, rhythm, tone, and the connotations of particular words contribute to meaning in poetry; how rhythm, tempo, dynamics, mood, and instrumentation contribute to meaning in music; and how words and music coalesce in song to make a new meaning."
MUEL 3832,Music in Literature,"Addresses literature that seeks either to explore the meaning of music or to make music out of words. Students will consider how musical concepts and techniques can be incorporated into poetry and prose, and will analyze the roles that writers have attributed to music in society, politics, and the life of the individual."
MUEL 3862,Music and Global Health,"Explores the ways in which music relates to health in different cultures including: Western art and popular music; ritual healings in Africa, Asia and Native and South America peoples; in relation to contemporary global health challenges."
MUEL 3872,Music in the Rock Era: Special Topics in Heavy Metal,"Explore, discuss, debate and develop deeper understanding of Heavy metal. Included are study of musical style characteristics and lyrical content, innovative performers, unifying elements of Heavy Metal culture and the diversity within it, and its role in the larger Rock and societal contexts. Issues of gender, religion, and sexuality in the Heavy Metal construct area also discussed."
