MUSC 1081,Intensive Music Theory,"Introduces diatonic harmony and voice leading with intensive work on fundamentals (keys, intervals, triads, seventh chords and four-voice writing). The study of theoretical concepts is closely coordinated with aural skills. Feeds into the intensive section of MUSC 1111. Offered fall only."
MUSC 1101,Semester 1 Theory,"Introduces the fundamentals of diatonic harmony and voice leading, focusing on model composition (including one-, two- and four-voice writing) and analysis of excerpts from music literature. Offered fall only."
MUSC 1103,Becoming a Music Teacher,"Provides an introduction to basic principles and practices of the music education profession. Explores contexts and methods of public school music teaching through class discussions, practice teaching and directed observations. Offered fall only."
MUSC 1111,Semester 2 Theory,"Continuation of MUSC 1101. Explores principles of harmony, voice leading and form. Continues emphasis on both model composition and analysis. Introduces chromatic elements (such as applied dominants and modulation), harmonic syntax and structural analysis of excerpts from music literature. Offered spring only."
MUSC 1121,"Aural Skills Lab, Semester 1","Focuses on sight singing, rhythm and dictation of diatonic melodies in major and minor keys (treble, alto and bass clefs). Covers identification of scale types, intervals, triads and dominant seventh chords. Includes individual and group improvisation. Offered fall only."
MUSC 1131,"Aural Skills Lab, Semester 2","Continuation of MUSC 1121. Focuses on sight singing, rhythm and dictation of diatonic melodies; adds chromatic elements, more complex rhythms and two-part dictation. Includes harmonic dictation using vocabulary from MUSC 1111. Includes individual and group improvisation within harmonic contexts. Offered spring only."
MUSC 1325,Piano Sight Reading,"Studies techniques for improving sight-reading skills at the keyboard, with practical work in solo, ensemble and choral literature. Also covers score reading and transposition. Restricted to piano majors or instructor consent required. Offered fall only."
MUSC 1326,Guitar Musicianship and Accompanying,"Survey of accompanying repertoire for guitar with solo instruments (flute, violin, voice, etc.), including introductory work in basso continuo. Activities in sight-reading, fretboard harmony and comprehension of harmony and texture. Some work will be tied to the repertoire being studied in studio lessons. Open only to guitar performance majors."
MUSC 1544,Italian Diction,"Designed for the understanding of lyric Italian diction, the international phonetic alphabet, and its application to classical singing. Required for freshmen BM voice majors. Offered fall only."
MUSC 1554,English Diction,"Designed for the understanding of lyric English diction, the international phonetic alphabet, and its application to classical singing as well as various musical styles of English classical voice literature. Required for Freshmen BM voice majors."
MUSC 1802,Introduction to Musical Styles and Ideas,"Introduces the study of musical traditions of the world; equips students with requisite skills for understanding and analyzing music as an art in historical and cultural contexts using an integrative approach that includes selected styles and genres, critical reading and writing skills and mastery of conceptual issues related to the discipline of music. Satisfies the World Music requirement for undergraduate students in the College of Music."
MUSC 2041,Applications of Music Technology (5-week segment),"Explores the use of technology, software, applications, and tools in a variety of creative, performance, pedagogical, and entrepreneurial contexts. Addresses the opportunities and challenges posed by evolving technologies. Emphasizes project-oriented learning."
MUSC 2061,Introduction to Music Technology,"Surveys the various tools and techniques in the field of music technology. Topics include an introduction to basic synthesis, digital signal processing, MIDI and audio sequencing, music notation and a historical perspective on electronic music. "
MUSC 2081,Prepared for the Soundcheck,Provides an overview of the recording process from the performer's perspective from soundcheck through final mastering. Uses recorded material from in-class sessions. Examines differing approaches to recording as well as current technologies. 
MUSC 2091,Recording Techniques,"Provides hands-on training in various audio recording techniques, acoustics and sound reinforcement, studio maintenance and troubleshooting. Real-world experience is gained through individual recording projects and College of Music events. "
MUSC 2101,Semester 3 Theory,"Continuation of MUSC 1111. Reviews harmonic and formal concepts from MUSC 1111. Introduces advanced chromatic concepts such as modal mixture, seventh chords with added dissonance, Neapolitan sixth chord and augmented-sixth chords. Explores in-depth structural analysis of musical works. Offered fall only."
MUSC 2103,Introduction to Music Education,Introduces students to the broad range of skills and responsibilities inherent to the music education profession. Explores current topics in public school music teaching while developing teaching skills through supervised field experience. Offered fall only.
MUSC 2111,Semester 4 Theory,"Continuation of MUSC 2101. Builds on and synthesizes harmonic, melodic and formal concepts from semesters 1-3. Includes writing about musical structure and analyzing relationships of musical structure to extramusical elements (such as text, performance technique, dance, staging, etc.). Introduces 20th century compositional techniques. Offered spring only."
MUSC 2121,"Aural Skills Lab, Semester 3","Continuation of MUSC 1131. Applies concepts from MUSC 2101 in performance (prepared, from sight and improvised) and analytical listening (transcription, diction and aural analysis). Offered fall only."
MUSC 2131,"Aural Skills Lab, Semester 4","Continuation of MUSC 2121. Applies concepts from MUSC 2111 in performance (prepared, from sight and improvised) and analytical listening (transcription, dictation and aural analysis. Offered spring only."
MUSC 2325,Applied Harmony for the Keyboard,"Provides an intensive study and application of the harmonic structure of music in a variety of keyboard skills: figured bass realization, chord progressions, harmonization, improvisation, transposition, on-sight harmonic analysis and playing by ear. Offered spring only."
MUSC 2365,Introduction to Accompanying,An overall study in the art of working with instrumentalists and singers including repertoire and orchestral reductions. Requires performance with a student instrumentalist or singer to be critiqued and coached by class and instructor. Offered spring only.
MUSC 2608,Alexander Technique,"Investigates the discoveries and writings of F. M. Alexander regarding kinesthetic perception, physical coordination and mind-body awareness. Applies these contexts to specific musical activities. "
MUSC 2772,World Musics: Asia and Oceania,Highlights music in Asia and Oceania using current ethnomusicological materials.
MUSC 2782,"World Musics: Africa, Europe, and the Americas","Use current ethnomusicological materials and methods in the study of music outside the Western art tradition. Usually taught in the spring, focuses on music cultures of Africa, Europe and the Americas."
MUSC 2918,Building Your Music Career,"Develop a broad range of tools needed for a professional career in music. Topics include networking, development and use of promotional materials, funding, social media and the internet and financial management, among others - all taught through an entrepreneurial lens. A range of career opportunities is explored, using the entrepreneurial process to assess and explore a variety of paths and opportunities. "
MUSC 2988,Introduction to Music Research,Introduces music research tools and basic writing skills to provide information fluency and skills necessary for successful composition of formal music research papers. Applies curricular goals to specific topics of students' choice. 
MUSC 2997,Sophomore Proficiency,To be completed by the second semester of the sophomore year.
MUSC 3013,String Class,For music education majors with choral/general emphasis. Develops basic performance skills on two or more string instruments. Addresses teaching strategies and other specialized topics related to string instruction. Offered fall only.
MUSC 3023,Woodwind Class,For music education majors with choral or choral/general emphasis. Develops basic performance skills on two or more woodwind instruments. Addresses teaching strategies and other specialized topics related to beginning and intermediate woodwind instruction. Offered spring only.
MUSC 3033,Brass Class,For music education majors with choral or choral/general emphasis. Develops basic performance skills on two or more brass instruments. Addresses teaching strategies and other specialized topics related to beginning and intermediate brass instruction. Offered spring only.
MUSC 3041,Instrumentation and Arranging,"Learn to create professional arrangements for a diverse combination of instruments and/or voices. The course will work through instrumentation, score and part preparation, and issues of orchestration to prepare music student to create successful arrangements for a wide range of concert music settings. Final arranging projects will be geared towards individual interests."
