NRSC 2100,Introduction to Neuroscience,"Provides an introduction to fundamental concepts in neuroscience. The goal of this first course is to provide a strong foundation in neurobiology-cell biology, physiology of the neuronal membrane, interneuronal communication, neurotransmission, gross anatomy, and how the brain develops. Students will also learn principles of sensory systems functions. Recitation will reinforce lecture concepts through discussion of current research."
NRSC 2101,Topics in Neuroscience,Provides students with the opportunity to focus on a specific area of Neuroscience in depth. 
NRSC 2200,Laboratory Techniques in Neuroscience,"Introduces students to many basic and essential laboratory skills in neuroscience research. Students will learn experimental methods and perform experiments depicting principles in neurophysiology, neuroanatomy, neurochemistry, and the fundamentals of neuroimaging techniques."
NRSC 4011,Senior Thesis,Senior Thesis credits are available for students during the semester that they write and defend a departmental Honors Thesis. A neuroscience honors thesis must be based on an empirical research project that the student directs/participates in under guidance from a faculty member. Contact the neuroscience director for further information.
NRSC 4015,Affective Neuroscience,"Experiencing and learning from affect--emotional value--is a fundamental part of the human experience. When people started thinking of brains as computers, research on emotion fell by the wayside. Recently however, this has changed, and there is an explosion of work on the brain mechanisms of affective value. Covers recent advances in understanding the emotional brain. "
NRSC 4032,Neurobiology of Learning and Memory,"Provides a comprehensive treatment of how the brain acquires, stores, and retrieves memories. To do this we will consider (a) the methods used to address these issues, (b) what we know about how brain systems are organized to support memories of different types,and (c) the synaptic mechanisms that are involved. "
NRSC 4042,Systems Neuroscience,"Explores the neurophysiology, neuroanatomy and function of human sensory systems, motor systems, sensorimotor integration and higher level neurosystem function. Credit not granted for PSYC/NRSC 4052 and NRSC 4042."
NRSC 4062,The Neurobiology of Stress,"Provides an introduction to the concept of stress and the physiological systems involved. Factors modulating stress vulnerability versus resilience, and stress interactions with other systems with health relevance will be explored. Emphasis will be placed on current research on brain mechanisms. Formerly PSYC 4062."
NRSC 4072,Clinical Neuroscience: A Clinical and Pathological Perspective,"Provides a review of the anatomy and physiology of the nervous system and then explores how alterations in these systems can result in neurologic or psychiatric disorders. Emphasizes pathological neuroanatomy, neurophysiology and neuropharmacology, which is essential for understanding problems related to health and disease. "
NRSC 4082,Neural Circuits of Learning and Decision Making,"Provides an in-depth survey of the neural mechanisms of learning, motivated behavior and decision making. Analysis will focus on the interaction of neural circuits underlying these processes with particular attention to the cellular, molecular and information-processing aspects of identified pathways and considered into the context learning-based and neuroeconomic models of choice. "
NRSC 4092,Behavioral Neuroendocrinology,Provides an introduction to neuroendocrinology with a focus on the interaction between hormones and brain function. 
NRSC 4132,Neuropharmacology,Study of drug action within the central nervous system. This course is designed to provide a fundamental understanding of the neurobiological and neurochemical mechanisms of drug action. Topics covered include the following: 1) principles of pharmacology; 2) brain neurotransmitter systems; 3) biochemical basis of psychiatric disorders and their pharmacological treatment. 
NRSC 4155,Cognitive Neuroscience/Neuropsychology,"Introduction to cognitive neuroscience and neuropsychology. Provides a survey of the neuropsychological underpinnings for a wide range of cognitive functions: vision, object recognition, attention, language, memory and executive function. One lab per week. "
NRSC 4420,Genetics of Brain and Behavior,"Examines the genetic underpinnings of animal behavior, including an examination of behavioral evolution and the use of genes as tools to examine neural architecture. We will cover topics including foraging, social behavior, personality, parental care and fear. We will explore these behaviors at multiple levels, including genomics, population genetics, molecular genetics, epigenetics, endocrinology and neurobiology. Fulfills MCDB scientific reasoning requirement. "
NRSC 4542,The Neurobiology of Mental Illness,"Provides in depth study of what is known concerning the neurobiology of mental illnesses, with a focus on depression and anxiety. Consideration will be given to both animal models and human work, with neurochemical, circuitry level, and neuroinflammatory processes to be highlighted. There will be discussion of the intricacies of determining the effectiveness of pharmacological treatments, and what the implications of such treatments might be."
NRSC 4545,Neurobiology of Addiction,"Covers an intensive survey and synthesis of recent findings contributing to our understanding of the neurobiological basis of addiction. Analysis of both drug and behavioral addictions will be made at the molecular, cellular and neurocircuitry levels and synthesized into models utilizing common themes between various addictions and contributing pathologies. "
NRSC 4561,Special Topics in Neuroscience,Presents and analyzes special interest topics from the broad and interdisciplinary field of neuroscience. The instructor determines the content of a particular section. Repeatable for up to 6.00 total credit hours.
