PHYS 1000,Preparatory Physics,"Introduces basic physics, emphasizing an analytical approach to prepare for PHYS 1110 and PHYS 1120, the engineering majors sequence. Does not satisfy any MAPS deficiency in either the sciences or math. Department enforced prerequisite: 1 year high school algebra."
PHYS 1010,Physics of Everyday Life 1,"Intended primarily for nonscientists, this course covers physics encountered in everyday life. Topics include balls, scales, balloons, stoves, insulation, light bulbs, clocks, nuclear weapons, basics of flashlights, and microwave ovens. Department enforced prereq., high school algebra or equivalent. This course should not be taken if the student has a MAPS deficiency in math."
PHYS 1020,Physics of Everyday Life 2,"Intended primarily for nonscientists, this course is a continuation of PHYS 1010. Includes electrical power generation and distribution, electrical motors, radio, television, computers, copiers, lasers, fluorescent lights, cameras, and medical imaging. Department enforced prereq., high school algebra."
PHYS 1110,General Physics 1,"Three lect., one rec. per week, plus three evening exams in the fall and spring semesters. First semester of three-semester sequence for science and engineering students. Covers kinematics, dynamics, momentum of particles and rigid bodies, work and energy, gravitation, simple harmonic motion and introduction to thermodynamics. "
PHYS 1115,General Physics 1 for Majors,"First semester of three semester sequence for physics, engineering physics and astronomy majors. Covers kinematics, dynamics momentum of particles and rigid bodies, work and energy, gravitation, simple harmonic motion and introduction to thermodynamics. "
PHYS 1120,General Physics 2,"Three lect., one rec. per week, plus three evening exams in the fall and spring semesters. Second semester of three-semester introductory sequence for science and engineering students. Covers electricity and magnetism, wave motion and optics. Normally is taken concurrently with PHYS 1140. "
PHYS 1125,General Physics 2 for Majors,"Three lect., one rec per week, plus three evening exams in the fall and spring semesters. Second semester of three semester introductory sequence for physics, engineering and astronomy majors. Covers electricity and magnetism, wave motion and optics. Normally is taken concurrently with PHYS 1140. "
PHYS 1140,Experimental Physics 1,"Introduces experimental physics through laboratory observation of a wide range of phenomena. Covers experiments on physical measurements, including mechanics, electricity & magnetism, and optics, with the mathematical analysis of physical errors associated with the experimental process."
PHYS 1230,Light and Color for Nonscientists,"Discusses light, color, vision, and perception. Covers reflection, refraction, lenses, and applications to photography and other methods of light sensing. Other topics include lasers and holography. Course is geared toward nonscience majors. Department enforced prereq., high school algebra or equivalent. Should not be taken by students with a math MAPS deficiency."
PHYS 1240,Sound and Music,"Explores the physical processes that underlie the diversity of sound and musical phenomena. Topics covered include the physical nature of sound, the perception of sound, the perception of pitch and harmony, musical instruments, synthesizers and samplers, and room acoustics. Geared toward nonscience majors. Department enforced prereq., high school algebra or equivalent. Should not be taken by students with a math MAPS deficiency."
