RUSS 1010,Beginning Russian 1,For students with no previous training in Russian. 
RUSS 1020,Beginning Russian 2,"A continuation of RUSS 1010. Provides a basic introduction to Russian language and life. Covers the basics of Russian grammar; classroom activities develop speaking, reading and comprehension skills. Course will have midterm and final. "
RUSS 1050,Intensive Beginning Russian,"Covers same material as RUSS 1010 and RUSS 1020 combined in one course. Focuses on acquiring basic grammar (all cases for nouns, adjectives and possessives, verb conjugations, in all three tenses), and ability to understand and speak basic everyday Russian. Develops basic reading and writing skills and provides exposure to the fundamentals of the Russian culture. "
RUSS 1900,Independent Study,
RUSS 2010,Second-Year Russian 1,"Review and continuation of basic skills learned in the first year: reading, writing, speaking, and oral comprehension. Department enforced prerequisite: RUSS 1020 or RUSS 1050 (minimum grade C-)."
RUSS 2020,Second-Year Russian 2,Continuation of RUSS 2010. Department enforced prerequisite: RUSS 2010 (minimum grade C-).
RUSS 2211,Introduction to Russian Culture,"Provides a chronological overview of civilization in the area now known as Russia, from its beginnings to the end of the Romanov dynasty, paying particular attention to the geographic, social, artistic, economic, and political forces that have combined to give the Russian people and their culture their unique characteristics. Taught in English."
RUSS 2221,Introduction to Modern Russian Culture,"Introduces students to major trends in Russian culture from the 1890's to the present, through the study of literature, art, architecture, music and film in an historical context. Addresses such questions as: how have past events affected Russian society? How can we use knowledge about Russia's past to understand social and cultural forces today? Taught in English. "
RUSS 2222,Sports and the Cold War,"Explores the multiple connections between sports and international politics during the Cold War in the Post-War period. Examines how the issues of class, nation, ethnicity, and gender intersect with sports and international politics by studying cases from various sport events since 1945. Taught in English."
RUSS 2231,Fairy Tales of Russia,"Provides a general introduction to fairy tales including various theoretical approaches to classifying and interpreting them; introduces students to a wide selection of Russian folk and fairy tales. Examines the cultural, social and political values they reflect, as well as the continuing influence of fairy tales and folk beliefs in Russian literature, music, folk art, and film, and in the political propaganda of the 20th century. Taught in English."
RUSS 2241,The Vampire in Literature and the Visual Arts,"Introduces students to the folkloric and historic origins of the vampire of contemporary culture. Students will read both Russian and Western literary works, analyzing the image of the vampire as represented in folk narrative, popular fiction and film. Students will learn to apply critical approaches to understanding the vampire metaphorically, symbolically and as a demonized other. Taught in English."
RUSS 2261,The Russian Short Story,"Introduces students to the short story as a unique literary form, emphasizing the significant contributions of Russian writers to both the short story genre and its criticism. Familiarizes students with various styles and subgenres of the short story, including the romantic, psychological, and supernatural tale, and allegorical and satirical tale. A good introduction to further literary or Russian studies. Taught in English."
RUSS 2271,"Space, Invention, and Wonder in Fairy Tales, Literature and Film","Explores the themes of space, invention, technology and wonder in fairy tales from Italian, Russian, French, German, and Spanish traditions in order to compare their transformation in different national and historical settings. Students analyze the intersection of fairy tales and science in literature and film. Counts for the Space Minor. Taught in English. "
RUSS 2471,Women in Russian Culture: From Folklore to the Nineteenth Century,"Explores the changing role and cultural images of women as reflected in Russian folklore, historical documents, costumes, icons, paintings and literature from medieval times to 19th century. Focuses on the way Russian women have transgressed boundaries of patriarchy and secured powerful positions in society and culture. Taught in English. "
RUSS 2501,Russia Today,"Introduces students to post-communist Russia, its politics, values and ideologies. Neither totalitarian nor liberal, contemporary Russia raises numerous questions about such ideological and cultural constructions as neo-liberalism and capitalism, nationalism, globalization, state power and popular vs. high cultures. Taught in English."
RUSS 3000,Advanced Conversation,Enables students to speak and understand contemporary Russian. Discussion topics and source materials vary. Department enforced prerequisite: RUSS 2010 (minimum grade C-).
RUSS 3010,Third-Year Russian 1,"Review of Russian grammar coordinated with reading, speaking, writing and understanding modern Russian. Uses some texts from modern Russian literature. Department enforced prerequisite: RUSS 2020 (minimum grade C-)."
RUSS 3020,Third-Year Russian 2,Continuation of RUSS 3010. Department enforced prerequisite: RUSS 3010 (minimum grade C-).
RUSS 3060,Advanced Russian for Heritage Speakers (Part 1),"Enhances heritage student competence and performance in Russian language. Offers intensive review of Russian grammar and focuses on developing advanced reading, writing and translation skills. Readings are selected from a wide range of contemporary writings that reflect current issues in Russia. "
RUSS 3211,History of Russian Cinema,Surveys Russian cinema in historical and cultural context from early 20th century to the present. Taught in English. 
RUSS 3221,Space Race in Russian and American Culture,"Explores facts and fantasies of American and Soviet cultural narratives accompanying the Space Race, focusing on the production of recorded history as a process of mythmaking during the Cold War. Ponders the significance of presenting astronauts as national heroes and constructing national identities around the triumphs and failures of the competing space programs in science, art, music, film, and journalism."
RUSS 3231,Laughter in Slavic Cultures,"Examines forms, genres and social functions of laughter in Slavic cultures (Russian, Polish, Czech, Serbian and others) and provides an introduction to literature and film of Eastern Europe. All readings are in English. Taught in English."
RUSS 3241,Red Star Trek: Russian Science Fiction Between Utopia and Dystopia,"Examines Russo-Soviet science fiction in literature and film. Within this popular genre, writers conceive and criticize social utopias, thus creating works situated between the poles of utopia and dystopia. Through discussions of Soviet and post-Soviet science fiction the course introduces a Russo-Soviet alternative modernity and studies its historical development. All readings are in English. Taught in English."
RUSS 3251,"Arctic Noir: Environment, Landscape and Literature of the Far North","Explores 19th- and 20th-century Russian and Nordic literature, film and television with a special emphasis on the role of extremes of geography and climate and physical space on the development of plot and character. Taught in English. "
RUSS 3301,Contemporary Issues in Russian Film,"Examines the relationship between politics, economics, aesthetics, and the way moral and social issues are treated in noteworthy Russian films from the last 20 years. Taught in English."
RUSS 3333,Spies Like Us: Espionage in the Culture of the Cold War and Beyond,Explores the figure of the spy in Western and Soviet/post-Soviet imagination of the Cold War period and after. Focuses on the constructions and transformations of the enemy concept in modern and post-modern societies. Taught in English.
RUSS 3601,Russian Culture Past and Present,"Russian culture from the ninth century to the present. Focuses on interdisciplinary exploration of literature, folklore, art, architecture and music through study in St. Petersburg. Taught in English. Offered abroad only."
RUSS 3701,Slavic Folk Culture: Ideals and Values in the Contemporary World,"Explores contemporary Slavic and American folk practices and investigates the possible origins and consequences of such practices. Focuses upon the value systems these practices represent, and ways that core values help to define identities and cultures. Topics include folk religion, magic, healing, life cycle and calendar rituals and folk music. Taught in English."
RUSS 3705,Crimes of Passion: Gender and Sexual Politics in Tolstoy's Russia,"Examines the historical evolution of gender and sexual politics and the status of women in the late Imperial Russian culture, with particular attention to the writings of Leo Tolstoy and his masterpiece Anna Karenina. Topics-based survey considers debates around marriage, sexuality and gender equality through analysis of primary text by Tolstoy and his contemporaries, as well as secondary materials in gender studies, literary criticism and intellectual history. Taught in English."
RUSS 3900,Independent Study,
RUSS 3930,Russian Internship,"Provides an academically supervised opportunity for upper-division students to earn credit while working for public or private organizations. Students apply skills and knowledge earned in the major, and supplement their work experience through directed readings and assignments. "
RUSS 4010,Advanced Conversation and Composition 1,"Review of all aspects of Russian grammar, with a focus on difficulties, vocabulary for communication at an advanced level and contextual usage. Includes intensive writing and editing of compositions on a variety of topics, reading of authentic Russian texts, interactive work with Russian media and fluent conversation in Russian that moves beyond functional proficiency. Department enforced prerequisite: RUSS 3020 (minimum grade C-). "
RUSS 4020,Advanced Conversation and Composition 2,"Review of all aspects of Russian grammar, with a focus on difficulties, vocabulary for communication at an advanced level and contextual usage. Includes intensive writing and editing of compositions on a variety of topics, reading of authentic Russian texts, interactive work with Russian media and fluent conversation in Russian that moves beyond functional proficiency. Department enforced prerequisite: RUSS 4010 (minimum grade C-). "
