STAT 2600,Introduction to Data Science,"Introduces students to importing, tidying, exploring, visualizing, summarizing, and modeling data and then communicating the results of these analyses to answer relevant questions and make decisions. Students will learn how to program in R using reproducible workflows. During weekly lab sessions students will collaborate with their teammates to pose and answer questions using real-world datasets."
STAT 3100,Applied Probability,"Studies axioms, counting formulas, conditional probability, independence, random variables, continuous and discrete distribution, expectation, joint distributions, moment generating functions, law of large numbers and the central limit theorem. "
STAT 3400,Applied Regression,"Introduces methods, theory, and applications of linear statistical models, covering topics such as estimation, residual diagnostics, goodness of fit, transformations, and various strategies for variable selection and model comparison. Examples will be demonstrated using statistical programming language R."
STAT 4000,Statistical Methods and Application I,"Introduces exploratory data analysis, probability theory, statistical inference, and data modeling. Topics include discrete and continuous probability distributions, expectation, laws of large numbers, central limit theorem, statistical parameter estimation, hypothesis testing, and regression analysis. Considerable emphasis on applications in the R programming language. "
STAT 4010,Statistical Methods and Applications II,"Expands upon statistical techniques introduced in STAT 4000. Topics include modern regression analysis, analysis of variance (ANOVA), experimental design, nonparametric methods, and an introduction to Bayesian data analysis. Considerable emphasis on application in the R programming language. "
STAT 4100,"Markov Processes, Queues, and Monte Carlo Simulations","Brief review of conditional probability and expectation followed by a study of Markov chains, both discrete and continuous time, including Poisson point processes. Queuing theory, terminology and single queue systems are studied with some introduction to networks of queues. Uses Monte Carlo simulation of random variables throughout the semester to gain insight into the processes under study. "
STAT 4230,Stochastic Analysis for Finance,"Studies mathematical theories and techniques for modeling financial markets. Specific topics include the binomial model, risk neutral pricing, stochastic calculus, connection to partial differential equations and stochastic control theory. "
STAT 4250,Data Assimilation in High Dimensional Dynamical Systems,"Develops and analyzes approximate methods of solving the Bayesian inverse problem for high-dimensional dynamical systems. After briefly reviewing mathematical foundations in probability and statistics, the course covers the Kalman filter, particle filters, variational methods and ensemble Kalman filters. The emphasis is on mathematical formulation and analysis of methods. "
STAT 4400,Advanced Statistical Modeling,"Introduces methods, theory and applications of modern statistical models, from linear to hierarchical linear models, to generalized hierarchical linear models, including hierarchical logistic and hierarchical count regression models. Topics such as estimation, residual diagnostics, goodness of fit, transformations, and various strategies for variable selection and model comparison will be discussed in depth. Examples will be demonstrated using statistical programming language R."
STAT 4430,Spatial Statistics,"Introduces the theory of spatial statistics with applications. Topics include basic theory for continuous stochastic processes, spatial prediction and kriging, simulation, geostatistical methods, likelihood and Bayesian approaches, spectral methods and an overview of modern topics such as nonstationary models, hierarchical modeling, multivariate processes, methods for large datasets and connections to spines. "
STAT 4520,Introduction to Mathematical Statistics,"Examines point and confidence interval estimation. Principles of maximum likelihood, sufficiency, and completeness: tests of simple and composite hypotheses, linear models, and multiple regression analysis if time permits. Analyzes various distribution-free methods. "
STAT 4540,Introduction to Time Series,"Studies basic properties, trend-based models, seasonal models modeling and forecasting with ARIMA models, spectral analysis and frequency filtration. "
STAT 4610,Statistical Learning,"Consists of applications and methods of statistical learning. Reviews multiple linear regression and then covers classification, regularization, splines, tree-based methods, support vector machines, unsupervised learning and Gaussian process regression. "
STAT 4630,Computational Bayesian Statistics,"Introduces Bayesian statistics, normal and non-normal approximation to likelihood and posteriors, the EM algorithm, data augmentation, and Markov Chain Monte Carlo (MCMC) methods. Additionally, introduces more advanced MCMC algorithms and requires significant statistical computing. Examples from a variety of areas, including biostatistics, environmental sciences, and engineering, will be given throughout the course. "
