THTR 1003,Acting 1,"Introductory course designed to explore creativity, collaboration and communication in the craft of acting. Focuses on basic terms and concepts of psychological realism fundamental to the actors' process through solo work and ensemble exercises. Open to majors and non-majors."
THTR 1009,Theatre and Society,Explores the importance of telling (and listening) to stories from the stages of the world; in theatre we learn what people value in their time and place. Investigates the range of genres of theatre in today's society and how theatrical artwork is devised and presented. Ideal for non-majors.
THTR 1011,Global Theatre 1: Live Performance to Shakespeare,"Travels across four continents exploring live performance from the beginning of recorded history to Shakespeare through various forms of theatrical storytelling including masked dramas, shadow puppets, kabuki, passion plays and commedia."
THTR 1019,Script Laboratory: Text Analysis and Practice for the Theatre,Introduces fundamental methods of text analysis for performance. Equips theatre makers with common vocabulary and concepts to more effectively communicate when collaborating with other artists. Provides tools for analyzing any narrative art form.
THTR 1105,Stage Technologies,"Introduces technical production elements and procedures, including materials, organizations, methods and equipment to realize theatrical scenery, properties, lighting and sound."
THTR 1115,Costume Technologies,"Introduces technical production elements and procedures including materials, organizations, methods and equipment to realize theatrical costuming and make-up."
THTR 1117,Musical Theatre Studio I,"Explores creativity, collaboration, and communication in the craft of acting both in musical theatre and stage acting, specifically directed to the Musical Theatre degree student. Focuses on terms and concepts of psychological realism fundamental to the actors' process through solo work and ensemble exercises. Emphasis on developing a character through analysis and scene study. Various acting modalities will be introduced. "
THTR 1217,Musical Theatre Lab 2,"Focus on building terms and concepts introduced in THTR 1117. A more thorough emphasis is placed on developing character, utilizing analysis tools, and scene study of musical theatre works. Both lecture and performance-based class. Includes advanced repertoire and further song/monologue study in terms of crafting a character and building an arc for the character in a song and/or an identified specific moment."
THTR 2021,Global Theatre 2: Forms of Modern Theatre and Drama,"Explores the dramatic literature, performance traditions and cultural contexts in world theatre from 1600s to the present, through discussion, writing and theatre practice, with an emphasis on the impacts of modernity and colonialism."
THTR 2035,Design Fundamentals,"Introduces principles and techniques relevant to the expression of dramatic mood and idea through visual elements of the theatre, giving practice in conceptdevelopment, style selection, and rendering techniques in scenery and costume design."
THTR 2043,Voice and Movement for the Stage,Natural resources of the human voice and body are studied as artistic resources for the performing artist. Designed to examine both the process and products of vocal and physical craft work.
THTR 2059,Open Topics in Theatre and Drama,Covers topics not otherwise listed in the curriculum. Topics for each semester are specified in the online schedule planner.
THTR 2105,Introduction to Performance Design,"Introduces the creative/collaborative process of design for theatre and dance, including scenery, costume, lighting, and sound. Students create design projects and evaluate them with regard to artistic and practical concerns. Much of the course work is hands-on, experiential, and team-oriented."
THTR 2849,Independent Study,
THTR 3005,Costume Design 1,"Study and application of the principles of design as applied to stage costume, emphasizing texts in analysis and interpretation. Presented in a studio format and project driven. Explores concept development, style selection, and extensive practice in a variety of media and techniques for costume rendering."
THTR 3011,American Musical Theatre History,"Studies the creation, evolution and influence of American musical theatre and its importance to American society. Students analyze landmark productions, artists and the creative process. "
THTR 3013,Studio 1: Building a Character,"Students learn to deepen and develop their proficiency with specific acting techniques. Explores the craft elements of acting, as well as text analysis."
THTR 3015,Scene Design 1,"Examines the process of theatrical scene design from early conception to realization. Course work is project-based. Students are introduced to the crafts of script analysis, conceptualization, design expression, drafting, and 3-D model building."
THTR 3020,Filmmaking Abroad: Acting & Directing Internationally,"Offers an intensive three-week production seminar to realize a short narrative film. Students immerse themselves in a city abroad, in collaboration with fellow CU students and the host population, as they scout locations and film their projects. Requires production responsibilities on both sides of the camera. A Global Seminar offered during Maymester through CU International Education. "
THTR 3023,Studio 2: Creating a Role,"Continued development of acting technique and tools for play analysis, with particular emphasis on scene study. Special attention will be given to the Master Teachers of Acting and their pedagogies."
THTR 3031,Development of Theatre 3: 20th Century International Drama,"Introduces 20th century international drama. Discusses selected plays by major African, Asian, and European authors and explores different dramatic traditions and their increasing interactions throughout the 20th century."
THTR 3033,Production Research and Practicum: Acting,"Allows students to undertake an acting project, either within the major season or approved departmental production. Requires detailed preparational research, rehearsal commitments, and public presentation of theories and concepts in practice. Following the performance, students present written reports and evaluations. "
THTR 3035,Production Practicum,"Practical production projects within a designated area of technical theatre, design, stage management, normally related to the department's season. "
